subgroup,Race,Sex,Age,diseases,count,crude_SE,population,Age_label,Sex_label,Race_label
42,2,1,6,AA,174,0,2253842.427,75+,Female,NHB
43,3,1,6,AA,87,0,1204107.598,75+,Female,HIS
44,4,1,6,AA,92,0,1296731.26,75+,Female,OTH
45,1,2,6,AA,2433,0,7162896.482,75+,Male,NHW
46,2,2,6,AA,122,0,1914222.336,75+,Male,NHB
47,3,2,6,AA,79,0,987985.7216,75+,Male,HIS
48,4,2,6,AA,89,0,1080609.383,75+,Male,OTH
1,1,1,1,AA_medBMI,18,0,4445935.747,25-34,Female,NHW
2,2,1,1,AA_medBMI,5,0,3828444.671,25-34,Female,NHB
3,3,1,1,AA_medBMI,3,0,3056580.826,25-34,Female,HIS
4,4,1,1,AA_medBMI,1,0,3674071.902,25-34,Female,OTH
5,1,2,1,AA_medBMI,48,0,4415061.193,25-34,Male,NHW
6,2,2,1,AA_medBMI,24,0,2871333.503,25-34,Male,NHB
7,3,2,1,AA_medBMI,17,0,3087455.38,25-34,Male,HIS
8,4,2,1,AA_medBMI,7,0,3457950.026,25-34,Male,OTH
9,1,1,2,AA_medBMI,34,0,4476810.301,35-44,Female,NHW
10,2,1,2,AA_medBMI,17,0,3427075.472,35-44,Female,NHB
11,3,1,2,AA_medBMI,3,0,4260688.424,35-44,Female,HIS
12,4,1,2,AA_medBMI,6,0,3056580.826,35-44,Female,OTH
13,1,2,2,AA_medBMI,116,0,3612322.795,35-44,Male,NHW
14,2,2,2,AA_medBMI,62,0,2747835.288,35-44,Male,NHB
15,3,2,2,AA_medBMI,39,0,3087455.38,35-44,Male,HIS
16,4,2,2,AA_medBMI,8,0,2840458.95,35-44,Male,OTH
17,1,1,3,AA_medBMI,106,0,4075441.102,45-54,Female,NHW
18,2,1,3,AA_medBMI,45,0,3334451.81,45-54,Female,NHB
19,3,1,3,AA_medBMI,8,0,3457950.026,45-54,Female,HIS
20,4,1,3,AA_medBMI,7,0,3396200.918,45-54,Female,OTH
21,1,2,3,AA_medBMI,352,0,3859319.225,45-54,Male,NHW
22,2,2,3,AA_medBMI,100,0,3210953.595,45-54,Male,NHB
23,3,2,3,AA_medBMI,32,0,2963957.165,45-54,Male,HIS
24,4,2,3,AA_medBMI,26,0,3550573.687,45-54,Male,OTH
25,1,1,4,AA_medBMI,224,0,5248674.146,55-64,Female,NHW
26,2,1,4,AA_medBMI,51,0,5372172.361,55-64,Female,NHB
27,3,1,4,AA_medBMI,13,0,4939928.608,55-64,Female,HIS
28,4,1,4,AA_medBMI,19,0,4075441.102,55-64,Female,OTH
29,1,2,4,AA_medBMI,684,0,5742667.007,55-64,Male,NHW
30,2,2,4,AA_medBMI,117,0,4723806.731,55-64,Male,NHB
31,3,2,4,AA_medBMI,49,0,4569433.962,55-64,Male,HIS
32,4,2,4,AA_medBMI,42,0,3334451.81,55-64,Male,OTH
33,1,1,5,AA_medBMI,568,0,4939928.608,65-74,Female,NHW
34,2,1,5,AA_medBMI,79,0,3087455.38,65-74,Female,NHB
35,3,1,5,AA_medBMI,25,0,3056580.826,65-74,Female,HIS
36,4,1,5,AA_medBMI,21,0,2037720.551,65-74,Female,OTH
37,1,2,5,AA_medBMI,1059,0,5804416.114,65-74,Male,NHW
38,2,2,5,AA_medBMI,110,0,3581448.241,65-74,Male,NHB
39,3,2,5,AA_medBMI,54,0,2747835.288,65-74,Male,HIS
40,4,2,5,AA_medBMI,45,0,2068595.105,65-74,Male,OTH
41,1,1,6,AA_medBMI,2443,0,6792401.836,75+,Female,NHW
42,2,1,6,AA_medBMI,174,0,2253842.427,75+,Female,NHB
43,3,1,6,AA_medBMI,87,0,1204107.598,75+,Female,HIS
44,4,1,6,AA_medBMI,92,0,1296731.26,75+,Female,OTH
45,1,2,6,AA_medBMI,2433,0,7162896.482,75+,Male,NHW
46,2,2,6,AA_medBMI,122,0,1914222.336,75+,Male,NHB
47,3,2,6,AA_medBMI,79,0,987985.7216,75+,Male,HIS
48,4,2,6,AA_medBMI,89,0,1080609.383,75+,Male,OTH
1,1,1,1,AA_medSBP,18,0,4445935.747,25-34,Female,NHW
2,2,1,1,AA_medSBP,5,0,3828444.671,25-34,Female,NHB
3,3,1,1,AA_medSBP,3,0,3056580.826,25-34,Female,HIS
4,4,1,1,AA_medSBP,1,0,3674071.902,25-34,Female,OTH
5,1,2,1,AA_medSBP,48,0,4415061.193,25-34,Male,NHW
6,2,2,1,AA_medSBP,24,0,2871333.503,25-34,Male,NHB
7,3,2,1,AA_medSBP,17,0,3087455.38,25-34,Male,HIS
8,4,2,1,AA_medSBP,7,0,3457950.026,25-34,Male,OTH
9,1,1,2,AA_medSBP,34,0,4476810.301,35-44,Female,NHW
10,2,1,2,AA_medSBP,17,0,3427075.472,35-44,Female,NHB
11,3,1,2,AA_medSBP,3,0,4260688.424,35-44,Female,HIS
12,4,1,2,AA_medSBP,6,0,3056580.826,35-44,Female,OTH
13,1,2,2,AA_medSBP,116,0,3612322.795,35-44,Male,NHW
14,2,2,2,AA_medSBP,62,0,2747835.288,35-44,Male,NHB
15,3,2,2,AA_medSBP,39,0,3087455.38,35-44,Male,HIS
16,4,2,2,AA_medSBP,8,0,2840458.95,35-44,Male,OTH
17,1,1,3,AA_medSBP,106,0,4075441.102,45-54,Female,NHW
18,2,1,3,AA_medSBP,45,0,3334451.81,45-54,Female,NHB
19,3,1,3,AA_medSBP,8,0,3457950.026,45-54,Female,HIS
20,4,1,3,AA_medSBP,7,0,3396200.918,45-54,Female,OTH
21,1,2,3,AA_medSBP,352,0,3859319.225,45-54,Male,NHW
22,2,2,3,AA_medSBP,100,0,3210953.595,45-54,Male,NHB
23,3,2,3,AA_medSBP,32,0,2963957.165,45-54,Male,HIS
24,4,2,3,AA_medSBP,26,0,3550573.687,45-54,Male,OTH
25,1,1,4,AA_medSBP,224,0,5248674.146,55-64,Female,NHW
26,2,1,4,AA_medSBP,51,0,5372172.361,55-64,Female,NHB
27,3,1,4,AA_medSBP,13,0,4939928.608,55-64,Female,HIS
28,4,1,4,AA_medSBP,19,0,4075441.102,55-64,Female,OTH
29,1,2,4,AA_medSBP,684,0,5742667.007,55-64,Male,NHW
30,2,2,4,AA_medSBP,117,0,4723806.731,55-64,Male,NHB
31,3,2,4,AA_medSBP,49,0,4569433.962,55-64,Male,HIS
32,4,2,4,AA_medSBP,42,0,3334451.81,55-64,Male,OTH
33,1,1,5,AA_medSBP,568,0,4939928.608,65-74,Female,NHW
34,2,1,5,AA_medSBP,79,0,3087455.38,65-74,Female,NHB
35,3,1,5,AA_medSBP,25,0,3056580.826,65-74,Female,HIS
36,4,1,5,AA_medSBP,21,0,2037720.551,65-74,Female,OTH
37,1,2,5,AA_medSBP,1059,0,5804416.114,65-74,Male,NHW
38,2,2,5,AA_medSBP,110,0,3581448.241,65-74,Male,NHB
39,3,2,5,AA_medSBP,54,0,2747835.288,65-74,Male,HIS
40,4,2,5,AA_medSBP,45,0,2068595.105,65-74,Male,OTH
41,1,1,6,AA_medSBP,2443,0,6792401.836,75+,Female,NHW
42,2,1,6,AA_medSBP,174,0,2253842.427,75+,Female,NHB
43,3,1,6,AA_medSBP,87,0,1204107.598,75+,Female,HIS
44,4,1,6,AA_medSBP,92,0,1296731.26,75+,Female,OTH
45,1,2,6,AA_medSBP,2433,0,7162896.482,75+,Male,NHW
46,2,2,6,AA_medSBP,122,0,1914222.336,75+,Male,NHB
47,3,2,6,AA_medSBP,79,0,987985.7216,75+,Male,HIS
48,4,2,6,AA_medSBP,89,0,1080609.383,75+,Male,OTH
1,1,1,1,AFF,1,0,4445935.747,25-34,Female,NHW
2,2,1,1,AFF,0,0,3828444.671,25-34,Female,NHB
3,3,1,1,AFF,0,0,3056580.826,25-34,Female,HIS
4,4,1,1,AFF,0,0,3674071.902,25-34,Female,OTH
5,1,2,1,AFF,4,0,4415061.193,25-34,Male,NHW
6,2,2,1,AFF,1,0,2871333.503,25-34,Male,NHB
7,3,2,1,AFF,0,0,3087455.38,25-34,Male,HIS
8,4,2,1,AFF,0,0,3457950.026,25-34,Male,OTH
9,1,1,2,AFF,5,0,4476810.301,35-44,Female,NHW
10,2,1,2,AFF,4,0,3427075.472,35-44,Female,NHB
11,3,1,2,AFF,2,0,4260688.424,35-44,Female,HIS
12,4,1,2,AFF,1,0,3056580.826,35-44,Female,OTH
13,1,2,2,AFF,11,0,3612322.795,35-44,Male,NHW
14,2,2,2,AFF,7,0,2747835.288,35-44,Male,NHB
15,3,2,2,AFF,2,0,3087455.38,35-44,Male,HIS
16,4,2,2,AFF,0,0,2840458.95,35-44,Male,OTH
17,1,1,3,AFF,31,0,4075441.102,45-54,Female,NHW
18,2,1,3,AFF,10,0,3334451.81,45-54,Female,NHB
19,3,1,3,AFF,4,0,3457950.026,45-54,Female,HIS
20,4,1,3,AFF,2,0,3396200.918,45-54,Female,OTH
21,1,2,3,AFF,81,0,3859319.225,45-54,Male,NHW
22,2,2,3,AFF,24,0,3210953.595,45-54,Male,NHB
23,3,2,3,AFF,10,0,2963957.165,45-54,Male,HIS
24,4,2,3,AFF,4,0,3550573.687,45-54,Male,OTH
25,1,1,4,AFF,168,0,5248674.146,55-64,Female,NHW
26,2,1,4,AFF,34,0,5372172.361,55-64,Female,NHB
27,3,1,4,AFF,16,0,4939928.608,55-64,Female,HIS
28,4,1,4,AFF,8,0,4075441.102,55-64,Female,OTH
29,1,2,4,AFF,295,0,5742667.007,55-64,Male,NHW
30,2,2,4,AFF,58,0,4723806.731,55-64,Male,NHB
31,3,2,4,AFF,20,0,4569433.962,55-64,Male,HIS
32,4,2,4,AFF,10,0,3334451.81,55-64,Male,OTH
33,1,1,5,AFF,629,0,4939928.608,65-74,Female,NHW
34,2,1,5,AFF,77,0,3087455.38,65-74,Female,NHB
35,3,1,5,AFF,33,0,3056580.826,65-74,Female,HIS
36,4,1,5,AFF,18,0,2037720.551,65-74,Female,OTH
37,1,2,5,AFF,737,0,5804416.114,65-74,Male,NHW
38,2,2,5,AFF,74,0,3581448.241,65-74,Male,NHB
39,3,2,5,AFF,35,0,2747835.288,65-74,Male,HIS
40,4,2,5,AFF,34,0,2068595.105,65-74,Male,OTH
41,1,1,6,AFF,10306,0,6792401.836,75+,Female,NHW
42,2,1,6,AFF,478,0,2253842.427,75+,Female,NHB
43,3,1,6,AFF,298,0,1204107.598,75+,Female,HIS
44,4,1,6,AFF,203,0,1296731.26,75+,Female,OTH
45,1,2,6,AFF,5242,0,7162896.482,75+,Male,NHW
46,2,2,6,AFF,221,0,1914222.336,75+,Male,NHB
47,3,2,6,AFF,187,0,987985.7216,75+,Male,HIS
48,4,2,6,AFF,100,0,1080609.383,75+,Male,OTH
1,1,1,1,AFF_medBMI,1,0,4445935.747,25-34,Female,NHW
2,2,1,1,AFF_medBMI,0,0,3828444.671,25-34,Female,NHB
3,3,1,1,AFF_medBMI,0,0,3056580.826,25-34,Female,HIS
4,4,1,1,AFF_medBMI,0,0,3674071.902,25-34,Female,OTH
5,1,2,1,AFF_medBMI,4,0,4415061.193,25-34,Male,NHW
6,2,2,1,AFF_medBMI,1,0,2871333.503,25-34,Male,NHB
7,3,2,1,AFF_medBMI,0,0,3087455.38,25-34,Male,HIS
8,4,2,1,AFF_medBMI,0,0,3457950.026,25-34,Male,OTH
9,1,1,2,AFF_medBMI,5,0,4476810.301,35-44,Female,NHW
10,2,1,2,AFF_medBMI,4,0,3427075.472,35-44,Female,NHB
11,3,1,2,AFF_medBMI,2,0,4260688.424,35-44,Female,HIS
12,4,1,2,AFF_medBMI,1,0,3056580.826,35-44,Female,OTH
13,1,2,2,AFF_medBMI,11,0,3612322.795,35-44,Male,NHW
14,2,2,2,AFF_medBMI,7,0,2747835.288,35-44,Male,NHB
15,3,2,2,AFF_medBMI,2,0,3087455.38,35-44,Male,HIS
16,4,2,2,AFF_medBMI,0,0,2840458.95,35-44,Male,OTH
17,1,1,3,AFF_medBMI,31,0,4075441.102,45-54,Female,NHW
18,2,1,3,AFF_medBMI,10,0,3334451.81,45-54,Female,NHB
19,3,1,3,AFF_medBMI,4,0,3457950.026,45-54,Female,HIS
20,4,1,3,AFF_medBMI,2,0,3396200.918,45-54,Female,OTH
21,1,2,3,AFF_medBMI,81,0,3859319.225,45-54,Male,NHW
22,2,2,3,AFF_medBMI,24,0,3210953.595,45-54,Male,NHB
23,3,2,3,AFF_medBMI,10,0,2963957.165,45-54,Male,HIS
24,4,2,3,AFF_medBMI,4,0,3550573.687,45-54,Male,OTH
25,1,1,4,AFF_medBMI,168,0,5248674.146,55-64,Female,NHW
26,2,1,4,AFF_medBMI,34,0,5372172.361,55-64,Female,NHB
27,3,1,4,AFF_medBMI,16,0,4939928.608,55-64,Female,HIS
28,4,1,4,AFF_medBMI,8,0,4075441.102,55-64,Female,OTH
29,1,2,4,AFF_medBMI,295,0,5742667.007,55-64,Male,NHW
30,2,2,4,AFF_medBMI,58,0,4723806.731,55-64,Male,NHB
31,3,2,4,AFF_medBMI,20,0,4569433.962,55-64,Male,HIS
32,4,2,4,AFF_medBMI,10,0,3334451.81,55-64,Male,OTH
33,1,1,5,AFF_medBMI,629,0,4939928.608,65-74,Female,NHW
34,2,1,5,AFF_medBMI,77,0,3087455.38,65-74,Female,NHB
35,3,1,5,AFF_medBMI,33,0,3056580.826,65-74,Female,HIS
36,4,1,5,AFF_medBMI,18,0,2037720.551,65-74,Female,OTH
37,1,2,5,AFF_medBMI,737,0,5804416.114,65-74,Male,NHW
38,2,2,5,AFF_medBMI,74,0,3581448.241,65-74,Male,NHB
39,3,2,5,AFF_medBMI,35,0,2747835.288,65-74,Male,HIS
40,4,2,5,AFF_medBMI,34,0,2068595.105,65-74,Male,OTH
41,1,1,6,AFF_medBMI,10306,0,6792401.836,75+,Female,NHW
42,2,1,6,AFF_medBMI,478,0,2253842.427,75+,Female,NHB
43,3,1,6,AFF_medBMI,298,0,1204107.598,75+,Female,HIS
44,4,1,6,AFF_medBMI,203,0,1296731.26,75+,Female,OTH
45,1,2,6,AFF_medBMI,5242,0,7162896.482,75+,Male,NHW
46,2,2,6,AFF_medBMI,221,0,1914222.336,75+,Male,NHB
47,3,2,6,AFF_medBMI,187,0,987985.7216,75+,Male,HIS
48,4,2,6,AFF_medBMI,100,0,1080609.383,75+,Male,OTH
1,1,1,1,AFF_medSBP,1,0,4445935.747,25-34,Female,NHW
2,2,1,1,AFF_medSBP,0,0,3828444.671,25-34,Female,NHB
3,3,1,1,AFF_medSBP,0,0,3056580.826,25-34,Female,HIS
4,4,1,1,AFF_medSBP,0,0,3674071.902,25-34,Female,OTH
5,1,2,1,AFF_medSBP,4,0,4415061.193,25-34,Male,NHW
6,2,2,1,AFF_medSBP,1,0,2871333.503,25-34,Male,NHB
7,3,2,1,AFF_medSBP,0,0,3087455.38,25-34,Male,HIS
8,4,2,1,AFF_medSBP,0,0,3457950.026,25-34,Male,OTH
9,1,1,2,AFF_medSBP,5,0,4476810.301,35-44,Female,NHW
10,2,1,2,AFF_medSBP,4,0,3427075.472,35-44,Female,NHB
11,3,1,2,AFF_medSBP,2,0,4260688.424,35-44,Female,HIS
12,4,1,2,AFF_medSBP,1,0,3056580.826,35-44,Female,OTH
13,1,2,2,AFF_medSBP,11,0,3612322.795,35-44,Male,NHW
14,2,2,2,AFF_medSBP,7,0,2747835.288,35-44,Male,NHB
15,3,2,2,AFF_medSBP,2,0,3087455.38,35-44,Male,HIS
16,4,2,2,AFF_medSBP,0,0,2840458.95,35-44,Male,OTH
17,1,1,3,AFF_medSBP,31,0,4075441.102,45-54,Female,NHW
18,2,1,3,AFF_medSBP,10,0,3334451.81,45-54,Female,NHB
19,3,1,3,AFF_medSBP,4,0,3457950.026,45-54,Female,HIS
20,4,1,3,AFF_medSBP,2,0,3396200.918,45-54,Female,OTH
21,1,2,3,AFF_medSBP,81,0,3859319.225,45-54,Male,NHW
22,2,2,3,AFF_medSBP,24,0,3210953.595,45-54,Male,NHB
23,3,2,3,AFF_medSBP,10,0,2963957.165,45-54,Male,HIS
24,4,2,3,AFF_medSBP,4,0,3550573.687,45-54,Male,OTH
25,1,1,4,AFF_medSBP,168,0,5248674.146,55-64,Female,NHW
26,2,1,4,AFF_medSBP,34,0,5372172.361,55-64,Female,NHB
27,3,1,4,AFF_medSBP,16,0,4939928.608,55-64,Female,HIS
28,4,1,4,AFF_medSBP,8,0,4075441.102,55-64,Female,OTH
29,1,2,4,AFF_medSBP,295,0,5742667.007,55-64,Male,NHW
30,2,2,4,AFF_medSBP,58,0,4723806.731,55-64,Male,NHB
31,3,2,4,AFF_medSBP,20,0,4569433.962,55-64,Male,HIS
32,4,2,4,AFF_medSBP,10,0,3334451.81,55-64,Male,OTH
33,1,1,5,AFF_medSBP,629,0,4939928.608,65-74,Female,NHW
34,2,1,5,AFF_medSBP,77,0,3087455.38,65-74,Female,NHB
35,3,1,5,AFF_medSBP,33,0,3056580.826,65-74,Female,HIS
36,4,1,5,AFF_medSBP,18,0,2037720.551,65-74,Female,OTH
37,1,2,5,AFF_medSBP,737,0,5804416.114,65-74,Male,NHW
38,2,2,5,AFF_medSBP,74,0,3581448.241,65-74,Male,NHB
39,3,2,5,AFF_medSBP,35,0,2747835.288,65-74,Male,HIS
40,4,2,5,AFF_medSBP,34,0,2068595.105,65-74,Male,OTH
41,1,1,6,AFF_medSBP,10306,0,6792401.836,75+,Female,NHW
42,2,1,6,AFF_medSBP,478,0,2253842.427,75+,Female,NHB
43,3,1,6,AFF_medSBP,298,0,1204107.598,75+,Female,HIS
44,4,1,6,AFF_medSBP,203,0,1296731.26,75+,Female,OTH
45,1,2,6,AFF_medSBP,5242,0,7162896.482,75+,Male,NHW
46,2,2,6,AFF_medSBP,221,0,1914222.336,75+,Male,NHB
47,3,2,6,AFF_medSBP,187,0,987985.7216,75+,Male,HIS
48,4,2,6,AFF_medSBP,100,0,1080609.383,75+,Male,OTH
1,1,1,1,ALL,23968.5,0,4445935.747,25-34,Female,NHW
2,2,1,1,ALL,4539,0,3828444.671,25-34,Female,NHB
3,3,1,1,ALL,5643,0,3056580.826,25-34,Female,HIS
4,4,1,1,ALL,2598.5,0,3674071.902,25-34,Female,OTH
5,1,2,1,ALL,13376,0,4415061.193,25-34,Male,NHW
6,2,2,1,ALL,2250,0,2871333.503,25-34,Male,NHB
7,3,2,1,ALL,3030.5,0,3087455.38,25-34,Male,HIS
8,4,2,1,ALL,1070.5,0,3457950.026,25-34,Male,OTH
9,1,1,2,ALL,23968.5,0,4476810.301,35-44,Female,NHW
10,2,1,2,ALL,4539,0,3427075.472,35-44,Female,NHB
11,3,1,2,ALL,5643,0,4260688.424,35-44,Female,HIS
12,4,1,2,ALL,2598.5,0,3056580.826,35-44,Female,OTH
13,1,2,2,ALL,13376,0,3612322.795,35-44,Male,NHW
14,2,2,2,ALL,2250,0,2747835.288,35-44,Male,NHB
15,3,2,2,ALL,3030.5,0,3087455.38,35-44,Male,HIS
16,4,2,2,ALL,1070.5,0,2840458.95,35-44,Male,OTH
17,1,1,3,ALL,79300,0,4075441.102,45-54,Female,NHW
18,2,1,3,ALL,14534,0,3334451.81,45-54,Female,NHB
19,3,1,3,ALL,12623,0,3457950.026,45-54,Female,HIS
20,4,1,3,ALL,6413,0,3396200.918,45-54,Female,OTH
21,1,2,3,ALL,57457,0,3859319.225,45-54,Male,NHW
22,2,2,3,ALL,11618,0,3210953.595,45-54,Male,NHB
23,3,2,3,ALL,7617,0,2963957.165,45-54,Male,HIS
24,4,2,3,ALL,3161,0,3550573.687,45-54,Male,OTH
25,1,1,4,ALL,139226,0,5248674.146,55-64,Female,NHW
26,2,1,4,ALL,23550,0,5372172.361,55-64,Female,NHB
27,3,1,4,ALL,14665,0,4939928.608,55-64,Female,HIS
28,4,1,4,ALL,8048,0,4075441.102,55-64,Female,OTH
29,1,2,4,ALL,151150,0,5742667.007,55-64,Male,NHW
30,2,2,4,ALL,28649,0,4723806.731,55-64,Male,NHB
31,3,2,4,ALL,13990,0,4569433.962,55-64,Male,HIS
32,4,2,4,ALL,6413,0,3334451.81,55-64,Male,OTH
33,1,1,5,ALL,162391,0,4939928.608,65-74,Female,NHW
34,2,1,5,ALL,18500,0,3087455.38,65-74,Female,NHB
35,3,1,5,ALL,11973,0,3056580.826,65-74,Female,HIS
36,4,1,5,ALL,6760.5,0,2037720.551,65-74,Female,OTH
37,1,2,5,ALL,182027,0,5804416.114,65-74,Male,NHW
38,2,2,5,ALL,19253.5,0,3581448.241,65-74,Male,NHB
39,3,2,5,ALL,12520.5,0,2747835.288,65-74,Male,HIS
40,4,2,5,ALL,6985,0,2068595.105,65-74,Male,OTH
41,1,1,6,ALL,162391,0,6792401.836,75+,Female,NHW
42,2,1,6,ALL,18500,0,2253842.427,75+,Female,NHB
43,3,1,6,ALL,11973,0,1204107.598,75+,Female,HIS
44,4,1,6,ALL,6760.5,0,1296731.26,75+,Female,OTH
45,1,2,6,ALL,182027,0,7162896.482,75+,Male,NHW
46,2,2,6,ALL,19253.5,0,1914222.336,75+,Male,NHB
47,3,2,6,ALL,12520.5,0,987985.7216,75+,Male,HIS
48,4,2,6,ALL,6985,0,1080609.383,75+,Male,OTH
1,1,1,1,APCA,0,0,4445935.747,25-34,Female,NHW
2,2,1,1,APCA,0,0,3828444.671,25-34,Female,NHB
3,3,1,1,APCA,0,0,3056580.826,25-34,Female,HIS
4,4,1,1,APCA,0,0,3674071.902,25-34,Female,OTH
5,1,2,1,APCA,33,0,4415061.193,25-34,Male,NHW
6,2,2,1,APCA,20.5,0,2871333.503,25-34,Male,NHB
7,3,2,1,APCA,8,0,3087455.38,25-34,Male,HIS
8,4,2,1,APCA,5,0,3457950.026,25-34,Male,OTH
9,1,1,2,APCA,0,0,4476810.301,35-44,Female,NHW
10,2,1,2,APCA,0,0,3427075.472,35-44,Female,NHB
11,3,1,2,APCA,0,0,4260688.424,35-44,Female,HIS
12,4,1,2,APCA,0,0,3056580.826,35-44,Female,OTH
13,1,2,2,APCA,33,0,3612322.795,35-44,Male,NHW
14,2,2,2,APCA,20.5,0,2747835.288,35-44,Male,NHB
15,3,2,2,APCA,8,0,3087455.38,35-44,Male,HIS
16,4,2,2,APCA,5,0,2840458.95,35-44,Male,OTH
17,1,1,3,APCA,0,0,4075441.102,45-54,Female,NHW
18,2,1,3,APCA,0,0,3334451.81,45-54,Female,NHB
19,3,1,3,APCA,0,0,3457950.026,45-54,Female,HIS
20,4,1,3,APCA,0,0,3396200.918,45-54,Female,OTH
21,1,2,3,APCA,1533,0,3859319.225,45-54,Male,NHW
22,2,2,3,APCA,640,0,3210953.595,45-54,Male,NHB
23,3,2,3,APCA,209,0,2963957.165,45-54,Male,HIS
24,4,2,3,APCA,54,0,3550573.687,45-54,Male,OTH
25,1,1,4,APCA,0,0,5248674.146,55-64,Female,NHW
26,2,1,4,APCA,0,0,5372172.361,55-64,Female,NHB
27,3,1,4,APCA,0,0,4939928.608,55-64,Female,HIS
28,4,1,4,APCA,0,0,4075441.102,55-64,Female,OTH
29,1,2,4,APCA,6782,0,5742667.007,55-64,Male,NHW
30,2,2,4,APCA,1954,0,4723806.731,55-64,Male,NHB
31,3,2,4,APCA,694,0,4569433.962,55-64,Male,HIS
32,4,2,4,APCA,242,0,3334451.81,55-64,Male,OTH
33,1,1,5,APCA,0,0,4939928.608,65-74,Female,NHW
34,2,1,5,APCA,0,0,3087455.38,65-74,Female,NHB
35,3,1,5,APCA,0,0,3056580.826,65-74,Female,HIS
36,4,1,5,APCA,0,0,2037720.551,65-74,Female,OTH
37,1,2,5,APCA,6744,0,5804416.114,65-74,Male,NHW
38,2,2,5,APCA,1120,0,3581448.241,65-74,Male,NHB
39,3,2,5,APCA,554.5,0,2747835.288,65-74,Male,HIS
40,4,2,5,APCA,267.5,0,2068595.105,65-74,Male,OTH
41,1,1,6,APCA,0,0,6792401.836,75+,Female,NHW
42,2,1,6,APCA,0,0,2253842.427,75+,Female,NHB
43,3,1,6,APCA,0,0,1204107.598,75+,Female,HIS
44,4,1,6,APCA,0,0,1296731.26,75+,Female,OTH
45,1,2,6,APCA,6744,0,7162896.482,75+,Male,NHW
46,2,2,6,APCA,1120,0,1914222.336,75+,Male,NHB
47,3,2,6,APCA,554.5,0,987985.7216,75+,Male,HIS
48,4,2,6,APCA,267.5,0,1080609.383,75+,Male,OTH
1,1,1,1,BC,0,0,4445935.747,25-34,Female,NHW
2,2,1,1,BC,0,0,3828444.671,25-34,Female,NHB
3,3,1,1,BC,0,0,3056580.826,25-34,Female,HIS
4,4,1,1,BC,0,0,3674071.902,25-34,Female,OTH
5,1,2,1,BC,0,0,4415061.193,25-34,Male,NHW
6,2,2,1,BC,0,0,2871333.503,25-34,Male,NHB
7,3,2,1,BC,0,0,3087455.38,25-34,Male,HIS
8,4,2,1,BC,0,0,3457950.026,25-34,Male,OTH
9,1,1,2,BC,0,0,4476810.301,35-44,Female,NHW
10,2,1,2,BC,0,0,3427075.472,35-44,Female,NHB
11,3,1,2,BC,0,0,4260688.424,35-44,Female,HIS
