Sex_label,Age_label,Race_label,crude_rate,crude_SE,count,population,Sex,Age,Race,subgroup,diseases
Female,45-54,HIS,0.027,0,1,3712231.947,1,3,3,19,AFF_medBMI
Female,45-54,OTH,0.192,0,7,3645942.091,1,3,4,20,AFF_medBMI
Male,45-54,NHW,0.579,0,24,4143116.013,2,3,1,21,AFF_medBMI
Male,45-54,NHB,1.683,0,58,3447072.522,2,3,2,22,AFF_medBMI
Male,45-54,HIS,2.326,0,74,3181913.098,2,3,3,23,AFF_medBMI
Male,45-54,OTH,5.798,0,221,3811666.732,2,3,4,24,AFF_medBMI
Female,55-64,NHW,0,0,0,5634637.777,1,4,1,25,AFF_medBMI
Female,55-64,NHB,0.035,0,2,5767217.489,1,4,2,26,AFF_medBMI
Female,55-64,HIS,0.075,0,4,5303188.496,1,4,3,27,AFF_medBMI
Female,55-64,OTH,0.366,0,16,4375130.509,1,4,4,28,AFF_medBMI
Male,55-64,NHW,0.535,0,33,6164956.627,2,4,1,29,AFF_medBMI
Male,55-64,NHB,5.876,0,298,5071173.999,2,4,2,30,AFF_medBMI
Male,55-64,HIS,0,0,0,4905449.359,2,4,3,31,AFF_medBMI
Male,55-64,OTH,0.056,0,2,3579652.235,2,4,4,32,AFF_medBMI
Female,65-74,NHW,0.189,0,10,5303188.496,1,5,1,33,AFF_medBMI
Female,65-74,NHB,0.603,0,20,3314492.81,1,5,2,34,AFF_medBMI
Female,65-74,HIS,1.067,0,35,3281347.882,1,5,3,35,AFF_medBMI
Female,65-74,OTH,8.548,0,187,2187565.255,1,5,4,36,AFF_medBMI
Male,65-74,NHW,0,0,0,6231246.483,2,5,1,37,AFF_medBMI
Male,65-74,NHB,0.026,0,1,3844811.66,2,5,2,38,AFF_medBMI
Male,65-74,HIS,0.068,0,2,2949898.601,2,5,3,39,AFF_medBMI
Male,65-74,OTH,0.36,0,8,2220710.183,2,5,4,40,AFF_medBMI
Female,75+,NHW,0.247,0,18,7291884.182,1,6,1,41,AFF_medBMI
Female,75+,NHB,8.39,0,203,2419579.751,1,6,2,42,AFF_medBMI
Female,75+,HIS,0,0,0,1292652.196,1,6,3,43,AFF_medBMI
Female,75+,OTH,0,0,0,1392086.98,1,6,4,44,AFF_medBMI
Male,75+,NHW,0.052,0,4,7689623.319,2,6,1,45,AFF_medBMI
Male,75+,NHB,0.487,0,10,2054985.542,2,6,2,46,AFF_medBMI
Male,75+,HIS,3.206,0,34,1060637.699,2,6,3,47,AFF_medBMI
Male,75+,OTH,8.62,0,100,1160072.484,2,6,4,48,AFF_medBMI
Female,25-34,NHW,0.021,0,1,4772869.646,1,1,1,1,AFF_medSBP
Female,25-34,NHB,0.122,0,5,4109971.084,1,1,2,2,AFF_medSBP
Female,25-34,HIS,0.945,0,31,3281347.882,1,1,3,3,AFF_medSBP
Female,25-34,OTH,4.259,0,168,3944246.444,1,1,4,4,AFF_medSBP
Male,25-34,NHW,13.271,0,629,4739724.718,2,1,1,5,AFF_medSBP
Male,25-34,NHB,334.341,0,10306,3082478.313,2,1,2,6,AFF_medSBP
Male,25-34,HIS,0.121,0,4,3314492.81,2,1,3,7,AFF_medSBP
Male,25-34,OTH,0.296,0,11,3712231.947,2,1,4,8,AFF_medSBP
Female,35-44,NHW,1.685,0,81,4806014.575,1,2,1,9,AFF_medSBP
Female,35-44,NHB,8.018,0,295,3679087.019,1,2,2,10,AFF_medSBP
Female,35-44,HIS,16.113,0,737,4574000.078,1,2,3,11,AFF_medSBP
Female,35-44,OTH,159.751,0,5242,3281347.882,1,2,4,12,AFF_medSBP
Male,35-44,NHW,0,0,0,3877956.588,2,2,1,13,AFF_medSBP
Male,35-44,NHB,0.136,0,4,2949898.601,2,2,2,14,AFF_medSBP
Male,35-44,HIS,0.302,0,10,3314492.81,2,2,3,15,AFF_medSBP
Male,35-44,OTH,1.115,0,34,3049333.385,2,2,4,16,AFF_medSBP
Female,45-54,NHW,1.76,0,77,4375130.509,1,3,1,17,AFF_medSBP
Female,45-54,NHB,13.353,0,478,3579652.235,1,3,2,18,AFF_medSBP
Female,45-54,HIS,0.027,0,1,3712231.947,1,3,3,19,AFF_medSBP
Female,45-54,OTH,0.192,0,7,3645942.091,1,3,4,20,AFF_medSBP
Male,45-54,NHW,0.579,0,24,4143116.013,2,3,1,21,AFF_medSBP
Male,45-54,NHB,1.683,0,58,3447072.522,2,3,2,22,AFF_medSBP
Male,45-54,HIS,2.326,0,74,3181913.098,2,3,3,23,AFF_medSBP
Male,45-54,OTH,5.798,0,221,3811666.732,2,3,4,24,AFF_medSBP
Female,55-64,NHW,0,0,0,5634637.777,1,4,1,25,AFF_medSBP
Female,55-64,NHB,0.035,0,2,5767217.489,1,4,2,26,AFF_medSBP
Female,55-64,HIS,0.075,0,4,5303188.496,1,4,3,27,AFF_medSBP
Female,55-64,OTH,0.366,0,16,4375130.509,1,4,4,28,AFF_medSBP
Male,55-64,NHW,0.535,0,33,6164956.627,2,4,1,29,AFF_medSBP
Male,55-64,NHB,5.876,0,298,5071173.999,2,4,2,30,AFF_medSBP
Male,55-64,HIS,0,0,0,4905449.359,2,4,3,31,AFF_medSBP
Male,55-64,OTH,0.056,0,2,3579652.235,2,4,4,32,AFF_medSBP
Female,65-74,NHW,0.189,0,10,5303188.496,1,5,1,33,AFF_medSBP
Female,65-74,NHB,0.603,0,20,3314492.81,1,5,2,34,AFF_medSBP
Female,65-74,HIS,1.067,0,35,3281347.882,1,5,3,35,AFF_medSBP
Female,65-74,OTH,8.548,0,187,2187565.255,1,5,4,36,AFF_medSBP
Male,65-74,NHW,0,0,0,6231246.483,2,5,1,37,AFF_medSBP
Male,65-74,NHB,0.026,0,1,3844811.66,2,5,2,38,AFF_medSBP
Male,65-74,HIS,0.068,0,2,2949898.601,2,5,3,39,AFF_medSBP
Male,65-74,OTH,0.36,0,8,2220710.183,2,5,4,40,AFF_medSBP
Female,75+,NHW,0.247,0,18,7291884.182,1,6,1,41,AFF_medSBP
Female,75+,NHB,8.39,0,203,2419579.751,1,6,2,42,AFF_medSBP
Female,75+,HIS,0,0,0,1292652.196,1,6,3,43,AFF_medSBP
Female,75+,OTH,0,0,0,1392086.98,1,6,4,44,AFF_medSBP
Male,75+,NHW,0.052,0,4,7689623.319,2,6,1,45,AFF_medSBP
Male,75+,NHB,0.487,0,10,2054985.542,2,6,2,46,AFF_medSBP
Male,75+,HIS,3.206,0,34,1060637.699,2,6,3,47,AFF_medSBP
Male,75+,OTH,8.62,0,100,1160072.484,2,6,4,48,AFF_medSBP
Female,25-34,NHW,157.0511124,1.600765246,23968.5,15261592,1,1,1,1,ALL
Female,25-34,NHB,118.2528589,2.869035286,4539,3838385,1,1,2,2,ALL
Female,25-34,HIS,107.2927508,3.217171288,5643,5259442,1,1,3,3,ALL
Female,25-34,OTH,117.2253083,5.339867069,2598.5,2216671.5,1,1,4,4,ALL
Male,25-34,NHW,85.49119617,1.152003669,13376,15646055.5,2,1,1,5,ALL
Male,25-34,NHB,61.85360407,2.168340735,2250,3637621.5,2,1,2,6,ALL
Male,25-34,HIS,53.60706279,1.889358312,3030.5,5653173,2,1,3,7,ALL
Male,25-34,OTH,51.52545179,3.913274652,1070.5,2077614,2,1,4,8,ALL
Female,35-44,NHW,157.0511124,1.600765246,23968.5,15261592,1,2,1,9,ALL
Female,35-44,NHB,118.2528589,2.869035286,4539,3838385,1,2,2,10,ALL
Female,35-44,HIS,107.2927508,3.217171288,5643,5259442,1,2,3,11,ALL
Female,35-44,OTH,117.2253083,5.339867069,2598.5,2216671.5,1,2,4,12,ALL
Male,35-44,NHW,85.49119617,1.152003669,13376,15646055.5,2,2,1,13,ALL
Male,35-44,NHB,61.85360407,2.168340735,2250,3637621.5,2,2,2,14,ALL
Male,35-44,HIS,53.60706279,1.889358312,3030.5,5653173,2,2,3,15,ALL
Male,35-44,OTH,51.52545179,3.913274652,1070.5,2077614,2,2,4,16,ALL
Female,45-54,NHW,556.9437009,2.808999168,79300,14238423,1,3,1,17,ALL
Female,45-54,NHB,508.1210569,5.933482965,14534,2860342,1,3,2,18,ALL
Female,45-54,HIS,392.8727046,7.447556825,12623,3213000,1,3,3,19,ALL
Female,45-54,OTH,419.3937396,10.61647398,6413,1529112,1,3,4,20,ALL
Male,45-54,NHW,407.596156,2.337977765,57457,14096551,2,3,1,21,ALL
Male,45-54,NHB,459.4172226,5.964175911,11618,2528856,2,3,2,22,ALL
Male,45-54,HIS,232.7825847,5.794637194,7617,3272152,2,3,3,23,ALL
Male,45-54,OTH,233.7232911,9.202058528,3161,1352454,2,3,4,24,ALL
Female,55-64,NHW,921.320673,3.500289525,139226,15111568,1,4,1,25,ALL
Female,55-64,NHB,924.6781884,8.611683879,23550,2546832,1,4,2,26,ALL
Female,55-64,HIS,667.0979035,12.22093829,14665,2198328,1,4,3,27,ALL
Female,55-64,OTH,632.6810252,14.72304438,8048,1272047,1,4,4,28,ALL
Male,55-64,NHW,1048.560382,3.851672677,151150,14415002,2,4,1,29,ALL
Male,55-64,NHB,1340.178697,11.32475372,28649,2137700,2,4,2,30,ALL
Male,55-64,HIS,679.4893776,13.18031741,13990,2058899,2,4,3,31,ALL
Male,55-64,OTH,601.5761238,16.30689988,6413,1066033,2,4,4,32,ALL
Female,65-74,NHW,1573.582275,6.268843676,162391,10319829,1,5,1,33,ALL
Female,65-74,NHB,1449.654101,17.02817459,18500,1276166.5,1,5,2,34,ALL
Female,65-74,HIS,1122.933188,25.88870192,11973,1066225.5,1,5,3,35,ALL
Female,65-74,OTH,1009.679361,29.83637006,6760.5,669569,1,5,4,36,ALL
Male,65-74,NHW,2179.300234,8.289987984,182027,8352543.5,2,5,1,37,ALL
Male,65-74,NHB,2246.249154,25.44728302,19253.5,857140,2,5,2,38,ALL
Male,65-74,HIS,1546.448098,32.31181852,12520.5,809629.5,2,5,3,39,ALL
Male,65-74,OTH,1353.569373,39.36600354,6985,516043,2,5,4,40,ALL
Female,75+,NHW,1573.582275,6.268843676,162391,10319829,1,6,1,41,ALL
Female,75+,NHB,1449.654101,17.02817459,18500,1276166.5,1,6,2,42,ALL
Female,75+,HIS,1122.933188,25.88870192,11973,1066225.5,1,6,3,43,ALL
Female,75+,OTH,1009.679361,29.83637006,6760.5,669569,1,6,4,44,ALL
Male,75+,NHW,2179.300234,8.289987984,182027,8352543.5,2,6,1,45,ALL
Male,75+,NHB,2246.249154,25.44728302,19253.5,857140,2,6,2,46,ALL
Male,75+,HIS,1546.448098,32.31181852,12520.5,809629.5,2,6,3,47,ALL
Male,75+,OTH,1353.569373,39.36600354,6985,516043,2,6,4,48,ALL
Female,25-34,NHW,0,0,0,15261592,1,1,1,1,APCA
Female,25-34,NHB,0,0,0,3838385,1,1,2,2,APCA
Female,25-34,HIS,0,0,0,5259442,1,1,3,3,APCA
Female,25-34,OTH,0,0,0,2216671.5,1,1,4,4,APCA
Male,25-34,NHW,0.21091578,0.023559464,33,15646055.5,2,1,1,5,APCA
Male,25-34,NHB,0.563555059,0.086365045,20.5,3637621.5,2,1,2,6,APCA
Male,25-34,HIS,0.141513447,0.035249136,8,5653173,2,1,3,7,APCA
Male,25-34,OTH,0.240660681,0.0233196,5,2077614,2,1,4,8,APCA
Female,35-44,NHW,0,0,0,15261592,1,2,1,9,APCA
Female,35-44,NHB,0,0,0,3838385,1,2,2,10,APCA
Female,35-44,HIS,0,0,0,5259442,1,2,3,11,APCA
Female,35-44,OTH,0,0,0,2216671.5,1,2,4,12,APCA
