subgroup,diseases,count,Grp,population,crude_rate,crude_SE
8,AA_medBMI,116,25-34y M OTH,3712231.947,3.125,0
9,AA_medBMI,352,35-44y F NHW,4806014.575,7.324,0
10,AA_medBMI,684,35-44y F NHB,3679087.019,18.592,0
11,AA_medBMI,1059,35-44y F HIS,4574000.078,23.153,0
12,AA_medBMI,2433,35-44y F OTH,3281347.882,74.146,0
13,AA_medBMI,5,35-44y M NHW,3877956.588,0.129,0
14,AA_medBMI,17,35-44y M NHB,2949898.601,0.576,0
15,AA_medBMI,45,35-44y M HIS,3314492.81,1.358,0
16,AA_medBMI,51,35-44y M OTH,3049333.385,1.672,0
17,AA_medBMI,79,45-54y F NHW,4375130.509,1.806,0
18,AA_medBMI,174,45-54y F NHB,3579652.235,4.861,0
19,AA_medBMI,24,45-54y F HIS,3712231.947,0.647,0
20,AA_medBMI,62,45-54y F OTH,3645942.091,1.701,0
21,AA_medBMI,100,45-54y M NHW,4143116.013,2.414,0
22,AA_medBMI,117,45-54y M NHB,3447072.522,3.394,0
23,AA_medBMI,110,45-54y M HIS,3181913.098,3.457,0
24,AA_medBMI,122,45-54y M OTH,3811666.732,3.201,0
25,AA_medBMI,3,55-64y F NHW,5634637.777,0.053,0
26,AA_medBMI,3,55-64y F NHB,5767217.489,0.052,0
27,AA_medBMI,8,55-64y F HIS,5303188.496,0.151,0
28,AA_medBMI,13,55-64y F OTH,4375130.509,0.297,0
29,AA_medBMI,25,55-64y M NHW,6164956.627,0.406,0
30,AA_medBMI,87,55-64y M NHB,5071173.999,1.716,0
31,AA_medBMI,17,55-64y M HIS,4905449.359,0.347,0
32,AA_medBMI,39,55-64y M OTH,3579652.235,1.089,0
33,AA_medBMI,32,65-74y F NHW,5303188.496,0.603,0
34,AA_medBMI,49,65-74y F NHB,3314492.81,1.478,0
35,AA_medBMI,54,65-74y F HIS,3281347.882,1.646,0
36,AA_medBMI,79,65-74y F OTH,2187565.255,3.611,0
37,AA_medBMI,1,65-74y M NHW,6231246.483,0.016,0
38,AA_medBMI,6,65-74y M NHB,3844811.66,0.156,0
39,AA_medBMI,7,65-74y M HIS,2949898.601,0.237,0
40,AA_medBMI,19,65-74y M OTH,2220710.183,0.856,0
41,AA_medBMI,21,75y+ F NHW,7291884.182,0.288,0
42,AA_medBMI,92,75y+ F NHB,2419579.751,3.802,0
43,AA_medBMI,7,75y+ F HIS,1292652.196,0.542,0
44,AA_medBMI,8,75y+ F OTH,1392086.98,0.575,0
45,AA_medBMI,26,75y+ M NHW,7689623.319,0.338,0
46,AA_medBMI,42,75y+ M NHB,2054985.542,2.044,0
47,AA_medBMI,45,75y+ M HIS,1060637.699,4.243,0
48,AA_medBMI,89,75y+ M OTH,1160072.484,7.672,0
1,AA_medSBP,18,25-34y F NHW,4772869.646,0.377,0
2,AA_medSBP,34,25-34y F NHB,4109971.084,0.827,0
3,AA_medSBP,106,25-34y F HIS,3281347.882,3.23,0
4,AA_medSBP,224,25-34y F OTH,3944246.444,5.679,0
5,AA_medSBP,568,25-34y M NHW,4739724.718,11.984,0
6,AA_medSBP,2443,25-34y M NHB,3082478.313,79.254,0
7,AA_medSBP,48,25-34y M HIS,3314492.81,1.448,0
8,AA_medSBP,116,25-34y M OTH,3712231.947,3.125,0
9,AA_medSBP,352,35-44y F NHW,4806014.575,7.324,0
10,AA_medSBP,684,35-44y F NHB,3679087.019,18.592,0
11,AA_medSBP,1059,35-44y F HIS,4574000.078,23.153,0
12,AA_medSBP,2433,35-44y F OTH,3281347.882,74.146,0
13,AA_medSBP,5,35-44y M NHW,3877956.588,0.129,0
14,AA_medSBP,17,35-44y M NHB,2949898.601,0.576,0
15,AA_medSBP,45,35-44y M HIS,3314492.81,1.358,0
16,AA_medSBP,51,35-44y M OTH,3049333.385,1.672,0
17,AA_medSBP,79,45-54y F NHW,4375130.509,1.806,0
18,AA_medSBP,174,45-54y F NHB,3579652.235,4.861,0
19,AA_medSBP,24,45-54y F HIS,3712231.947,0.647,0
20,AA_medSBP,62,45-54y F OTH,3645942.091,1.701,0
21,AA_medSBP,100,45-54y M NHW,4143116.013,2.414,0
22,AA_medSBP,117,45-54y M NHB,3447072.522,3.394,0
23,AA_medSBP,110,45-54y M HIS,3181913.098,3.457,0
24,AA_medSBP,122,45-54y M OTH,3811666.732,3.201,0
25,AA_medSBP,3,55-64y F NHW,5634637.777,0.053,0
26,AA_medSBP,3,55-64y F NHB,5767217.489,0.052,0
27,AA_medSBP,8,55-64y F HIS,5303188.496,0.151,0
28,AA_medSBP,13,55-64y F OTH,4375130.509,0.297,0
29,AA_medSBP,25,55-64y M NHW,6164956.627,0.406,0
30,AA_medSBP,87,55-64y M NHB,5071173.999,1.716,0
31,AA_medSBP,17,55-64y M HIS,4905449.359,0.347,0
32,AA_medSBP,39,55-64y M OTH,3579652.235,1.089,0
33,AA_medSBP,32,65-74y F NHW,5303188.496,0.603,0
34,AA_medSBP,49,65-74y F NHB,3314492.81,1.478,0
35,AA_medSBP,54,65-74y F HIS,3281347.882,1.646,0
36,AA_medSBP,79,65-74y F OTH,2187565.255,3.611,0
37,AA_medSBP,1,65-74y M NHW,6231246.483,0.016,0
38,AA_medSBP,6,65-74y M NHB,3844811.66,0.156,0
39,AA_medSBP,7,65-74y M HIS,2949898.601,0.237,0
40,AA_medSBP,19,65-74y M OTH,2220710.183,0.856,0
41,AA_medSBP,21,75y+ F NHW,7291884.182,0.288,0
42,AA_medSBP,92,75y+ F NHB,2419579.751,3.802,0
43,AA_medSBP,7,75y+ F HIS,1292652.196,0.542,0
44,AA_medSBP,8,75y+ F OTH,1392086.98,0.575,0
45,AA_medSBP,26,75y+ M NHW,7689623.319,0.338,0
46,AA_medSBP,42,75y+ M NHB,2054985.542,2.044,0
47,AA_medSBP,45,75y+ M HIS,1060637.699,4.243,0
48,AA_medSBP,89,75y+ M OTH,1160072.484,7.672,0
1,AFF,1,25-34y F NHW,4772869.646,0.021,0
2,AFF,5,25-34y F NHB,4109971.084,0.122,0
3,AFF,31,25-34y F HIS,3281347.882,0.945,0
4,AFF,168,25-34y F OTH,3944246.444,4.259,0
5,AFF,629,25-34y M NHW,4739724.718,13.271,0
6,AFF,10306,25-34y M NHB,3082478.313,334.341,0
7,AFF,4,25-34y M HIS,3314492.81,0.121,0
8,AFF,11,25-34y M OTH,3712231.947,0.296,0
9,AFF,81,35-44y F NHW,4806014.575,1.685,0
10,AFF,295,35-44y F NHB,3679087.019,8.018,0
11,AFF,737,35-44y F HIS,4574000.078,16.113,0
12,AFF,5242,35-44y F OTH,3281347.882,159.751,0
13,AFF,0,35-44y M NHW,3877956.588,0,0
14,AFF,4,35-44y M NHB,2949898.601,0.136,0
15,AFF,10,35-44y M HIS,3314492.81,0.302,0
16,AFF,34,35-44y M OTH,3049333.385,1.115,0
17,AFF,77,45-54y F NHW,4375130.509,1.76,0
18,AFF,478,45-54y F NHB,3579652.235,13.353,0
19,AFF,1,45-54y F HIS,3712231.947,0.027,0
20,AFF,7,45-54y F OTH,3645942.091,0.192,0
21,AFF,24,45-54y M NHW,4143116.013,0.579,0
22,AFF,58,45-54y M NHB,3447072.522,1.683,0
23,AFF,74,45-54y M HIS,3181913.098,2.326,0
24,AFF,221,45-54y M OTH,3811666.732,5.798,0
25,AFF,0,55-64y F NHW,5634637.777,0,0
26,AFF,2,55-64y F NHB,5767217.489,0.035,0
27,AFF,4,55-64y F HIS,5303188.496,0.075,0
28,AFF,16,55-64y F OTH,4375130.509,0.366,0
29,AFF,33,55-64y M NHW,6164956.627,0.535,0
30,AFF,298,55-64y M NHB,5071173.999,5.876,0
31,AFF,0,55-64y M HIS,4905449.359,0,0
32,AFF,2,55-64y M OTH,3579652.235,0.056,0
33,AFF,10,65-74y F NHW,5303188.496,0.189,0
34,AFF,20,65-74y F NHB,3314492.81,0.603,0
35,AFF,35,65-74y F HIS,3281347.882,1.067,0
36,AFF,187,65-74y F OTH,2187565.255,8.548,0
37,AFF,0,65-74y M NHW,6231246.483,0,0
38,AFF,1,65-74y M NHB,3844811.66,0.026,0
39,AFF,2,65-74y M HIS,2949898.601,0.068,0
40,AFF,8,65-74y M OTH,2220710.183,0.36,0
41,AFF,18,75y+ F NHW,7291884.182,0.247,0
42,AFF,203,75y+ F NHB,2419579.751,8.39,0
43,AFF,0,75y+ F HIS,1292652.196,0,0
44,AFF,0,75y+ F OTH,1392086.98,0,0
45,AFF,4,75y+ M NHW,7689623.319,0.052,0
46,AFF,10,75y+ M NHB,2054985.542,0.487,0
47,AFF,34,75y+ M HIS,1060637.699,3.206,0
48,AFF,100,75y+ M OTH,1160072.484,8.62,0
1,AFF_medBMI,1,25-34y F NHW,4772869.646,0.021,0
2,AFF_medBMI,5,25-34y F NHB,4109971.084,0.122,0
3,AFF_medBMI,31,25-34y F HIS,3281347.882,0.945,0
4,AFF_medBMI,168,25-34y F OTH,3944246.444,4.259,0
5,AFF_medBMI,629,25-34y M NHW,4739724.718,13.271,0
6,AFF_medBMI,10306,25-34y M NHB,3082478.313,334.341,0
7,AFF_medBMI,4,25-34y M HIS,3314492.81,0.121,0
8,AFF_medBMI,11,25-34y M OTH,3712231.947,0.296,0
9,AFF_medBMI,81,35-44y F NHW,4806014.575,1.685,0
10,AFF_medBMI,295,35-44y F NHB,3679087.019,8.018,0
11,AFF_medBMI,737,35-44y F HIS,4574000.078,16.113,0
12,AFF_medBMI,5242,35-44y F OTH,3281347.882,159.751,0
13,AFF_medBMI,0,35-44y M NHW,3877956.588,0,0
14,AFF_medBMI,4,35-44y M NHB,2949898.601,0.136,0
15,AFF_medBMI,10,35-44y M HIS,3314492.81,0.302,0
16,AFF_medBMI,34,35-44y M OTH,3049333.385,1.115,0
17,AFF_medBMI,77,45-54y F NHW,4375130.509,1.76,0
18,AFF_medBMI,478,45-54y F NHB,3579652.235,13.353,0
19,AFF_medBMI,1,45-54y F HIS,3712231.947,0.027,0
20,AFF_medBMI,7,45-54y F OTH,3645942.091,0.192,0
21,AFF_medBMI,24,45-54y M NHW,4143116.013,0.579,0
22,AFF_medBMI,58,45-54y M NHB,3447072.522,1.683,0
23,AFF_medBMI,74,45-54y M HIS,3181913.098,2.326,0
24,AFF_medBMI,221,45-54y M OTH,3811666.732,5.798,0
25,AFF_medBMI,0,55-64y F NHW,5634637.777,0,0
26,AFF_medBMI,2,55-64y F NHB,5767217.489,0.035,0
27,AFF_medBMI,4,55-64y F HIS,5303188.496,0.075,0
28,AFF_medBMI,16,55-64y F OTH,4375130.509,0.366,0
29,AFF_medBMI,33,55-64y M NHW,6164956.627,0.535,0
30,AFF_medBMI,298,55-64y M NHB,5071173.999,5.876,0
31,AFF_medBMI,0,55-64y M HIS,4905449.359,0,0
32,AFF_medBMI,2,55-64y M OTH,3579652.235,0.056,0
33,AFF_medBMI,10,65-74y F NHW,5303188.496,0.189,0
34,AFF_medBMI,20,65-74y F NHB,3314492.81,0.603,0
35,AFF_medBMI,35,65-74y F HIS,3281347.882,1.067,0
36,AFF_medBMI,187,65-74y F OTH,2187565.255,8.548,0
37,AFF_medBMI,0,65-74y M NHW,6231246.483,0,0
38,AFF_medBMI,1,65-74y M NHB,3844811.66,0.026,0
39,AFF_medBMI,2,65-74y M HIS,2949898.601,0.068,0
40,AFF_medBMI,8,65-74y M OTH,2220710.183,0.36,0
41,AFF_medBMI,18,75y+ F NHW,7291884.182,0.247,0
42,AFF_medBMI,203,75y+ F NHB,2419579.751,8.39,0
43,AFF_medBMI,0,75y+ F HIS,1292652.196,0,0
44,AFF_medBMI,0,75y+ F OTH,1392086.98,0,0
45,AFF_medBMI,4,75y+ M NHW,7689623.319,0.052,0
46,AFF_medBMI,10,75y+ M NHB,2054985.542,0.487,0
47,AFF_medBMI,34,75y+ M HIS,1060637.699,3.206,0
48,AFF_medBMI,100,75y+ M OTH,1160072.484,8.62,0
1,AFF_medSBP,1,25-34y F NHW,4772869.646,0.021,0
2,AFF_medSBP,5,25-34y F NHB,4109971.084,0.122,0
3,AFF_medSBP,31,25-34y F HIS,3281347.882,0.945,0
4,AFF_medSBP,168,25-34y F OTH,3944246.444,4.259,0
5,AFF_medSBP,629,25-34y M NHW,4739724.718,13.271,0
6,AFF_medSBP,10306,25-34y M NHB,3082478.313,334.341,0
7,AFF_medSBP,4,25-34y M HIS,3314492.81,0.121,0
8,AFF_medSBP,11,25-34y M OTH,3712231.947,0.296,0
9,AFF_medSBP,81,35-44y F NHW,4806014.575,1.685,0
10,AFF_medSBP,295,35-44y F NHB,3679087.019,8.018,0
11,AFF_medSBP,737,35-44y F HIS,4574000.078,16.113,0
12,AFF_medSBP,5242,35-44y F OTH,3281347.882,159.751,0
13,AFF_medSBP,0,35-44y M NHW,3877956.588,0,0
14,AFF_medSBP,4,35-44y M NHB,2949898.601,0.136,0
15,AFF_medSBP,10,35-44y M HIS,3314492.81,0.302,0
16,AFF_medSBP,34,35-44y M OTH,3049333.385,1.115,0
17,AFF_medSBP,77,45-54y F NHW,4375130.509,1.76,0
18,AFF_medSBP,478,45-54y F NHB,3579652.235,13.353,0
19,AFF_medSBP,1,45-54y F HIS,3712231.947,0.027,0
20,AFF_medSBP,7,45-54y F OTH,3645942.091,0.192,0
21,AFF_medSBP,24,45-54y M NHW,4143116.013,0.579,0
22,AFF_medSBP,58,45-54y M NHB,3447072.522,1.683,0
23,AFF_medSBP,74,45-54y M HIS,3181913.098,2.326,0
24,AFF_medSBP,221,45-54y M OTH,3811666.732,5.798,0
25,AFF_medSBP,0,55-64y F NHW,5634637.777,0,0
26,AFF_medSBP,2,55-64y F NHB,5767217.489,0.035,0
27,AFF_medSBP,4,55-64y F HIS,5303188.496,0.075,0
28,AFF_medSBP,16,55-64y F OTH,4375130.509,0.366,0
29,AFF_medSBP,33,55-64y M NHW,6164956.627,0.535,0
30,AFF_medSBP,298,55-64y M NHB,5071173.999,5.876,0
31,AFF_medSBP,0,55-64y M HIS,4905449.359,0,0
32,AFF_medSBP,2,55-64y M OTH,3579652.235,0.056,0
33,AFF_medSBP,10,65-74y F NHW,5303188.496,0.189,0
34,AFF_medSBP,20,65-74y F NHB,3314492.81,0.603,0
35,AFF_medSBP,35,65-74y F HIS,3281347.882,1.067,0
36,AFF_medSBP,187,65-74y F OTH,2187565.255,8.548,0
37,AFF_medSBP,0,65-74y M NHW,6231246.483,0,0
38,AFF_medSBP,1,65-74y M NHB,3844811.66,0.026,0
39,AFF_medSBP,2,65-74y M HIS,2949898.601,0.068,0
40,AFF_medSBP,8,65-74y M OTH,2220710.183,0.36,0
41,AFF_medSBP,18,75y+ F NHW,7291884.182,0.247,0
42,AFF_medSBP,203,75y+ F NHB,2419579.751,8.39,0
43,AFF_medSBP,0,75y+ F HIS,1292652.196,0,0
44,AFF_medSBP,0,75y+ F OTH,1392086.98,0,0
45,AFF_medSBP,4,75y+ M NHW,7689623.319,0.052,0
46,AFF_medSBP,10,75y+ M NHB,2054985.542,0.487,0
47,AFF_medSBP,34,75y+ M HIS,1060637.699,3.206,0
48,AFF_medSBP,100,75y+ M OTH,1160072.484,8.62,0
1,ALL,3086,25-34 years Female Non-Hispanic White,4772869.646,64.657,0
2,ALL,598,25-34 years Female Non-Hispanic Black,4109971.084,14.55,0
3,ALL,1444,25-34 years Female Hispanic (All Races),3281347.882,44.006,0
4,ALL,784,25-34 years Female OTHER,3944246.444,19.877,0
5,ALL,2012,25-34 years Male Non-Hispanic White,4739724.718,42.45,0
6,ALL,284,25-34 years Male Non-Hispanic Black,3082478.313,9.213,0
7,ALL,961,25-34 years Male Hispanic (All Races),3314492.81,28.994,0
8,ALL,423,25-34 years Male OTHER,3712231.947,11.395,0
9,ALL,6991,35-44 years Female Non-Hispanic White,4806014.575,145.464,0
10,ALL,1580,35-44 years Female Non-Hispanic Black,3679087.019,42.945,0
11,ALL,3230,35-44 years Female Hispanic (All Races),4574000.078,70.617,0
12,ALL,2192,35-44 years Female OTHER,3281347.882,66.802,0
13,ALL,3879,35-44 years Male Non-Hispanic White,3877956.588,100.027,0
14,ALL,727,35-44 years Male Non-Hispanic Black,2949898.601,24.645,0
15,ALL,1349,35-44 years Male Hispanic (All Races),3314492.81,40.7,0
16,ALL,832,35-44 years Male OTHER,3049333.385,27.285,0
17,ALL,16596,45-54 years Female Non-Hispanic White,4375130.509,379.326,0
18,ALL,3192,45-54 years Female Non-Hispanic Black,3579652.235,89.171,0
19,ALL,5459,45-54 years Female Hispanic (All Races),3712231.947,147.054,0
20,ALL,4001,45-54 years Female OTHER,3645942.091,109.738,0
21,ALL,12183,45-54 years Male Non-Hispanic White,4143116.013,294.054,0
22,ALL,2717,45-54 years Male Non-Hispanic Black,3447072.522,78.821,0
23,ALL,3178,45-54 years Male Hispanic (All Races),3181913.098,99.877,0
24,ALL,2073,45-54 years Male OTHER,3811666.732,54.386,0
25,ALL,31779,55-64 years Female Non-Hispanic White,5634637.777,563.994,0
26,ALL,5769,55-64 years Female Non-Hispanic Black,5767217.489,100.031,0
27,ALL,6824,55-64 years Female Hispanic (All Races),5303188.496,128.677,0
28,ALL,5250,55-64 years Female OTHER,4375130.509,119.996,0
29,ALL,36476,55-64 years Male Non-Hispanic White,6164956.627,591.667,0
30,ALL,7367,55-64 years Male Non-Hispanic Black,5071173.999,145.272,0
31,ALL,6398,55-64 years Male Hispanic (All Races),4905449.359,130.426,0
32,ALL,5016,55-64 years Male OTHER,3579652.235,140.125,0
33,ALL,40844,65-74 years Female Non-Hispanic White,5303188.496,770.178,0
34,ALL,5819,65-74 years Female Non-Hispanic Black,3314492.81,175.562,0
35,ALL,6098,65-74 years Female Hispanic (All Races),3281347.882,185.838,0
36,ALL,5467,65-74 years Female OTHER,2187565.255,249.913,0
37,ALL,51540,65-74 years Male Non-Hispanic White,6231246.483,827.122,0
38,ALL,7334,65-74 years Male Non-Hispanic Black,3844811.66,190.751,0
39,ALL,6671,65-74 years Male Hispanic (All Races),2949898.601,226.143,0
40,ALL,6448,65-74 years Male OTHER,2220710.183,290.358,0
41,ALL,143006,75+ years Female Non-Hispanic White,7291884.182,1961.167,0
42,ALL,21638,75+ years Female Non-Hispanic Black,2419579.751,894.288,0
43,ALL,29172,75+ years Female Hispanic (All Races),1292652.196,2256.756,0
44,ALL,22959,75+ years Female OTHER,1392086.98,1649.25,0
45,ALL,152981,75+ years Male Non-Hispanic White,7689623.319,1989.447,0
46,ALL,22521,75+ years Male Non-Hispanic Black,2054985.542,1095.92,0
47,ALL,24675,75+ years Male Hispanic (All Races),1060637.699,2326.431,0
48,ALL,20420,75+ years Male OTHER,1160072.484,1760.235,0
1,APCA,0,25-34 years Female Non-Hispanic White,4772869.646,0,0
2,APCA,0,25-34 years Female Non-Hispanic Black,4109971.084,0,0
3,APCA,0,25-34 years Female Hispanic (All Races),3281347.882,0,0
4,APCA,0,25-34 years Female OTHER,3944246.444,0,0
5,APCA,1,25-34 years Male Non-Hispanic White,4739724.718,0.021,0
6,APCA,0,25-34 years Male Non-Hispanic Black,3082478.313,0,0
7,APCA,1,25-34 years Male Hispanic (All Races),3314492.81,0.03,0
8,APCA,0,25-34 years Male OTHER,3712231.947,0,0
9,APCA,0,35-44 years Female Non-Hispanic White,4806014.575,0,0
10,APCA,0,35-44 years Female Non-Hispanic Black,3679087.019,0,0
11,APCA,0,35-44 years Female Hispanic (All Races),4574000.078,0,0
12,APCA,0,35-44 years Female OTHER,3281347.882,0,0
13,APCA,11,35-44 years Male Non-Hispanic White,3877956.588,0.284,0
14,APCA,10,35-44 years Male Non-Hispanic Black,2949898.601,0.339,0
15,APCA,8,35-44 years Male Hispanic (All Races),3314492.81,0.241,0
16,APCA,2,35-44 years Male OTHER,3049333.385,0.066,0
17,APCA,0,45-54 years Female Non-Hispanic White,4375130.509,0,0
18,APCA,0,45-54 years Female Non-Hispanic Black,3579652.235,0,0
19,APCA,0,45-54 years Female Hispanic (All Races),3712231.947,0,0
20,APCA,0,45-54 years Female OTHER,3645942.091,0,0
21,APCA,476,45-54 years Male Non-Hispanic White,4143116.013,11.489,0
22,APCA,182,45-54 years Male Non-Hispanic Black,3447072.522,5.28,0
23,APCA,130,45-54 years Male Hispanic (All Races),3181913.098,4.086,0
24,APCA,38,45-54 years Male OTHER,3811666.732,0.997,0
25,APCA,0,55-64 years Female Non-Hispanic White,5634637.777,0,0
26,APCA,0,55-64 years Female Non-Hispanic Black,5767217.489,0,0
27,APCA,0,55-64 years Female Hispanic (All Races),5303188.496,0,0
28,APCA,0,55-64 years Female OTHER,4375130.509,0,0
29,APCA,2299,55-64 years Male Non-Hispanic White,6164956.627,37.291,0
30,APCA,665,55-64 years Male Non-Hispanic Black,5071173.999,13.113,0
31,APCA,461,55-64 years Male Hispanic (All Races),4905449.359,9.398,0
32,APCA,236,55-64 years Male OTHER,3579652.235,6.593,0
33,APCA,0,65-74 years Female Non-Hispanic White,5303188.496,0,0
34,APCA,0,65-74 years Female Non-Hispanic Black,3314492.81,0,0
35,APCA,0,65-74 years Female Hispanic (All Races),3281347.882,0,0
36,APCA,0,65-74 years Female OTHER,2187565.255,0,0
37,APCA,3277,65-74 years Male Non-Hispanic White,6231246.483,52.59,0
38,APCA,537,65-74 years Male Non-Hispanic Black,3844811.66,13.967,0
39,APCA,486,65-74 years Male Hispanic (All Races),2949898.601,16.475,0
40,APCA,395,65-74 years Male OTHER,2220710.183,17.787,0
41,APCA,0,75+ years Female Non-Hispanic White,7291884.182,0,0
42,APCA,0,75+ years Female Non-Hispanic Black,2419579.751,0,0
43,APCA,0,75+ years Female Hispanic (All Races),1292652.196,0,0
44,APCA,0,75+ years Female OTHER,1392086.98,0,0
45,APCA,8171,75+ years Male Non-Hispanic White,7689623.319,106.26,0
46,APCA,1626,75+ years Male Non-Hispanic Black,2054985.542,79.125,0
47,APCA,1397,75+ years Male Hispanic (All Races),1060637.699,131.713,0
48,APCA,925,75+ years Male OTHER,1160072.484,79.736,0
1,BC,0,25-34 years Female Non-Hispanic White,4772869.646,0,0
2,BC,0,25-34 years Female Non-Hispanic Black,4109971.084,0,0
3,BC,0,25-34 years Female Hispanic (All Races),3281347.882,0,0
4,BC,0,25-34 years Female OTHER,3944246.444,0,0
5,BC,0,25-34 years Male Non-Hispanic White,4739724.718,0,0
6,BC,0,25-34 years Male Non-Hispanic Black,3082478.313,0,0
7,BC,0,25-34 years Male Hispanic (All Races),3314492.81,0,0
8,BC,0,25-34 years Male OTHER,3712231.947,0,0
9,BC,0,35-44 years Female Non-Hispanic White,4806014.575,0,0
10,BC,0,35-44 years Female Non-Hispanic Black,3679087.019,0,0
11,BC,0,35-44 years Female Hispanic (All Races),4574000.078,0,0
12,BC,0,35-44 years Female OTHER,3281347.882,0,0
13,BC,0,35-44 years Male Non-Hispanic White,3877956.588,0,0
14,BC,0,35-44 years Male Non-Hispanic Black,2949898.601,0,0
15,BC,0,35-44 years Male Hispanic (All Races),3314492.81,0,0
16,BC,0,35-44 years Male OTHER,3049333.385,0,0
17,BC,3036,45-54 years Female Non-Hispanic White,4375130.509,69.392,0
18,BC,584,45-54 years Female Non-Hispanic Black,3579652.235,16.314,0
19,BC,839,45-54 years Female Hispanic (All Races),3712231.947,22.601,0
20,BC,699,45-54 years Female OTHER,3645942.091,19.172,0
21,BC,0,45-54 years Male Non-Hispanic White,4143116.013,0,0
22,BC,0,45-54 years Male Non-Hispanic Black,3447072.522,0,0
23,BC,0,45-54 years Male Hispanic (All Races),3181913.098,0,0
24,BC,0,45-54 years Male OTHER,3811666.732,0,0
25,BC,10743,55-64 years Female Non-Hispanic White,5634637.777,190.66,0
26,BC,1910,55-64 years Female Non-Hispanic Black,5767217.489,33.118,0
27,BC,2243,55-64 years Female Hispanic (All Races),5303188.496,42.295,0
28,BC,1973,55-64 years Female OTHER,4375130.509,45.096,0
29,BC,0,55-64 years Male Non-Hispanic White,6164956.627,0,0
30,BC,0,55-64 years Male Non-Hispanic Black,5071173.999,0,0
31,BC,0,55-64 years Male Hispanic (All Races),4905449.359,0,0
32,BC,0,55-64 years Male OTHER,3579652.235,0,0
33,BC,12631,65-74 years Female Non-Hispanic White,5303188.496,238.177,0
34,BC,1720,65-74 years Female Non-Hispanic Black,3314492.81,51.893,0
35,BC,1841,65-74 years Female Hispanic (All Races),3281347.882,56.105,0
36,BC,1930,65-74 years Female OTHER,2187565.255,88.226,0
37,BC,0,65-74 years Male Non-Hispanic White,6231246.483,0,0
38,BC,0,65-74 years Male Non-Hispanic Black,3844811.66,0,0
39,BC,0,65-74 years Male Hispanic (All Races),2949898.601,0,0
40,BC,0,65-74 years Male OTHER,2220710.183,0,0
