subgroup,Grp,Age,Age_label,Sex,Sex_label,Race,Race_label,CancerSites,count,population,crude_rate,crude_SE
19,45-54y F HIS,3,45-54,1,Female,3,HIS,Lung and Bronchus,375,2783977,13.47,1.372
20,45-54y F OTH,3,45-54,1,Female,4,OTH,Lung and Bronchus,302,1439250,20.983,2.738
21,45-54y M NHW,3,45-54,2,Male,1,NHW,Lung and Bronchus,6037,14500000,41.526,0.746
22,45-54y M NHB,3,45-54,2,Male,2,NHB,Lung and Bronchus,1268,2549908,49.727,1.971
23,45-54y M HIS,3,45-54,2,Male,3,HIS,Lung and Bronchus,341,2769496,12.313,0.962
24,45-54y M OTH,3,45-54,2,Male,4,OTH,Lung and Bronchus,281,1195835,23.498,2.737
25,55-64y F NHW,4,55-64,1,Female,1,NHW,Lung and Bronchus,16465,14700000,112.301,1.244
26,55-64y F NHB,4,55-64,1,Female,2,NHB,Lung and Bronchus,2649,2394848,110.612,3.068
27,55-64y F HIS,4,55-64,1,Female,3,HIS,Lung and Bronchus,849,1889308,44.937,3.22
28,55-64y F OTH,4,55-64,1,Female,4,OTH,Lung and Bronchus,641,1178370,54.397,4.957
29,55-64y M NHW,4,55-64,2,Male,1,NHW,Lung and Bronchus,19489,14000000,139.365,1.422
30,55-64y M NHB,4,55-64,2,Male,2,NHB,Lung and Bronchus,3704,2000803,185.126,4.359
31,55-64y M HIS,4,55-64,2,Male,3,HIS,Lung and Bronchus,1056,1746075,60.479,3.932
32,55-64y M OTH,4,55-64,2,Male,4,OTH,Lung and Bronchus,782,987955,79.153,6.223
33,65-74y F NHW,5,65-74,1,Female,1,NHW,Lung and Bronchus,57763,19500000,295.612,2.798
34,65-74y F NHB,5,65-74,1,Female,2,NHB,Lung and Bronchus,5633,2329909,241.769,7.297
35,65-74y F HIS,5,65-74,1,Female,3,HIS,Lung and Bronchus,2567,1814268,141.49,7.982
36,65-74y F OTH,5,65-74,1,Female,4,OTH,Lung and Bronchus,1862,1154945,161.22,13.424
37,65-74y M NHW,5,65-74,2,Male,1,NHW,Lung and Bronchus,62487,15600000,401.433,3.734
38,65-74y M NHB,5,65-74,2,Male,2,NHB,Lung and Bronchus,6554,1542829,424.804,12.095
39,65-74y M HIS,5,65-74,2,Male,3,HIS,Lung and Bronchus,3241,1372344,236.165,13.406
40,65-74y M OTH,5,65-74,2,Male,4,OTH,Lung and Bronchus,2302,891473,258.224,19.915
41,75y+ F NHW,6,75+,1,Female,1,NHW,Lung and Bronchus,57763,19500000,295.612,2.798
42,75y+ F NHB,6,75+,1,Female,2,NHB,Lung and Bronchus,5633,2329909,241.769,7.297
43,75y+ F HIS,6,75+,1,Female,3,HIS,Lung and Bronchus,2567,1814268,141.49,7.982
44,75y+ F OTH,6,75+,1,Female,4,OTH,Lung and Bronchus,1862,1154945,161.22,13.424
45,75y+ M NHW,6,75+,2,Male,1,NHW,Lung and Bronchus,62487,15600000,401.433,3.734
46,75y+ M NHB,6,75+,2,Male,2,NHB,Lung and Bronchus,6554,1542829,424.804,12.095
47,75y+ M HIS,6,75+,2,Male,3,HIS,Lung and Bronchus,3241,1372344,236.165,13.406
48,75y+ M OTH,6,75+,2,Male,4,OTH,Lung and Bronchus,2302,891473,258.224,19.915
1,25-34y F NHW,1,25-34,1,Female,1,NHW,Colon and Rectum,2234,30600000,7.313,0.346
2,25-34y F NHB,1,25-34,1,Female,2,NHB,Colon and Rectum,524,7484062,7.002,0.704
3,25-34y F HIS,1,25-34,1,Female,3,HIS,Colon and Rectum,434,7460428,5.817,0.581
4,25-34y F OTH,1,25-34,1,Female,4,OTH,Colon and Rectum,170,2313673,7.348,0.981
5,25-34y M NHW,1,25-34,2,Male,1,NHW,Colon and Rectum,2421,31200000,7.764,0.355
6,25-34y M NHB,1,25-34,2,Male,2,NHB,Colon and Rectum,504,5220310,9.655,0.876
7,25-34y M HIS,1,25-34,2,Male,3,HIS,Colon and Rectum,508,10300000,4.919,0.518
8,25-34y M OTH,1,25-34,2,Male,4,OTH,Colon and Rectum,190,2771290,6.856,1.003
9,35-44y F NHW,2,35-44,1,Female,1,NHW,Colon and Rectum,2234,30600000,7.313,0.346
10,35-44y F NHB,2,35-44,1,Female,2,NHB,Colon and Rectum,524,7484062,7.002,0.704
11,35-44y F HIS,2,35-44,1,Female,3,HIS,Colon and Rectum,434,7460428,5.817,0.581
12,35-44y F OTH,2,35-44,1,Female,4,OTH,Colon and Rectum,170,2313673,7.348,0.981
13,35-44y M NHW,2,35-44,2,Male,1,NHW,Colon and Rectum,2421,31200000,7.764,0.355
14,35-44y M NHB,2,35-44,2,Male,2,NHB,Colon and Rectum,504,5220310,9.655,0.876
15,35-44y M HIS,2,35-44,2,Male,3,HIS,Colon and Rectum,508,10300000,4.919,0.518
16,35-44y M OTH,2,35-44,2,Male,4,OTH,Colon and Rectum,190,2771290,6.856,1.003
17,45-54y F NHW,3,45-54,1,Female,1,NHW,Colon and Rectum,5547,14700000,37.657,0.709
18,45-54y F NHB,3,45-54,1,Female,2,NHB,Colon and Rectum,1446,2885488,50.113,1.86
19,45-54y F HIS,3,45-54,1,Female,3,HIS,Colon and Rectum,895,2783977,32.148,1.862
20,45-54y F OTH,3,45-54,1,Female,4,OTH,Colon and Rectum,439,1439250,30.502,3.138
21,45-54y M NHW,3,45-54,2,Male,1,NHW,Colon and Rectum,7162,14500000,49.265,0.816
22,45-54y M NHB,3,45-54,2,Male,2,NHB,Colon and Rectum,1511,2549908,59.257,2.153
23,45-54y M HIS,3,45-54,2,Male,3,HIS,Colon and Rectum,967,2829508,34.176,1.901
24,45-54y M OTH,3,45-54,2,Male,4,OTH,Colon and Rectum,563,1277639,44.066,3.777
25,55-64y F NHW,4,55-64,1,Female,1,NHW,Colon and Rectum,8473,14700000,57.791,0.891
26,55-64y F NHB,4,55-64,1,Female,2,NHB,Colon and Rectum,2029,2394848,84.724,2.675
27,55-64y F HIS,4,55-64,1,Female,3,HIS,Colon and Rectum,1020,1850134,55.131,2.847
28,55-64y F OTH,4,55-64,1,Female,4,OTH,Colon and Rectum,606,1178370,51.427,4.453
29,55-64y M NHW,4,55-64,2,Male,1,NHW,Colon and Rectum,11785,14000000,84.274,1.103
30,55-64y M NHB,4,55-64,2,Male,2,NHB,Colon and Rectum,2439,2000803,121.901,3.524
31,55-64y M HIS,4,55-64,2,Male,3,HIS,Colon and Rectum,1468,1698932,86.407,3.826
32,55-64y M OTH,4,55-64,2,Male,4,OTH,Colon and Rectum,800,987955,80.975,5.906
33,65-74y F NHW,5,65-74,1,Female,1,NHW,Colon and Rectum,31237,19500000,159.861,2.112
34,65-74y F NHB,5,65-74,1,Female,2,NHB,Colon and Rectum,3921,2329909,168.29,6.237
35,65-74y F HIS,5,65-74,1,Female,3,HIS,Colon and Rectum,2305,1776878,129.722,7.021
36,65-74y F OTH,5,65-74,1,Female,4,OTH,Colon and Rectum,1326,1154945,114.811,11.406
37,65-74y M NHW,5,65-74,2,Male,1,NHW,Colon and Rectum,30471,15600000,195.754,2.663
38,65-74y M NHB,5,65-74,2,Male,2,NHB,Colon and Rectum,3568,1542829,231.264,9.124
39,65-74y M HIS,5,65-74,2,Male,3,HIS,Colon and Rectum,2606,1320113,197.407,9.069
40,65-74y M OTH,5,65-74,2,Male,4,OTH,Colon and Rectum,1405,881859,159.323,14.279
41,75y+ F NHW,6,75+,1,Female,1,NHW,Colon and Rectum,31237,19500000,159.861,2.112
42,75y+ F NHB,6,75+,1,Female,2,NHB,Colon and Rectum,3921,2329909,168.29,6.237
43,75y+ F HIS,6,75+,1,Female,3,HIS,Colon and Rectum,2305,1776878,129.722,7.021
44,75y+ F OTH,6,75+,1,Female,4,OTH,Colon and Rectum,1326,1154945,114.811,11.406
45,75y+ M NHW,6,75+,2,Male,1,NHW,Colon and Rectum,30471,15600000,195.754,2.663
46,75y+ M NHB,6,75+,2,Male,2,NHB,Colon and Rectum,3568,1542829,231.264,9.124
47,75y+ M HIS,6,75+,2,Male,3,HIS,Colon and Rectum,2606,1320113,197.407,9.069
48,75y+ M OTH,6,75+,2,Male,4,OTH,Colon and Rectum,1405,881859,159.323,14.279
1,25-34y F NHW,1,25-34,1,Female,1,NHW,Female Breast,13757,30600000,45.031,0.858
2,25-34y F NHB,1,25-34,1,Female,2,NHB,Female Breast,3297,7484062,44.054,1.772
3,25-34y F HIS,1,25-34,1,Female,3,HIS,Female Breast,3068,9562112,32.085,1.697
4,25-34y F OTH,1,25-34,1,Female,4,OTH,Female Breast,1630,3323973,49.038,3.361
5,25-34y M NHW,1,25-34,2,Male,1,NHW,Female Breast,0,0,0,0
6,25-34y M NHB,1,25-34,2,Male,2,NHB,Female Breast,0,0,0,0
7,25-34y M HIS,1,25-34,2,Male,3,HIS,Female Breast,0,0,0,0
8,25-34y M OTH,1,25-34,2,Male,4,OTH,Female Breast,0,0,0,0
9,35-44y F NHW,2,35-44,1,Female,1,NHW,Female Breast,13757,30600000,45.031,0.858
10,35-44y F NHB,2,35-44,1,Female,2,NHB,Female Breast,3297,7484062,44.054,1.772
11,35-44y F HIS,2,35-44,1,Female,3,HIS,Female Breast,3068,9562112,32.085,1.697
12,35-44y F OTH,2,35-44,1,Female,4,OTH,Female Breast,1630,3323973,49.038,3.361
13,35-44y M NHW,2,35-44,2,Male,1,NHW,Female Breast,0,0,0,0
14,35-44y M NHB,2,35-44,2,Male,2,NHB,Female Breast,0,0,0,0
15,35-44y M HIS,2,35-44,2,Male,3,HIS,Female Breast,0,0,0,0
16,35-44y M OTH,2,35-44,2,Male,4,OTH,Female Breast,0,0,0,0
17,45-54y F NHW,3,45-54,1,Female,1,NHW,Female Breast,30658,14700000,208.129,1.677
18,45-54y F NHB,3,45-54,1,Female,2,NHB,Female Breast,5856,2885488,202.947,3.747
19,45-54y F HIS,3,45-54,1,Female,3,HIS,Female Breast,4405,2908240,151.466,4.945
20,45-54y F OTH,3,45-54,1,Female,4,OTH,Female Breast,2527,1439250,175.578,6.795
21,45-54y M NHW,3,45-54,2,Male,1,NHW,Female Breast,0,0,0,0
22,45-54y M NHB,3,45-54,2,Male,2,NHB,Female Breast,0,0,0,0
23,45-54y M HIS,3,45-54,2,Male,3,HIS,Female Breast,0,0,0,0
24,45-54y M OTH,3,45-54,2,Male,4,OTH,Female Breast,0,0,0,0
25,55-64y F NHW,4,55-64,1,Female,1,NHW,Female Breast,43320,14700000,295.467,2.015
26,55-64y F NHB,4,55-64,1,Female,2,NHB,Female Breast,6939,2394848,289.747,4.945
27,55-64y F HIS,4,55-64,1,Female,3,HIS,Female Breast,4178,1905282,219.285,6.906
28,55-64y F OTH,4,55-64,1,Female,4,OTH,Female Breast,2523,1178370,214.109,8.593
29,55-64y M NHW,4,55-64,2,Male,1,NHW,Female Breast,0,0,0,0
30,55-64y M NHB,4,55-64,2,Male,2,NHB,Female Breast,0,0,0,0
31,55-64y M HIS,4,55-64,2,Male,3,HIS,Female Breast,0,0,0,0
32,55-64y M OTH,4,55-64,2,Male,4,OTH,Female Breast,0,0,0,0
33,65-74y F NHW,5,65-74,1,Female,1,NHW,Female Breast,82675,19500000,423.103,3.276
34,65-74y F NHB,5,65-74,1,Female,2,NHB,Female Breast,9118,2329909,391.346,9.104
35,65-74y F HIS,5,65-74,1,Female,3,HIS,Female Breast,5559,1831297,303.555,11.967
36,65-74y F OTH,5,65-74,1,Female,4,OTH,Female Breast,3058,1154945,264.775,15.671
37,65-74y M NHW,5,65-74,2,Male,1,NHW,Female Breast,0,0,0,0
38,65-74y M NHB,5,65-74,2,Male,2,NHB,Female Breast,0,0,0,0
39,65-74y M HIS,5,65-74,2,Male,3,HIS,Female Breast,0,0,0,0
40,65-74y M OTH,5,65-74,2,Male,4,OTH,Female Breast,0,0,0,0
41,75y+ F NHW,6,75+,1,Female,1,NHW,Female Breast,82675,19500000,423.103,3.276
42,75y+ F NHB,6,75+,1,Female,2,NHB,Female Breast,9118,2329909,391.346,9.104
43,75y+ F HIS,6,75+,1,Female,3,HIS,Female Breast,5559,1831297,303.555,11.967
44,75y+ F OTH,6,75+,1,Female,4,OTH,Female Breast,3058,1154945,264.775,15.671
45,75y+ M NHW,6,75+,2,Male,1,NHW,Female Breast,0,0,0,0
46,75y+ M NHB,6,75+,2,Male,2,NHB,Female Breast,0,0,0,0
47,75y+ M HIS,6,75+,2,Male,3,HIS,Female Breast,0,0,0,0
48,75y+ M OTH,6,75+,2,Male,4,OTH,Female Breast,0,0,0,0
1,25-34y F NHW,1,25-34,1,Female,1,NHW,Gallbladder,0,12500000,0,0
2,25-34y F NHB,1,25-34,1,Female,2,NHB,Gallbladder,0,1763629,0,0
3,25-34y F HIS,1,25-34,1,Female,3,HIS,Gallbladder,0,2786739,0,0
4,25-34y F OTH,1,25-34,1,Female,4,OTH,Gallbladder,0,1043574,0,0
5,25-34y M NHW,1,25-34,2,Male,1,NHW,Gallbladder,0,6593248,0,0
6,25-34y M NHB,1,25-34,2,Male,2,NHB,Gallbladder,0,3226343,0,0
7,25-34y M HIS,1,25-34,2,Male,3,HIS,Gallbladder,0,3270031,0,0
8,25-34y M OTH,1,25-34,2,Male,4,OTH,Gallbladder,0,1775294,0,0
9,35-44y F NHW,2,35-44,1,Female,1,NHW,Gallbladder,0,12500000,0,0
10,35-44y F NHB,2,35-44,1,Female,2,NHB,Gallbladder,0,1763629,0,0
11,35-44y F HIS,2,35-44,1,Female,3,HIS,Gallbladder,0,2786739,0,0
12,35-44y F OTH,2,35-44,1,Female,4,OTH,Gallbladder,0,1043574,0,0
13,35-44y M NHW,2,35-44,2,Male,1,NHW,Gallbladder,0,6593248,0,0
14,35-44y M NHB,2,35-44,2,Male,2,NHB,Gallbladder,0,3226343,0,0
15,35-44y M HIS,2,35-44,2,Male,3,HIS,Gallbladder,0,3270031,0,0
16,35-44y M OTH,2,35-44,2,Male,4,OTH,Gallbladder,0,1775294,0,0
17,45-54y F NHW,3,45-54,1,Female,1,NHW,Gallbladder,74,14700000,0.502,0.081
18,45-54y F NHB,3,45-54,1,Female,2,NHB,Gallbladder,55,2885488,1.906,0.363
19,45-54y F HIS,3,45-54,1,Female,3,HIS,Gallbladder,31,1478597,2.097,0.408
20,45-54y F OTH,3,45-54,1,Female,4,OTH,Gallbladder,0,87248,0,0
21,45-54y M NHW,3,45-54,2,Male,1,NHW,Gallbladder,53,14500000,0.365,0.07
22,45-54y M NHB,3,45-54,2,Male,2,NHB,Gallbladder,0,0,0,0
23,45-54y M HIS,3,45-54,2,Male,3,HIS,Gallbladder,20,1513427,1.322,0.324
24,45-54y M OTH,3,45-54,2,Male,4,OTH,Gallbladder,0,81804,0,0
25,55-64y F NHW,4,55-64,1,Female,1,NHW,Gallbladder,276,14700000,1.882,0.161
26,55-64y F NHB,4,55-64,1,Female,2,NHB,Gallbladder,117,2394848,4.885,0.638
27,55-64y F HIS,4,55-64,1,Female,3,HIS,Gallbladder,98,1879153,5.215,0.768
28,55-64y F OTH,4,55-64,1,Female,4,OTH,Gallbladder,18,471508,3.818,0.9
29,55-64y M NHW,4,55-64,2,Male,1,NHW,Gallbladder,148,14000000,1.058,0.124
30,55-64y M NHB,4,55-64,2,Male,2,NHB,Gallbladder,20,867525,2.305,0.516
31,55-64y M HIS,4,55-64,2,Male,3,HIS,Gallbladder,20,826633,2.419,0.588
32,55-64y M OTH,4,55-64,2,Male,4,OTH,Gallbladder,0,0,0,0
33,65-74y F NHW,5,65-74,1,Female,1,NHW,Gallbladder,1207,19500000,6.177,0.414
34,65-74y F NHB,5,65-74,1,Female,2,NHB,Gallbladder,229,2329909,9.829,1.516
35,65-74y F HIS,5,65-74,1,Female,3,HIS,Gallbladder,231,1809776,12.764,1.968
36,65-74y F OTH,5,65-74,1,Female,4,OTH,Gallbladder,55,772945,7.116,1.696
37,65-74y M NHW,5,65-74,2,Male,1,NHW,Gallbladder,607,15600000,3.9,0.378
38,65-74y M NHB,5,65-74,2,Male,2,NHB,Gallbladder,102,1417145,7.198,1.554
39,65-74y M HIS,5,65-74,2,Male,3,HIS,Gallbladder,65,1135714,5.723,1.32
40,65-74y M OTH,5,65-74,2,Male,4,OTH,Gallbladder,0,0,0,0
41,75y+ F NHW,6,75+,1,Female,1,NHW,Gallbladder,1207,19500000,6.177,0.414
42,75y+ F NHB,6,75+,1,Female,2,NHB,Gallbladder,229,2329909,9.829,1.516
43,75y+ F HIS,6,75+,1,Female,3,HIS,Gallbladder,231,1809776,12.764,1.968
44,75y+ F OTH,6,75+,1,Female,4,OTH,Gallbladder,55,772945,7.116,1.696
45,75y+ M NHW,6,75+,2,Male,1,NHW,Gallbladder,607,15600000,3.9,0.378
46,75y+ M NHB,6,75+,2,Male,2,NHB,Gallbladder,102,1417145,7.198,1.554
47,75y+ M HIS,6,75+,2,Male,3,HIS,Gallbladder,65,1135714,5.723,1.32
48,75y+ M OTH,6,75+,2,Male,4,OTH,Gallbladder,0,0,0,0
1,25-34y F NHW,1,25-34,1,Female,1,NHW,Stomach,205,24200000,0.846,0.118
2,25-34y F NHB,1,25-34,1,Female,2,NHB,Stomach,89,4213789,2.112,0.388
3,25-34y F HIS,1,25-34,1,Female,3,HIS,Stomach,154,5955693,2.586,0.388
4,25-34y F OTH,1,25-34,1,Female,4,OTH,Stomach,53,2388813,2.219,0.541
5,25-34y M NHW,1,25-34,2,Male,1,NHW,Stomach,267,24600000,1.086,0.133
6,25-34y M NHB,1,25-34,2,Male,2,NHB,Stomach,90,3782094,2.38,0.437
7,25-34y M HIS,1,25-34,2,Male,3,HIS,Stomach,181,6227792,2.906,0.402
8,25-34y M OTH,1,25-34,2,Male,4,OTH,Stomach,34,1558271,2.182,0.572
9,35-44y F NHW,2,35-44,1,Female,1,NHW,Stomach,205,24200000,0.846,0.118
10,35-44y F NHB,2,35-44,1,Female,2,NHB,Stomach,89,4213789,2.112,0.388
11,35-44y F HIS,2,35-44,1,Female,3,HIS,Stomach,154,5955693,2.586,0.388
12,35-44y F OTH,2,35-44,1,Female,4,OTH,Stomach,53,2388813,2.219,0.541
13,35-44y M NHW,2,35-44,2,Male,1,NHW,Stomach,267,24600000,1.086,0.133
14,35-44y M NHB,2,35-44,2,Male,2,NHB,Stomach,90,3782094,2.38,0.437
15,35-44y M HIS,2,35-44,2,Male,3,HIS,Stomach,181,6227792,2.906,0.402
16,35-44y M OTH,2,35-44,2,Male,4,OTH,Stomach,34,1558271,2.182,0.572
17,45-54y F NHW,3,45-54,1,Female,1,NHW,Stomach,459,14700000,3.116,0.204
18,45-54y F NHB,3,45-54,1,Female,2,NHB,Stomach,166,2885488,5.753,0.631
19,45-54y F HIS,3,45-54,1,Female,3,HIS,Stomach,202,2853959,7.078,0.727
20,45-54y F OTH,3,45-54,1,Female,4,OTH,Stomach,89,1258082,7.074,1.064
21,45-54y M NHW,3,45-54,2,Male,1,NHW,Stomach,932,14500000,6.411,0.295
22,45-54y M NHB,3,45-54,2,Male,2,NHB,Stomach,300,2549908,11.765,0.959
23,45-54y M HIS,3,45-54,2,Male,3,HIS,Stomach,258,2814960,9.165,0.821
24,45-54y M OTH,3,45-54,2,Male,4,OTH,Stomach,100,1109784,9.011,1.282
25,55-64y F NHW,4,55-64,1,Female,1,NHW,Stomach,894,14700000,6.098,0.29
26,55-64y F NHB,4,55-64,1,Female,2,NHB,Stomach,319,2394848,13.32,1.066
27,55-64y F HIS,4,55-64,1,Female,3,HIS,Stomach,221,1819255,12.148,1.18
28,55-64y F OTH,4,55-64,1,Female,4,OTH,Stomach,132,1026844,12.855,1.584
29,55-64y M NHW,4,55-64,2,Male,1,NHW,Stomach,2058,14000000,14.717,0.462
30,55-64y M NHB,4,55-64,2,Male,2,NHB,Stomach,542,2000803,27.089,1.661
31,55-64y M HIS,4,55-64,2,Male,3,HIS,Stomach,383,1687920,22.691,1.673
32,55-64y M OTH,4,55-64,2,Male,4,OTH,Stomach,207,852728,24.275,2.409
33,65-74y F NHW,5,65-74,1,Female,1,NHW,Stomach,3324,19500000,17.011,0.686
34,65-74y F NHB,5,65-74,1,Female,2,NHB,Stomach,817,2329909,35.066,2.905
35,65-74y F HIS,5,65-74,1,Female,3,HIS,Stomach,675,1797266,37.557,3.46
36,65-74y F OTH,5,65-74,1,Female,4,OTH,Stomach,405,1023756,39.56,4.773
37,65-74y M NHW,5,65-74,2,Male,1,NHW,Stomach,5979,15600000,38.411,1.175
38,65-74y M NHB,5,65-74,2,Male,2,NHB,Stomach,1021,1542829,66.177,4.979
39,65-74y M HIS,5,65-74,2,Male,3,HIS,Stomach,757,1351039,56.031,4.934
40,65-74y M OTH,5,65-74,2,Male,4,OTH,Stomach,570,785711,72.546,7.426
41,75y+ F NHW,6,75+,1,Female,1,NHW,Stomach,3324,19500000,17.011,0.686
42,75y+ F NHB,6,75+,1,Female,2,NHB,Stomach,817,2329909,35.066,2.905
43,75y+ F HIS,6,75+,1,Female,3,HIS,Stomach,675,1797266,37.557,3.46
44,75y+ F OTH,6,75+,1,Female,4,OTH,Stomach,405,1023756,39.56,4.773
45,75y+ M NHW,6,75+,2,Male,1,NHW,Stomach,5979,15600000,38.411,1.175
46,75y+ M NHB,6,75+,2,Male,2,NHB,Stomach,1021,1542829,66.177,4.979
47,75y+ M HIS,6,75+,2,Male,3,HIS,Stomach,757,1351039,56.031,4.934
48,75y+ M OTH,6,75+,2,Male,4,OTH,Stomach,570,785711,72.546,7.426
