foodcode,description,fcidcode,fcid_desc,Foodgroup_FCID
54350010,"Gerber Finger Foods, Puffs, baby food",9500362001,"Sugarcane, sugar-babyfood",babyfood
57822000,"Mixed cereal with applesauce and bananas, baby food, jarred",1100010001,"Apple, juice-babyfood",babyfood
57822000,"Mixed cereal with applesauce and bananas, baby food, jarred",1500233001,"Oat, groats/rolled oats-babyfood",babyfood
57822000,"Mixed cereal with applesauce and bananas, baby food, jarred",2402023001,Banana-babyfood,babyfood
57822000,"Mixed cereal with applesauce and bananas, baby food, jarred",1500325001,"Rice, flour-babyfood",babyfood
57822000,"Mixed cereal with applesauce and bananas, baby food, jarred",1100011001,"Apple, sauce-babyfood",babyfood
57822000,"Mixed cereal with applesauce and bananas, baby food, jarred",1100008001,"Apple, peeled fruit-babyfood",babyfood
57822000,"Mixed cereal with applesauce and bananas, baby food, jarred",1500232001,"Oat, flour-babyfood",babyfood
64104030,"Apple juice, 100%, with calcium added",1100010001,"Apple, juice-babyfood",babyfood
67102010,"Applesauce, baby food, strained",1100011001,"Apple, sauce-babyfood",babyfood
67414100,"Mango dessert, baby food",2402215001,Mango-babyfood,babyfood
67414100,"Mango dessert, baby food",103082001,Cassava-babyfood,babyfood
57805000,"Rice cereal, baby food, dry, instant",1500325001,"Rice, flour-babyfood",babyfood
76205010,"Squash, baby food, strained",902357001,"Squash, winter-babyfood",babyfood
76205060,"Corn and sweet potatoes, baby food, strained",1500325001,"Rice, flour-babyfood",babyfood
76205060,"Corn and sweet potatoes, baby food, strained",1500127001,"Corn, sweet-babyfood",babyfood
11710056,"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",2002330001,"Safflower, oil-babyfood",babyfood
11710056,"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",600350001,"Soybean, oil-babyfood",babyfood
11710056,"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",3600225001,"Milk, sugar (lactose)-baby food/infant formula",babyfood
11710056,"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710054,"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",3600225001,"Milk, sugar (lactose)-baby food/infant formula",babyfood
11710054,"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",2002330001,"Safflower, oil-babyfood",babyfood
11710054,"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",600350001,"Soybean, oil-babyfood",babyfood
11710054,"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
67203800,"Grape juice, baby food",1304176001,"Grape, juice-babyfood",babyfood
54350020,"Finger Foods, Puffs, baby food",1500120001,"Corn, field, flour-babyfood",babyfood
54350020,"Finger Foods, Puffs, baby food",1500232001,"Oat, flour-babyfood",babyfood
54350020,"Finger Foods, Puffs, baby food",1500325001,"Rice, flour-babyfood",babyfood
54350020,"Finger Foods, Puffs, baby food",1902105001,Cinnamon-babyfood,babyfood
54350020,"Finger Foods, Puffs, baby food",1100010001,"Apple, juice-babyfood",babyfood
54350020,"Finger Foods, Puffs, baby food",101052001,"Beet, sugar-babyfood",babyfood
54350020,"Finger Foods, Puffs, baby food",9500362001,"Sugarcane, sugar-babyfood",babyfood
57820100,"Rice cereal, baby food, jarred, NFS",1100011001,"Apple, sauce-babyfood",babyfood
57820100,"Rice cereal, baby food, jarred, NFS",2402023001,Banana-babyfood,babyfood
57820100,"Rice cereal, baby food, jarred, NFS",1500325001,"Rice, flour-babyfood",babyfood
76409010,"Peas, baby food, strained",602255001,"Pea, succulent-babyfood",babyfood
67110000,"Prunes, baby food, strained",1203286001,"Plum, prune, fresh-babyfood",babyfood
11720430,"Infant formula, NS as to form (Similac Expert Care for Diarrhea)",600350001,"Soybean, oil-babyfood",babyfood
11720430,"Infant formula, NS as to form (Similac Expert Care for Diarrhea)",1400114001,"Coconut, oil-babyfood",babyfood
11720430,"Infant formula, NS as to form (Similac Expert Care for Diarrhea)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11720430,"Infant formula, NS as to form (Similac Expert Care for Diarrhea)",2002365001,"Sunflower, oil-babyfood",babyfood
11720430,"Infant formula, NS as to form (Similac Expert Care for Diarrhea)",1500124001,"Corn, field, syrup-babyfood",babyfood
57804000,"Oatmeal cereal, baby food, dry, instant",1500232001,"Oat, flour-babyfood",babyfood
67104010,"Applesauce and apricots, baby food, strained",1202014001,"Apricot, juice-babyfood",babyfood
67104010,"Applesauce and apricots, baby food, strained",1100011001,"Apple, sauce-babyfood",babyfood
27642120,"Turkey, rice and vegetables, baby food, junior",602255001,"Pea, succulent-babyfood",babyfood
27642120,"Turkey, rice and vegetables, baby food, junior",5000386001,"Turkey, skin-babyfood",babyfood
27642120,"Turkey, rice and vegetables, baby food, junior",5000385001,"Turkey, fat-babyfood",babyfood
27642120,"Turkey, rice and vegetables, baby food, junior",101078001,Carrot-babyfood,babyfood
27642120,"Turkey, rice and vegetables, baby food, junior",5000382001,"Turkey, meat-babyfood",babyfood
27642120,"Turkey, rice and vegetables, baby food, junior",5000384001,"Turkey, meat byproducts-babyfood",babyfood
27642120,"Turkey, rice and vegetables, baby food, junior",1500323001,"Rice, white-babyfood",babyfood
76604500,"Sweet potatoes and chicken, baby food, strained",103366001,Sweet potato-babyfood,babyfood
76604500,"Sweet potatoes and chicken, baby food, strained",4000096001,"Chicken, fat-babyfood",babyfood
76604500,"Sweet potatoes and chicken, baby food, strained",4000093001,"Chicken, meat-babyfood",babyfood
76604500,"Sweet potatoes and chicken, baby food, strained",4000097001,"Chicken, skin-babyfood",babyfood
76604500,"Sweet potatoes and chicken, baby food, strained",4000095001,"Chicken, meat byproducts-babyfood",babyfood
11710358,"Infant formula, powder, made with plain bottled water (Similac Advance)",2002330001,"Safflower, oil-babyfood",babyfood
11710358,"Infant formula, powder, made with plain bottled water (Similac Advance)",3600225001,"Milk, sugar (lactose)-baby food/infant formula",babyfood
11710358,"Infant formula, powder, made with plain bottled water (Similac Advance)",600350001,"Soybean, oil-babyfood",babyfood
11710358,"Infant formula, powder, made with plain bottled water (Similac Advance)",1400114001,"Coconut, oil-babyfood",babyfood
11710358,"Infant formula, powder, made with plain bottled water (Similac Advance)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
67102000,"Applesauce, baby food, NS as to strained or junior",1100011001,"Apple, sauce-babyfood",babyfood
11710668,"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710668,"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",1400114001,"Coconut, oil-babyfood",babyfood
11710668,"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",9500244001,"Palm, oil-babyfood",babyfood
11710668,"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",3600225001,"Milk, sugar (lactose)-baby food/infant formula",babyfood
11710668,"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",2002365001,"Sunflower, oil-babyfood",babyfood
11710668,"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",600350001,"Soybean, oil-babyfood",babyfood
67106030,"Bananas with orange, baby food, strained",2402023001,Banana-babyfood,babyfood
67106030,"Bananas with orange, baby food, strained",103082001,Cassava-babyfood,babyfood
67106030,"Bananas with orange, baby food, strained",2403281001,"Pineapple, juice-babyfood",babyfood
67106030,"Bananas with orange, baby food, strained",1500124001,"Corn, field, syrup-babyfood",babyfood
67106030,"Bananas with orange, baby food, strained",1500123001,"Corn, field, starch-babyfood",babyfood
67106030,"Bananas with orange, baby food, strained",2403279001,Pineapple-babyfood,babyfood
67106030,"Bananas with orange, baby food, strained",1001241001,"Orange, juice-babyfood",babyfood
67105030,"Bananas, baby food, strained",2402023001,Banana-babyfood,babyfood
67106050,"Banana with mixed berries, baby food, strained",1100266001,Pear-babyfood,babyfood
67106050,"Banana with mixed berries, baby food, strained",2402023001,Banana-babyfood,babyfood
67106050,"Banana with mixed berries, baby food, strained",1100008001,"Apple, peeled fruit-babyfood",babyfood
71962020,"Dasheen, fried",NA,NA,veg_sta
11720319,"Infant formula, powder, made with baby water (Enfamil ProSobee)",2002365001,"Sunflower, oil-babyfood",babyfood
11720319,"Infant formula, powder, made with baby water (Enfamil ProSobee)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11720319,"Infant formula, powder, made with baby water (Enfamil ProSobee)",600350001,"Soybean, oil-babyfood",babyfood
11720319,"Infant formula, powder, made with baby water (Enfamil ProSobee)",1400114001,"Coconut, oil-babyfood",babyfood
11720319,"Infant formula, powder, made with baby water (Enfamil ProSobee)",3600225001,"Milk, sugar (lactose)-baby food/infant formula",babyfood
11720319,"Infant formula, powder, made with baby water (Enfamil ProSobee)",9500244001,"Palm, oil-babyfood",babyfood
11710679,"Infant formula, powder, made with baby water (Enfamil Gentlease)",1500124001,"Corn, field, syrup-babyfood",babyfood
11710679,"Infant formula, powder, made with baby water (Enfamil Gentlease)",600350001,"Soybean, oil-babyfood",babyfood
11710679,"Infant formula, powder, made with baby water (Enfamil Gentlease)",2002365001,"Sunflower, oil-babyfood",babyfood
11710679,"Infant formula, powder, made with baby water (Enfamil Gentlease)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710679,"Infant formula, powder, made with baby water (Enfamil Gentlease)",9500244001,"Palm, oil-babyfood",babyfood
76201010,"Carrots, baby food, strained",101078001,Carrot-babyfood,babyfood
67109010,"Pears, baby food, strained",1100266001,Pear-babyfood,babyfood
11720418,"Infant formula, powder, made with plain bottled water (Similac Isomil Soy)",9500362001,"Sugarcane, sugar-babyfood",babyfood
11720418,"Infant formula, powder, made with plain bottled water (Similac Isomil Soy)",600348001,"Soybean, flour-babyfood",babyfood
11720418,"Infant formula, powder, made with plain bottled water (Similac Isomil Soy)",1400114001,"Coconut, oil-babyfood",babyfood
11720418,"Infant formula, powder, made with plain bottled water (Similac Isomil Soy)",600350001,"Soybean, oil-babyfood",babyfood
11720418,"Infant formula, powder, made with plain bottled water (Similac Isomil Soy)",101052001,"Beet, sugar-babyfood",babyfood
11720418,"Infant formula, powder, made with plain bottled water (Similac Isomil Soy)",1500124001,"Corn, field, syrup-babyfood",babyfood
11710370,"Infant formula, NS as to form (Similac Sensitive)",1500124001,"Corn, field, syrup-babyfood",babyfood
11710370,"Infant formula, NS as to form (Similac Sensitive)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710370,"Infant formula, NS as to form (Similac Sensitive)",2002365001,"Sunflower, oil-babyfood",babyfood
11710370,"Infant formula, NS as to form (Similac Sensitive)",600350001,"Soybean, oil-babyfood",babyfood
11710370,"Infant formula, NS as to form (Similac Sensitive)",1400114001,"Coconut, oil-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",3600224001,"Milk, water-babyfood/infant formula",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",1901029001,"Basil, dried leaves-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",9500362001,"Sugarcane, sugar-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",101052001,"Beet, sugar-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",1500402001,"Wheat, flour-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",1901184001,"Herbs, other-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",301165001,"Garlic, bulb-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",600348001,"Soybean, flour-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",7000145001,"Egg, whole-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",600350001,"Soybean, oil-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",1500124001,"Corn, field, syrup-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",3600222001,"Milk, fat-baby food/infant formula",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",801377001,"Tomato, puree-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",301237001,"Onion, bulb-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",2003128001,"Cottonseed, oil-babyfood",babyfood
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",1500123001,"Corn, field, starch-babyfood",babyfood
11710919,"Infant formula, powder, made with baby water (Gerber Good Start Gentle)",600350001,"Soybean, oil-babyfood",babyfood
11710919,"Infant formula, powder, made with baby water (Gerber Good Start Gentle)",1400114001,"Coconut, oil-babyfood",babyfood
11710919,"Infant formula, powder, made with baby water (Gerber Good Start Gentle)",9500244001,"Palm, oil-babyfood",babyfood
11710919,"Infant formula, powder, made with baby water (Gerber Good Start Gentle)",3600225001,"Milk, sugar (lactose)-baby food/infant formula",babyfood
11710919,"Infant formula, powder, made with baby water (Gerber Good Start Gentle)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710919,"Infant formula, powder, made with baby water (Gerber Good Start Gentle)",2002365001,"Sunflower, oil-babyfood",babyfood
11710968,"Infant formula, powder, made with plain bottled water (Store Brand)",600348001,"Soybean, flour-babyfood",babyfood
11710968,"Infant formula, powder, made with plain bottled water (Store Brand)",9500244001,"Palm, oil-babyfood",babyfood
11710968,"Infant formula, powder, made with plain bottled water (Store Brand)",600350001,"Soybean, oil-babyfood",babyfood
11710968,"Infant formula, powder, made with plain bottled water (Store Brand)",9500335001,Seaweed-babyfood,babyfood
11710968,"Infant formula, powder, made with plain bottled water (Store Brand)",1500124001,"Corn, field, syrup-babyfood",babyfood
11710968,"Infant formula, powder, made with plain bottled water (Store Brand)",1400114001,"Coconut, oil-babyfood",babyfood
11710968,"Infant formula, powder, made with plain bottled water (Store Brand)",2002365001,"Sunflower, oil-babyfood",babyfood
67501000,"Apples and chicken, baby food, strained",4000097001,"Chicken, skin-babyfood",babyfood
67501000,"Apples and chicken, baby food, strained",4000093001,"Chicken, meat-babyfood",babyfood
67501000,"Apples and chicken, baby food, strained",4000096001,"Chicken, fat-babyfood",babyfood
67501000,"Apples and chicken, baby food, strained",4000095001,"Chicken, meat byproducts-babyfood",babyfood
67501000,"Apples and chicken, baby food, strained",1100008001,"Apple, peeled fruit-babyfood",babyfood
67101010,"Apple-raspberry, baby food, strained",1100008001,"Apple, peeled fruit-babyfood",babyfood
67101010,"Apple-raspberry, baby food, strained",1301320001,Raspberry-babyfood,babyfood
67101010,"Apple-raspberry, baby food, strained",1302057001,Blueberry-babyfood,babyfood
67101010,"Apple-raspberry, baby food, strained",1100011001,"Apple, sauce-babyfood",babyfood
54350000,"Crackers, baby food",1500124001,"Corn, field, syrup-babyfood",babyfood
54350000,"Crackers, baby food",600350001,"Soybean, oil-babyfood",babyfood
54350000,"Crackers, baby food",1500026001,"Barley, flour-babyfood",babyfood
54350000,"Crackers, baby food",101050001,"Beet, garden, roots-babyfood",babyfood
54350000,"Crackers, baby food",1901249001,"Parsley, dried leaves-babyfood",babyfood
54350000,"Crackers, baby food",802271001,"Pepper, bell, dried-babyfood",babyfood
54350000,"Crackers, baby food",1500402001,"Wheat, flour-babyfood",babyfood
54350000,"Crackers, baby food",2003128001,"Cottonseed, oil-babyfood",babyfood
54350000,"Crackers, baby food",2202085001,Celery-babyfood,babyfood
54350000,"Crackers, baby food",103366001,Sweet potato-babyfood,babyfood
54350000,"Crackers, baby food",301238001,"Onion, bulb, dried-babyfood",babyfood
54350000,"Crackers, baby food",9500362001,"Sugarcane, sugar-babyfood",babyfood
54350000,"Crackers, baby food",101078001,Carrot-babyfood,babyfood
54350000,"Crackers, baby food",101052001,"Beet, sugar-babyfood",babyfood
54350000,"Crackers, baby food",801378001,"Tomato, dried-babyfood",babyfood
11710664,"Infant formula, powder, made with tap water (Enfamil A.R.)",3600225001,"Milk, sugar (lactose)-baby food/infant formula",babyfood
11710664,"Infant formula, powder, made with tap water (Enfamil A.R.)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710664,"Infant formula, powder, made with tap water (Enfamil A.R.)",9500244001,"Palm, oil-babyfood",babyfood
11710664,"Infant formula, powder, made with tap water (Enfamil A.R.)",600350001,"Soybean, oil-babyfood",babyfood
11710664,"Infant formula, powder, made with tap water (Enfamil A.R.)",2002365001,"Sunflower, oil-babyfood",babyfood
11710664,"Infant formula, powder, made with tap water (Enfamil A.R.)",1400114001,"Coconut, oil-babyfood",babyfood
11710698,"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)",9500244001,"Palm, oil-babyfood",babyfood
11710698,"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710698,"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)",2002365001,"Sunflower, oil-babyfood",babyfood
11710698,"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)",1500124001,"Corn, field, syrup-babyfood",babyfood
11710698,"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)",600350001,"Soybean, oil-babyfood",babyfood
58508300,"Macaroni and cheese, baby food, toddler",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
58508300,"Macaroni and cheese, baby food, toddler",1500124001,"Corn, field, syrup-babyfood",babyfood
58508300,"Macaroni and cheese, baby food, toddler",802272001,"Pepper, nonbell-babyfood",babyfood
58508300,"Macaroni and cheese, baby food, toddler",1500325001,"Rice, flour-babyfood",babyfood
58508300,"Macaroni and cheese, baby food, toddler",101052001,"Beet, sugar-babyfood",babyfood
58508300,"Macaroni and cheese, baby food, toddler",1500123001,"Corn, field, starch-babyfood",babyfood
58508300,"Macaroni and cheese, baby food, toddler",1500402001,"Wheat, flour-babyfood",babyfood
58508300,"Macaroni and cheese, baby food, toddler",103082001,Cassava-babyfood,babyfood
58508300,"Macaroni and cheese, baby food, toddler",9500362001,"Sugarcane, sugar-babyfood",babyfood
58508300,"Macaroni and cheese, baby food, toddler",600350001,"Soybean, oil-babyfood",babyfood
58508300,"Macaroni and cheese, baby food, toddler",3600224001,"Milk, water-babyfood/infant formula",babyfood
58508300,"Macaroni and cheese, baby food, toddler",3600222001,"Milk, fat-baby food/infant formula",babyfood
58508300,"Macaroni and cheese, baby food, toddler",103298001,"Potato, flour-babyfood",babyfood
11710678,"Infant formula, powder, made with plain bottled water (Enfamil Gentlease)",600350001,"Soybean, oil-babyfood",babyfood
11710678,"Infant formula, powder, made with plain bottled water (Enfamil Gentlease)",9500244001,"Palm, oil-babyfood",babyfood
11710678,"Infant formula, powder, made with plain bottled water (Enfamil Gentlease)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710678,"Infant formula, powder, made with plain bottled water (Enfamil Gentlease)",2002365001,"Sunflower, oil-babyfood",babyfood
11710678,"Infant formula, powder, made with plain bottled water (Enfamil Gentlease)",1500124001,"Corn, field, syrup-babyfood",babyfood
11710359,"Infant formula, powder, made with baby water (Similac Advance)",2002330001,"Safflower, oil-babyfood",babyfood
11710359,"Infant formula, powder, made with baby water (Similac Advance)",3600225001,"Milk, sugar (lactose)-baby food/infant formula",babyfood
11710359,"Infant formula, powder, made with baby water (Similac Advance)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710359,"Infant formula, powder, made with baby water (Similac Advance)",1400114001,"Coconut, oil-babyfood",babyfood
11710359,"Infant formula, powder, made with baby water (Similac Advance)",600350001,"Soybean, oil-babyfood",babyfood
53803100,"Cookie, baby food",9500362001,"Sugarcane, sugar-babyfood",babyfood
53803100,"Cookie, baby food",9500363001,"Sugarcane, molasses-babyfood",babyfood
53803100,"Cookie, baby food",1500402001,"Wheat, flour-babyfood",babyfood
53803100,"Cookie, baby food",600350001,"Soybean, oil-babyfood",babyfood
53803100,"Cookie, baby food",1902105001,Cinnamon-babyfood,babyfood
53803100,"Cookie, baby food",2003128001,"Cottonseed, oil-babyfood",babyfood
53803100,"Cookie, baby food",101052001,"Beet, sugar-babyfood",babyfood
53803100,"Cookie, baby food",1500124001,"Corn, field, syrup-babyfood",babyfood
53803100,"Cookie, baby food",101053001,"Beet, sugar, molasses-babyfood",babyfood
67202000,"Apple juice, baby food",1100010001,"Apple, juice-babyfood",babyfood
11710969,"Infant formula, powder, made with baby water (Store Brand)",600348001,"Soybean, flour-babyfood",babyfood
11710969,"Infant formula, powder, made with baby water (Store Brand)",9500335001,Seaweed-babyfood,babyfood
11710969,"Infant formula, powder, made with baby water (Store Brand)",9500244001,"Palm, oil-babyfood",babyfood
11710969,"Infant formula, powder, made with baby water (Store Brand)",1500124001,"Corn, field, syrup-babyfood",babyfood
11710969,"Infant formula, powder, made with baby water (Store Brand)",2002365001,"Sunflower, oil-babyfood",babyfood
11710969,"Infant formula, powder, made with baby water (Store Brand)",600350001,"Soybean, oil-babyfood",babyfood
11710969,"Infant formula, powder, made with baby water (Store Brand)",1400114001,"Coconut, oil-babyfood",babyfood
76407010,"Mixed vegetables, garden vegetables, baby food, strained",101078001,Carrot-babyfood,babyfood
76407010,"Mixed vegetables, garden vegetables, baby food, strained",401355001,Spinach-babyfood,babyfood
76407010,"Mixed vegetables, garden vegetables, baby food, strained",601043001,"Bean, snap, succulent-babyfood",babyfood
76407010,"Mixed vegetables, garden vegetables, baby food, strained",103300001,"Potato, tuber, w/o peel-babyfood",babyfood
76407010,"Mixed vegetables, garden vegetables, baby food, strained",602255001,"Pea, succulent-babyfood",babyfood
11710479,"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)",1400114001,"Coconut, oil-babyfood",babyfood
11710479,"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)",3600225001,"Milk, sugar (lactose)-baby food/infant formula",babyfood
11710479,"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)",600350001,"Soybean, oil-babyfood",babyfood
11710479,"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710479,"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)",2002330001,"Safflower, oil-babyfood",babyfood
53803300,"Cookie, rice, baby",1500402001,"Wheat, flour-babyfood",babyfood
53803300,"Cookie, rice, baby",9500362001,"Sugarcane, sugar-babyfood",babyfood
53803300,"Cookie, rice, baby",101053001,"Beet, sugar, molasses-babyfood",babyfood
53803300,"Cookie, rice, baby",101052001,"Beet, sugar-babyfood",babyfood
53803300,"Cookie, rice, baby",600350001,"Soybean, oil-babyfood",babyfood
53803300,"Cookie, rice, baby",1902105001,Cinnamon-babyfood,babyfood
53803300,"Cookie, rice, baby",9500363001,"Sugarcane, molasses-babyfood",babyfood
53803300,"Cookie, rice, baby",2003128001,"Cottonseed, oil-babyfood",babyfood
53803300,"Cookie, rice, baby",1500124001,"Corn, field, syrup-babyfood",babyfood
53803050,"Cookie, fruit, baby food",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
53803050,"Cookie, fruit, baby food",9500362001,"Sugarcane, sugar-babyfood",babyfood
53803050,"Cookie, fruit, baby food",3600224001,"Milk, water-babyfood/infant formula",babyfood
53803050,"Cookie, fruit, baby food",600350001,"Soybean, oil-babyfood",babyfood
53803050,"Cookie, fruit, baby food",3600222001,"Milk, fat-baby food/infant formula",babyfood
53803050,"Cookie, fruit, baby food",1500124001,"Corn, field, syrup-babyfood",babyfood
53803050,"Cookie, fruit, baby food",2402023001,Banana-babyfood,babyfood
53803050,"Cookie, fruit, baby food",1500120001,"Corn, field, flour-babyfood",babyfood
53803050,"Cookie, fruit, baby food",101052001,"Beet, sugar-babyfood",babyfood
53803050,"Cookie, fruit, baby food",1500402001,"Wheat, flour-babyfood",babyfood
53803050,"Cookie, fruit, baby food",1902354001,"Spices, other-babyfood",babyfood
11710051,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",101052001,"Beet, sugar-babyfood",babyfood
11710051,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710051,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",2002330001,"Safflower, oil-babyfood",babyfood
11710051,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",600350001,"Soybean, oil-babyfood",babyfood
11710051,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",9500362001,"Sugarcane, sugar-babyfood",babyfood
11710051,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",1400114001,"Coconut, oil-babyfood",babyfood
11710051,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",103082001,Cassava-babyfood,babyfood
11710639,"Infant formula, powder, made with baby water (Enfamil Infant)",3600223001,"Milk, nonfat solids-baby food/infant formula",babyfood
11710639,"Infant formula, powder, made with baby water (Enfamil Infant)",600350001,"Soybean, oil-babyfood",babyfood
11710639,"Infant formula, powder, made with baby water (Enfamil Infant)",1400114001,"Coconut, oil-babyfood",babyfood
11710639,"Infant formula, powder, made with baby water (Enfamil Infant)",2002365001,"Sunflower, oil-babyfood",babyfood
