risk_factor,subgroup,Age,Sex,Race,IHD,IHDse,ISTK,ISTKse,HHD,HHDse,DIAB,DIABse,HSTK,HSTKse,OSTK,OSTKse,AA,AAse,RHD,RHDse,ENDO,ENDOse,OTH,OTHse,CM,CMse,AFF,AFFse,PVD,PVDse,TSTK,TSTKse
BMI,11,2,1,3,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044
BMI,12,2,1,4,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044
BMI,13,2,2,1,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044
BMI,14,2,2,2,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044
BMI,15,2,2,3,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044
BMI,16,2,2,4,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044,0.509065457,0.050498044
BMI,17,3,1,1,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693
BMI,18,3,1,2,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693
BMI,19,3,1,3,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693
BMI,20,3,1,4,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693
BMI,21,3,2,1,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693
BMI,22,3,2,2,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693
BMI,23,3,2,3,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693
BMI,24,3,2,4,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693,0.435251699,0.029984693
BMI,25,4,1,1,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944
BMI,26,4,1,2,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944
BMI,27,4,1,3,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944
BMI,28,4,1,4,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944
BMI,29,4,2,1,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944
BMI,30,4,2,2,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944
BMI,31,4,2,3,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944
BMI,32,4,2,4,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944,0.364228123,0.014872944
BMI,33,5,1,1,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145
BMI,34,5,1,2,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145
BMI,35,5,1,3,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145
BMI,36,5,1,4,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145
BMI,37,5,2,1,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145
BMI,38,5,2,2,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145
BMI,39,5,2,3,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145
BMI,40,5,2,4,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145,0.301172906,0.011534145
BMI,41,6,1,1,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873
BMI,42,6,1,2,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873
BMI,43,6,1,3,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873
BMI,44,6,1,4,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873
BMI,45,6,2,1,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873
BMI,46,6,2,2,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873
BMI,47,6,2,3,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873
BMI,48,6,2,4,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873,0.227310022,0.024834873
