subgroup,food,N,mean,SE,StdDev,food_label,food_desc,pro_gro
10,pf_ns,199,0.74,0.12,0.8,Nuts and seeds,"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)",0.5811116005677315
10,pf_pm,199,0.77,0.07,0.47,Processed meat,"Frankfurters, sausages, corned beef, cured ham and luncheon meat that are made from beef, pork, or poultry (oz. eq.)",0.6656890801365161
10,pf_poultry,199,1.56,0.14,0.78,Unprocessed poultry,"Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.)",0.5022635890364788
10,pf_redm,199,1.02,0.09,0.49,Unprocessed red meat,"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)",0.570146568243725
10,pf_redm_tot,199,1.63,0.13,0.73,Unprocessed and processed red meat,Combination of ‘uncured red meat’ and ‘cured red meat’,0.591850378797954
10,pf_seafood,199,0.59,0.07,0.63,Seafood,"Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.); Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.)",0.7724845417942046
10,sat_fat,199,24.37,0.52,4.32,Saturated fats,Total saturated fatty acids (gm),0.537503348620035
10,sodium,199,3344.16,68.61,584.83,Sodium,Sodium (mg),0.5421995941077807
10,ssb,199,296.73,25.58,260.2,Sugar sweetened beverages,Sugar sweetened beverages (gm),0.48636777994288416
10,veg_dg,199,0.15,0.03,0.18,Dark-green vegetables,Dark green vegetables (cup eq.),0.736602875700215
10,veg_exc_sta,199,0.93,0.11,0.47,Vegetables excluding starchy,"Dark green vegetables (cup eq.); Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.); Other vegetables not in the vegetable components listed above (cup eq.)",0.5906311512482678
10,veg_oth,199,0.47,0.05,0.22,Other vegetables,Other vegetables not in the vegetable components listed above (cup eq.),0.5354763387829742
10,veg_ro,199,0.29,0.03,0.13,Red and orange vegetables,"Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.)",0.5846130329750118
10,veg_sta,199,0.4,0.03,0.19,Starchy vegetables,Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.),0.515748658585868
11,added_sugar,252,14.73,0.66,7.71,Added sugars,Foods defined as added sugars (tsp. eq.),0.6120108604299862
11,dairy_cow,252,1.35,0.05,0.55,Cow-based dairy,"Milk, yogurt, cheese, and whey (cup ep.)",0.6976662637881463
11,dairy_soy,252,0.02,0.01,0.11,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
11,dairy_tot,252,1.35,0.05,0.55,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6988398416001262
11,fruit_exc_juice,252,0.8,0.05,0.62,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8670005833430675
11,fruit_juice,252,0.25,0.03,0.34,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.8384357148107567
11,fruit_tot,252,1.01,0.08,0.72,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.),0.8598913951815358
11,gr_refined,252,6.58,0.35,1.76,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.),0.6584768830260742
11,gr_whole,252,0.75,0.05,0.51,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.)",0.8238998363360275
11,leg_tot,252,0.78,0.07,0.65,"Beans, peas, lentils (total)","Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.)",0.7355756154020109
11,oil,252,27.02,1.02,7.4,Oils,"Fats naturally present in nuts, seeds, and seafood; all unhydrogenated vegetable oils, except palm oil, palm kernel oil, and coconut oils; the fat present in avocado and olives above the allowable amount; 50% of the fat present in stick and tub margarines and margarine spreads (grams)",0.5993413999430466
11,pf_egg,252,0.84,0.11,0.74,Eggs,"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)",0.7343639536916673
11,pf_ns,252,0.52,0.07,0.57,Nuts and seeds,"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)",0.8443466492168094
11,pf_pm,252,0.66,0.06,0.4,Processed meat,"Frankfurters, sausages, corned beef, cured ham and luncheon meat that are made from beef, pork, or poultry (oz. eq.)",0.6710675178055413
11,pf_poultry,252,1.52,0.1,0.75,Unprocessed poultry,"Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.)",0.587786122923603
11,pf_redm,252,1.37,0.1,0.63,Unprocessed red meat,"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)",0.5921759595514944
11,pf_redm_tot,252,1.93,0.14,0.84,Unprocessed and processed red meat,Combination of ‘uncured red meat’ and ‘cured red meat’,0.5909951278452807
11,pf_seafood,252,0.53,0.08,0.54,Seafood,"Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.); Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.)",0.5822390974670405
11,sat_fat,252,24.11,0.5,4.3,Saturated fats,Total saturated fatty acids (gm),0.6330307448913554
11,sodium,252,3465.03,88.75,605.68,Sodium,Sodium (mg),0.6085928890233229
11,ssb,252,238.78,12.64,210.63,Sugar sweetened beverages,Sugar sweetened beverages (gm),0.5434044537763453
11,veg_dg,252,0.1,0.01,0.11,Dark-green vegetables,Dark green vegetables (cup eq.),0.6711779976631281
11,veg_exc_sta,252,1.24,0.06,0.58,Vegetables excluding starchy,"Dark green vegetables (cup eq.); Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.); Other vegetables not in the vegetable components listed above (cup eq.)",0.6484078266207243
11,veg_oth,252,0.61,0.03,0.27,Other vegetables,Other vegetables not in the vegetable components listed above (cup eq.),0.6395116641024245
11,veg_ro,252,0.41,0.03,0.17,Red and orange vegetables,"Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.)",0.656048754364019
11,veg_sta,252,0.34,0.03,0.16,Starchy vegetables,Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.),0.6056093023542962
12,added_sugar,141,16.54,1.07,8.37,Added sugars,Foods defined as added sugars (tsp. eq.),0.6836165098262184
12,dairy_cow,141,1.28,0.08,0.54,Cow-based dairy,"Milk, yogurt, cheese, and whey (cup ep.)",0.7241350860100741
12,dairy_soy,141,0.05,0.02,0.22,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
12,dairy_tot,141,1.29,0.08,0.54,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.72607437890726
12,fruit_exc_juice,141,0.67,0.1,0.55,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8891571672687683
12,fruit_juice,141,0.21,0.04,0.31,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.9477100928942108
12,fruit_tot,141,0.84,0.11,0.63,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.),0.9002660297983613
12,gr_refined,141,5.79,0.29,1.67,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.),0.6413316740835229
12,gr_whole,141,1.07,0.1,0.7,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.)",0.9087733730116684
12,leg_tot,141,0.44,0.09,0.41,"Beans, peas, lentils (total)","Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.)",0.7560077917815485
12,oil,141,28.59,1.34,7.68,Oils,"Fats naturally present in nuts, seeds, and seafood; all unhydrogenated vegetable oils, except palm oil, palm kernel oil, and coconut oils; the fat present in avocado and olives above the allowable amount; 50% of the fat present in stick and tub margarines and margarine spreads (grams)",0.6397931135093962
12,pf_egg,141,0.7,0.11,0.64,Eggs,"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)",0.7979171964611709
12,pf_ns,141,0.75,0.1,0.8,Nuts and seeds,"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)",0.8585776511662699
12,pf_pm,141,0.87,0.1,0.52,Processed meat,"Frankfurters, sausages, corned beef, cured ham and luncheon meat that are made from beef, pork, or poultry (oz. eq.)",0.6915863428478187
12,pf_poultry,141,1.46,0.12,0.73,Unprocessed poultry,"Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.)",0.5530588885275252
12,pf_redm,141,1.38,0.09,0.64,Unprocessed red meat,"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)",0.7251169709729695
12,pf_redm_tot,141,2.24,0.13,0.96,Unprocessed and processed red meat,Combination of ‘uncured red meat’ and ‘cured red meat’,0.7113874267485922
12,pf_seafood,141,0.38,0.06,0.4,Seafood,"Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.); Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.)",0.6672289284796975
12,sat_fat,141,24.76,0.97,4.38,Saturated fats,Total saturated fatty acids (gm),0.7097506903172269
12,sodium,141,3604.91,101.2,633.41,Sodium,Sodium (mg),0.678261345861868
12,ssb,141,294.9,25.69,260.54,Sugar sweetened beverages,Sugar sweetened beverages (gm),0.6091630330003283
12,veg_dg,141,0.15,0.02,0.18,Dark-green vegetables,Dark green vegetables (cup eq.),0.7927023880619979
12,veg_exc_sta,141,1.08,0.1,0.52,Vegetables excluding starchy,"Dark green vegetables (cup eq.); Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.); Other vegetables not in the vegetable components listed above (cup eq.)",0.7445352416368971
12,veg_oth,141,0.5,0.04,0.23,Other vegetables,Other vegetables not in the vegetable components listed above (cup eq.),0.7342061430696738
12,veg_ro,141,0.31,0.02,0.13,Red and orange vegetables,"Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.)",0.7175325643031545
12,veg_sta,141,0.37,0.03,0.18,Starchy vegetables,Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.),0.7055456981197783
13,added_sugar,215,16.25,1.12,8.35,Added sugars,Foods defined as added sugars (tsp. eq.),0.5391623740609565
13,dairy_cow,215,1.52,0.14,0.61,Cow-based dairy,"Milk, yogurt, cheese, and whey (cup ep.)",0.6680071016970275
13,dairy_soy,215,0.03,0.02,0.15,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),0.9801553863141318
13,dairy_tot,215,1.55,0.13,0.61,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6697947860716846
13,fruit_exc_juice,215,0.74,0.08,0.6,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8965698904569894
13,fruit_juice,215,0.33,0.06,0.48,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.8255813434855255
13,fruit_tot,215,0.98,0.11,0.72,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.),0.8816734799220775
13,gr_refined,215,4.48,0.18,1.51,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.),0.5254000997049113
13,gr_whole,215,0.81,0.09,0.55,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.)",0.7152303516076326
13,leg_tot,215,0.5,0.05,0.46,"Beans, peas, lentils (total)","Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.)",0.6247106943583299
13,oil,215,25.77,1.28,7.33,Oils,"Fats naturally present in nuts, seeds, and seafood; all unhydrogenated vegetable oils, except palm oil, palm kernel oil, and coconut oils; the fat present in avocado and olives above the allowable amount; 50% of the fat present in stick and tub margarines and margarine spreads (grams)",0.527974447721318
13,pf_egg,215,0.51,0.06,0.49,Eggs,"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)",0.639567474076159
13,pf_ns,215,0.84,0.07,0.91,Nuts and seeds,"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)",0.7950976897412415
13,pf_pm,215,1.21,0.08,0.71,Processed meat,"Frankfurters, sausages, corned beef, cured ham and luncheon meat that are made from beef, pork, or poultry (oz. eq.)",0.6497825450044413
13,pf_poultry,215,1.6,0.14,0.8,Unprocessed poultry,"Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.)",0.49002461717558776
13,pf_redm,215,1.48,0.11,0.69,Unprocessed red meat,"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)",0.5162351012654204
13,pf_redm_tot,215,2.33,0.15,1,Unprocessed and processed red meat,Combination of ‘uncured red meat’ and ‘cured red meat’,0.5778335195616066
13,pf_seafood,215,0.63,0.1,0.66,Seafood,"Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.); Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.)",0.6372141319970022
13,sat_fat,215,26.19,0.95,4.51,Saturated fats,Total saturated fatty acids (gm),0.5666334968708926
13,sodium,215,3377.91,71.37,601.21,Sodium,Sodium (mg),0.5451621690561288
13,ssb,215,356.85,35.07,312.14,Sugar sweetened beverages,Sugar sweetened beverages (gm),0.4000943932299919
13,veg_dg,215,0.19,0.03,0.21,Dark-green vegetables,Dark green vegetables (cup eq.),0.7196529974523084
13,veg_exc_sta,215,1.02,0.06,0.51,Vegetables excluding starchy,"Dark green vegetables (cup eq.); Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.); Other vegetables not in the vegetable components listed above (cup eq.)",0.6019423543857353
13,veg_oth,215,0.47,0.03,0.22,Other vegetables,Other vegetables not in the vegetable components listed above (cup eq.),0.5634057494626968
13,veg_ro,215,0.37,0.03,0.15,Red and orange vegetables,"Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.)",0.5954099124400195
13,veg_sta,215,0.49,0.04,0.23,Starchy vegetables,Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.),0.4775747013509263
14,added_sugar,155,17.05,1.07,8.47,Added sugars,Foods defined as added sugars (tsp. eq.),0.5275281304152466
14,dairy_cow,155,1.06,0.07,0.47,Cow-based dairy,"Milk, yogurt, cheese, and whey (cup ep.)",0.4685141006433757
14,dairy_soy,155,0.11,0.06,0.52,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
14,dairy_tot,155,1.06,0.07,0.47,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.4737281195550383
14,fruit_exc_juice,155,0.74,0.11,0.59,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.892372677985425
14,fruit_juice,155,0.33,0.06,0.46,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.6390743927677998
14,fruit_tot,155,0.85,0.08,0.64,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.),0.7880765427233696
14,gr_refined,155,5.12,0.2,1.58,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.),0.5199616956911308
14,gr_whole,155,0.82,0.08,0.55,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.)",0.8173181277535374
14,leg_tot,155,0.37,0.07,0.35,"Beans, peas, lentils (total)","Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.)",0.5776759298752167
14,oil,155,24.17,1.17,6.96,Oils,"Fats naturally present in nuts, seeds, and seafood; all unhydrogenated vegetable oils, except palm oil, palm kernel oil, and coconut oils; the fat present in avocado and olives above the allowable amount; 50% of the fat present in stick and tub margarines and margarine spreads (grams)",0.4409824361203912
14,pf_egg,155,0.6,0.07,0.55,Eggs,"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)",0.6728622207358937
14,pf_ns,155,0.62,0.15,0.67,Nuts and seeds,"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)",0.513691539027404
14,pf_pm,155,0.91,0.07,0.54,Processed meat,"Frankfurters, sausages, corned beef, cured ham and luncheon meat that are made from beef, pork, or poultry (oz. eq.)",0.5815647825619265
14,pf_poultry,155,1.8,0.15,0.89,Unprocessed poultry,"Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.)",0.5297749250676003
14,pf_redm,155,1.46,0.13,0.67,Unprocessed red meat,"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)",0.4688490872896574
14,pf_redm_tot,155,2.24,0.12,0.96,Unprocessed and processed red meat,Combination of ‘uncured red meat’ and ‘cured red meat’,0.5138673451660518
14,pf_seafood,155,0.45,0.07,0.47,Seafood,"Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.); Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.)",0.38390242635343824
14,sat_fat,155,24.43,0.6,4.32,Saturated fats,Total saturated fatty acids (gm),0.4794342932938702
14,sodium,155,3415.38,82,597.04,Sodium,Sodium (mg),0.5005310800041306
14,ssb,155,315.55,27.85,276.35,Sugar sweetened beverages,Sugar sweetened beverages (gm),0.4945526080109688
14,veg_dg,155,0.19,0.03,0.21,Dark-green vegetables,Dark green vegetables (cup eq.),0.7246813313790527
14,veg_exc_sta,155,0.88,0.07,0.44,Vegetables excluding starchy,"Dark green vegetables (cup eq.); Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.); Other vegetables not in the vegetable components listed above (cup eq.)",0.566288164312245
14,veg_oth,155,0.41,0.03,0.19,Other vegetables,Other vegetables not in the vegetable components listed above (cup eq.),0.4815542871910465
14,veg_ro,155,0.3,0.03,0.13,Red and orange vegetables,"Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.)",0.5885382571387456
14,veg_sta,155,0.49,0.04,0.23,Starchy vegetables,Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.),0.466308027316047
15,added_sugar,198,14.66,0.9,7.73,Added sugars,Foods defined as added sugars (tsp. eq.),0.5822775597556639
15,dairy_cow,198,1.31,0.08,0.54,Cow-based dairy,"Milk, yogurt, cheese, and whey (cup ep.)",0.6190074033940827
15,dairy_soy,198,0.02,0.01,0.08,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
15,dairy_tot,198,1.3,0.08,0.54,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6194544089553502
15,fruit_exc_juice,198,0.82,0.06,0.64,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.7707112005983416
15,fruit_juice,198,0.33,0.06,0.47,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.7999855608306582
15,fruit_tot,198,1.03,0.08,0.74,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.),0.7798497433731071
15,gr_refined,198,6.26,0.3,1.72,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.),0.6019221101606768
15,gr_whole,198,0.82,0.05,0.55,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.)",0.806149830109919
15,leg_tot,198,0.75,0.07,0.64,"Beans, peas, lentils (total)","Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.)",0.7045277119082558
15,oil,198,22.41,1.06,6.68,Oils,"Fats naturally present in nuts, seeds, and seafood; all unhydrogenated vegetable oils, except palm oil, palm kernel oil, and coconut oils; the fat present in avocado and olives above the allowable amount; 50% of the fat present in stick and tub margarines and margarine spreads (grams)",0.5531972902902955
15,pf_egg,198,0.89,0.11,0.79,Eggs,"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)",0.6915799686185408
15,pf_ns,198,0.5,0.12,0.56,Nuts and seeds,"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)",0.840231180382313
15,pf_pm,198,0.9,0.11,0.53,Processed meat,"Frankfurters, sausages, corned beef, cured ham and luncheon meat that are made from beef, pork, or poultry (oz. eq.)",0.6275819362952569
15,pf_poultry,198,1.6,0.16,0.79,Unprocessed poultry,"Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.)",0.6113222522335138
15,pf_redm,198,1.71,0.11,0.77,Unprocessed red meat,"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)",0.6324914702911462
15,pf_redm_tot,198,2.62,0.12,1.09,Unprocessed and processed red meat,Combination of ‘uncured red meat’ and ‘cured red meat’,0.6283718119579151
15,pf_seafood,198,0.54,0.07,0.55,Seafood,"Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.); Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.)",0.4236156623898802
15,sat_fat,198,24.48,0.57,4.31,Saturated fats,Total saturated fatty acids (gm),0.5944299815993088
15,sodium,198,3367.48,76.34,589.26,Sodium,Sodium (mg),0.5685477959452427
15,ssb,198,314.66,21.56,275.22,Sugar sweetened beverages,Sugar sweetened beverages (gm),0.5274816197302198
15,veg_dg,198,0.09,0.02,0.1,Dark-green vegetables,Dark green vegetables (cup eq.),0.4462796006958256
