subgroup,Age,Sex,Race,diseases,count,crude_se,population,Age_label,Sex_label,Race_label
34,5,1,2,AA,108,11,1390166,65-74,Female,NHB
35,5,1,3,AA,32,6,1616432,65-74,Female,HIS
36,5,1,4,AA,28,6,1089947,65-74,Female,OTH
37,5,2,1,AA,1143,35,10345066,65-74,Male,NHW
38,5,2,2,AA,125,12,1099252,65-74,Male,NHB
39,5,2,3,AA,63,8,1168063,65-74,Male,HIS
40,5,2,4,AA,53,8,989548,65-74,Male,OTH
41,6,1,1,AA,2333,69,9145660,75+,Female,NHW
42,6,1,2,AA,215,21,1249362,75+,Female,NHB
43,6,1,3,AA,92,14,737080,75+,Female,HIS
44,6,1,4,AA,92,14,689818,75+,Female,OTH
45,6,2,1,AA,2128,66,6831819,75+,Male,NHW
46,6,2,2,AA,112,15,670963,75+,Male,NHB
47,6,2,3,AA,115,16,548525,75+,Male,HIS
48,6,2,4,AA,90,14,638884,75+,Male,OTH
1,1,1,1,AA_medBMI,20,4,18192633,20-34,Female,NHW
2,1,1,2,AA_medBMI,13,4,4596338,20-34,Female,NHB
3,1,1,3,AA_medBMI,9,2,6549965,20-34,Female,HIS
4,1,1,4,AA_medBMI,4,1,3878604,20-34,Female,OTH
5,1,2,1,AA_medBMI,45,6,19295314,20-34,Male,NHW
6,1,2,2,AA_medBMI,27,5,4186659,20-34,Male,NHB
7,1,2,3,AA_medBMI,20,5,6886181,20-34,Male,HIS
8,1,2,4,AA_medBMI,9,1,3785306,20-34,Male,OTH
9,2,1,1,AA_medBMI,44,8,10789518,35-44,Female,NHW
10,2,1,2,AA_medBMI,25,6,2841551,35-44,Female,NHB
11,2,1,3,AA_medBMI,9,2,4706043,35-44,Female,HIS
12,2,1,4,AA_medBMI,8,1,2705155,35-44,Female,OTH
13,2,2,1,AA_medBMI,134,12,10698668,35-44,Male,NHW
14,2,2,2,AA_medBMI,86,10,2373836,35-44,Male,NHB
15,2,2,3,AA_medBMI,29,6,4477083,35-44,Male,HIS
16,2,2,4,AA_medBMI,12,4,2268050,35-44,Male,OTH
17,3,1,1,AA_medBMI,91,10,12961330,45-54,Female,NHW
18,3,1,2,AA_medBMI,44,7,2294986,45-54,Female,NHB
19,3,1,3,AA_medBMI,13,4,2981376,45-54,Female,HIS
20,3,1,4,AA_medBMI,9,1,1908325,45-54,Female,OTH
21,3,2,1,AA_medBMI,282,18,10622756,45-54,Male,NHW
22,3,2,2,AA_medBMI,108,11,2323392,45-54,Male,NHB
23,3,2,3,AA_medBMI,60,8,3207152,45-54,Male,HIS
24,3,2,4,AA_medBMI,23,5,2807268,45-54,Male,OTH
25,4,1,1,AA_medBMI,244,16,16626401,55-64,Female,NHW
26,4,1,2,AA_medBMI,81,9,3005374,55-64,Female,NHB
27,4,1,3,AA_medBMI,22,5,2911586,55-64,Female,HIS
28,4,1,4,AA_medBMI,15,4,2629488,55-64,Female,OTH
29,4,2,1,AA_medBMI,774,28,15564860,55-64,Male,NHW
30,4,2,2,AA_medBMI,172,14,2050599,55-64,Male,NHB
31,4,2,3,AA_medBMI,83,10,2832735,55-64,Male,HIS
32,4,2,4,AA_medBMI,40,7,2195076,55-64,Male,OTH
33,5,1,1,AA_medBMI,603,25,11513863,65-74,Female,NHW
34,5,1,2,AA_medBMI,108,11,1390166,65-74,Female,NHB
35,5,1,3,AA_medBMI,32,6,1616432,65-74,Female,HIS
36,5,1,4,AA_medBMI,28,6,1089947,65-74,Female,OTH
37,5,2,1,AA_medBMI,1143,35,10345066,65-74,Male,NHW
38,5,2,2,AA_medBMI,125,12,1099252,65-74,Male,NHB
39,5,2,3,AA_medBMI,63,8,1168063,65-74,Male,HIS
40,5,2,4,AA_medBMI,53,8,989548,65-74,Male,OTH
41,6,1,1,AA_medBMI,2333,69,9145660,75+,Female,NHW
42,6,1,2,AA_medBMI,215,21,1249362,75+,Female,NHB
43,6,1,3,AA_medBMI,92,14,737080,75+,Female,HIS
44,6,1,4,AA_medBMI,92,14,689818,75+,Female,OTH
45,6,2,1,AA_medBMI,2128,66,6831819,75+,Male,NHW
46,6,2,2,AA_medBMI,112,15,670963,75+,Male,NHB
47,6,2,3,AA_medBMI,115,16,548525,75+,Male,HIS
48,6,2,4,AA_medBMI,90,14,638884,75+,Male,OTH
1,1,1,1,AA_medSBP,20,4,18192633,20-34,Female,NHW
2,1,1,2,AA_medSBP,13,4,4596338,20-34,Female,NHB
3,1,1,3,AA_medSBP,9,2,6549965,20-34,Female,HIS
4,1,1,4,AA_medSBP,4,1,3878604,20-34,Female,OTH
5,1,2,1,AA_medSBP,45,6,19295314,20-34,Male,NHW
6,1,2,2,AA_medSBP,27,5,4186659,20-34,Male,NHB
7,1,2,3,AA_medSBP,20,5,6886181,20-34,Male,HIS
8,1,2,4,AA_medSBP,9,1,3785306,20-34,Male,OTH
9,2,1,1,AA_medSBP,44,8,10789518,35-44,Female,NHW
10,2,1,2,AA_medSBP,25,6,2841551,35-44,Female,NHB
11,2,1,3,AA_medSBP,9,2,4706043,35-44,Female,HIS
12,2,1,4,AA_medSBP,8,1,2705155,35-44,Female,OTH
13,2,2,1,AA_medSBP,134,12,10698668,35-44,Male,NHW
14,2,2,2,AA_medSBP,86,10,2373836,35-44,Male,NHB
15,2,2,3,AA_medSBP,29,6,4477083,35-44,Male,HIS
16,2,2,4,AA_medSBP,12,4,2268050,35-44,Male,OTH
17,3,1,1,AA_medSBP,91,10,12961330,45-54,Female,NHW
18,3,1,2,AA_medSBP,44,7,2294986,45-54,Female,NHB
19,3,1,3,AA_medSBP,13,4,2981376,45-54,Female,HIS
20,3,1,4,AA_medSBP,9,1,1908325,45-54,Female,OTH
21,3,2,1,AA_medSBP,282,18,10622756,45-54,Male,NHW
22,3,2,2,AA_medSBP,108,11,2323392,45-54,Male,NHB
23,3,2,3,AA_medSBP,60,8,3207152,45-54,Male,HIS
24,3,2,4,AA_medSBP,23,5,2807268,45-54,Male,OTH
25,4,1,1,AA_medSBP,244,16,16626401,55-64,Female,NHW
26,4,1,2,AA_medSBP,81,9,3005374,55-64,Female,NHB
27,4,1,3,AA_medSBP,22,5,2911586,55-64,Female,HIS
28,4,1,4,AA_medSBP,15,4,2629488,55-64,Female,OTH
29,4,2,1,AA_medSBP,774,28,15564860,55-64,Male,NHW
30,4,2,2,AA_medSBP,172,14,2050599,55-64,Male,NHB
31,4,2,3,AA_medSBP,83,10,2832735,55-64,Male,HIS
32,4,2,4,AA_medSBP,40,7,2195076,55-64,Male,OTH
33,5,1,1,AA_medSBP,603,25,11513863,65-74,Female,NHW
34,5,1,2,AA_medSBP,108,11,1390166,65-74,Female,NHB
35,5,1,3,AA_medSBP,32,6,1616432,65-74,Female,HIS
36,5,1,4,AA_medSBP,28,6,1089947,65-74,Female,OTH
37,5,2,1,AA_medSBP,1143,35,10345066,65-74,Male,NHW
38,5,2,2,AA_medSBP,125,12,1099252,65-74,Male,NHB
39,5,2,3,AA_medSBP,63,8,1168063,65-74,Male,HIS
40,5,2,4,AA_medSBP,53,8,989548,65-74,Male,OTH
41,6,1,1,AA_medSBP,2333,69,9145660,75+,Female,NHW
42,6,1,2,AA_medSBP,215,21,1249362,75+,Female,NHB
43,6,1,3,AA_medSBP,92,14,737080,75+,Female,HIS
44,6,1,4,AA_medSBP,92,14,689818,75+,Female,OTH
45,6,2,1,AA_medSBP,2128,66,6831819,75+,Male,NHW
46,6,2,2,AA_medSBP,112,15,670963,75+,Male,NHB
47,6,2,3,AA_medSBP,115,16,548525,75+,Male,HIS
48,6,2,4,AA_medSBP,90,14,638884,75+,Male,OTH
1,1,1,1,AFF,0,0,18192633,20-34,Female,NHW
2,1,1,2,AFF,0,0,4596338,20-34,Female,NHB
3,1,1,3,AFF,0,0,6549965,20-34,Female,HIS
4,1,1,4,AFF,0,0,3878604,20-34,Female,OTH
5,1,2,1,AFF,6,2,19295314,20-34,Male,NHW
6,1,2,2,AFF,2,1,4186659,20-34,Male,NHB
7,1,2,3,AFF,3,1,6886181,20-34,Male,HIS
8,1,2,4,AFF,1,1,3785306,20-34,Male,OTH
9,2,1,1,AFF,12,4,10789518,35-44,Female,NHW
10,2,1,2,AFF,3,1,2841551,35-44,Female,NHB
11,2,1,3,AFF,4,1,4706043,35-44,Female,HIS
12,2,1,4,AFF,2,1,2705155,35-44,Female,OTH
13,2,2,1,AFF,19,5,10698668,35-44,Male,NHW
14,2,2,2,AFF,11,4,2373836,35-44,Male,NHB
15,2,2,3,AFF,8,2,4477083,35-44,Male,HIS
16,2,2,4,AFF,3,1,2268050,35-44,Male,OTH
17,3,1,1,AFF,38,7,12961330,45-54,Female,NHW
18,3,1,2,AFF,13,4,2294986,45-54,Female,NHB
19,3,1,3,AFF,9,2,2981376,45-54,Female,HIS
20,3,1,4,AFF,5,1,1908325,45-54,Female,OTH
21,3,2,1,AFF,100,11,10622756,45-54,Male,NHW
22,3,2,2,AFF,28,6,2323392,45-54,Male,NHB
23,3,2,3,AFF,12,4,3207152,45-54,Male,HIS
24,3,2,4,AFF,9,1,2807268,45-54,Male,OTH
25,4,1,1,AFF,246,16,16626401,55-64,Female,NHW
26,4,1,2,AFF,54,8,3005374,55-64,Female,NHB
27,4,1,3,AFF,16,5,2911586,55-64,Female,HIS
28,4,1,4,AFF,10,4,2629488,55-64,Female,OTH
29,4,2,1,AFF,518,24,15564860,55-64,Male,NHW
30,4,2,2,AFF,100,11,2050599,55-64,Male,NHB
31,4,2,3,AFF,41,7,2832735,55-64,Male,HIS
32,4,2,4,AFF,19,5,2195076,55-64,Male,OTH
33,5,1,1,AFF,1043,33,11513863,65-74,Female,NHW
34,5,1,2,AFF,130,12,1390166,65-74,Female,NHB
35,5,1,3,AFF,60,8,1616432,65-74,Female,HIS
36,5,1,4,AFF,55,8,1089947,65-74,Female,OTH
37,5,2,1,AFF,1346,37,10345066,65-74,Male,NHW
38,5,2,2,AFF,179,14,1099252,65-74,Male,NHB
39,5,2,3,AFF,80,9,1168063,65-74,Male,HIS
40,5,2,4,AFF,35,6,989548,65-74,Male,OTH
41,6,1,1,AFF,12141,151,9145660,75+,Female,NHW
42,6,1,2,AFF,658,37,1249362,75+,Female,NHB
43,6,1,3,AFF,526,33,737080,75+,Female,HIS
44,6,1,4,AFF,302,25,689818,75+,Female,OTH
45,6,2,1,AFF,7200,119,6831819,75+,Male,NHW
46,6,2,2,AFF,330,26,670963,75+,Male,NHB
47,6,2,3,AFF,271,24,548525,75+,Male,HIS
48,6,2,4,AFF,163,19,638884,75+,Male,OTH
1,1,1,1,AFF_medBMI,0,0,18192633,20-34,Female,NHW
2,1,1,2,AFF_medBMI,0,0,4596338,20-34,Female,NHB
3,1,1,3,AFF_medBMI,0,0,6549965,20-34,Female,HIS
4,1,1,4,AFF_medBMI,0,0,3878604,20-34,Female,OTH
5,1,2,1,AFF_medBMI,6,2,19295314,20-34,Male,NHW
6,1,2,2,AFF_medBMI,2,1,4186659,20-34,Male,NHB
7,1,2,3,AFF_medBMI,3,1,6886181,20-34,Male,HIS
8,1,2,4,AFF_medBMI,1,1,3785306,20-34,Male,OTH
9,2,1,1,AFF_medBMI,12,4,10789518,35-44,Female,NHW
10,2,1,2,AFF_medBMI,3,1,2841551,35-44,Female,NHB
11,2,1,3,AFF_medBMI,4,1,4706043,35-44,Female,HIS
12,2,1,4,AFF_medBMI,2,1,2705155,35-44,Female,OTH
13,2,2,1,AFF_medBMI,19,5,10698668,35-44,Male,NHW
14,2,2,2,AFF_medBMI,11,4,2373836,35-44,Male,NHB
15,2,2,3,AFF_medBMI,8,2,4477083,35-44,Male,HIS
16,2,2,4,AFF_medBMI,3,1,2268050,35-44,Male,OTH
17,3,1,1,AFF_medBMI,38,7,12961330,45-54,Female,NHW
18,3,1,2,AFF_medBMI,13,4,2294986,45-54,Female,NHB
19,3,1,3,AFF_medBMI,9,2,2981376,45-54,Female,HIS
20,3,1,4,AFF_medBMI,5,1,1908325,45-54,Female,OTH
21,3,2,1,AFF_medBMI,100,11,10622756,45-54,Male,NHW
22,3,2,2,AFF_medBMI,28,6,2323392,45-54,Male,NHB
23,3,2,3,AFF_medBMI,12,4,3207152,45-54,Male,HIS
24,3,2,4,AFF_medBMI,9,1,2807268,45-54,Male,OTH
25,4,1,1,AFF_medBMI,246,16,16626401,55-64,Female,NHW
26,4,1,2,AFF_medBMI,54,8,3005374,55-64,Female,NHB
27,4,1,3,AFF_medBMI,16,5,2911586,55-64,Female,HIS
28,4,1,4,AFF_medBMI,10,4,2629488,55-64,Female,OTH
29,4,2,1,AFF_medBMI,518,24,15564860,55-64,Male,NHW
30,4,2,2,AFF_medBMI,100,11,2050599,55-64,Male,NHB
31,4,2,3,AFF_medBMI,41,7,2832735,55-64,Male,HIS
32,4,2,4,AFF_medBMI,19,5,2195076,55-64,Male,OTH
33,5,1,1,AFF_medBMI,1043,33,11513863,65-74,Female,NHW
34,5,1,2,AFF_medBMI,130,12,1390166,65-74,Female,NHB
35,5,1,3,AFF_medBMI,60,8,1616432,65-74,Female,HIS
36,5,1,4,AFF_medBMI,55,8,1089947,65-74,Female,OTH
37,5,2,1,AFF_medBMI,1346,37,10345066,65-74,Male,NHW
38,5,2,2,AFF_medBMI,179,14,1099252,65-74,Male,NHB
39,5,2,3,AFF_medBMI,80,9,1168063,65-74,Male,HIS
40,5,2,4,AFF_medBMI,35,6,989548,65-74,Male,OTH
41,6,1,1,AFF_medBMI,12141,151,9145660,75+,Female,NHW
42,6,1,2,AFF_medBMI,658,37,1249362,75+,Female,NHB
43,6,1,3,AFF_medBMI,526,33,737080,75+,Female,HIS
44,6,1,4,AFF_medBMI,302,25,689818,75+,Female,OTH
45,6,2,1,AFF_medBMI,7200,119,6831819,75+,Male,NHW
46,6,2,2,AFF_medBMI,330,26,670963,75+,Male,NHB
47,6,2,3,AFF_medBMI,271,24,548525,75+,Male,HIS
48,6,2,4,AFF_medBMI,163,19,638884,75+,Male,OTH
1,1,1,1,AFF_medSBP,0,0,18192633,20-34,Female,NHW
2,1,1,2,AFF_medSBP,0,0,4596338,20-34,Female,NHB
3,1,1,3,AFF_medSBP,0,0,6549965,20-34,Female,HIS
4,1,1,4,AFF_medSBP,0,0,3878604,20-34,Female,OTH
5,1,2,1,AFF_medSBP,6,2,19295314,20-34,Male,NHW
6,1,2,2,AFF_medSBP,2,1,4186659,20-34,Male,NHB
7,1,2,3,AFF_medSBP,3,1,6886181,20-34,Male,HIS
8,1,2,4,AFF_medSBP,1,1,3785306,20-34,Male,OTH
9,2,1,1,AFF_medSBP,12,4,10789518,35-44,Female,NHW
10,2,1,2,AFF_medSBP,3,1,2841551,35-44,Female,NHB
11,2,1,3,AFF_medSBP,4,1,4706043,35-44,Female,HIS
12,2,1,4,AFF_medSBP,2,1,2705155,35-44,Female,OTH
13,2,2,1,AFF_medSBP,19,5,10698668,35-44,Male,NHW
14,2,2,2,AFF_medSBP,11,4,2373836,35-44,Male,NHB
15,2,2,3,AFF_medSBP,8,2,4477083,35-44,Male,HIS
16,2,2,4,AFF_medSBP,3,1,2268050,35-44,Male,OTH
17,3,1,1,AFF_medSBP,38,7,12961330,45-54,Female,NHW
18,3,1,2,AFF_medSBP,13,4,2294986,45-54,Female,NHB
19,3,1,3,AFF_medSBP,9,2,2981376,45-54,Female,HIS
20,3,1,4,AFF_medSBP,5,1,1908325,45-54,Female,OTH
21,3,2,1,AFF_medSBP,100,11,10622756,45-54,Male,NHW
22,3,2,2,AFF_medSBP,28,6,2323392,45-54,Male,NHB
23,3,2,3,AFF_medSBP,12,4,3207152,45-54,Male,HIS
24,3,2,4,AFF_medSBP,9,1,2807268,45-54,Male,OTH
25,4,1,1,AFF_medSBP,246,16,16626401,55-64,Female,NHW
26,4,1,2,AFF_medSBP,54,8,3005374,55-64,Female,NHB
27,4,1,3,AFF_medSBP,16,5,2911586,55-64,Female,HIS
28,4,1,4,AFF_medSBP,10,4,2629488,55-64,Female,OTH
29,4,2,1,AFF_medSBP,518,24,15564860,55-64,Male,NHW
30,4,2,2,AFF_medSBP,100,11,2050599,55-64,Male,NHB
31,4,2,3,AFF_medSBP,41,7,2832735,55-64,Male,HIS
32,4,2,4,AFF_medSBP,19,5,2195076,55-64,Male,OTH
33,5,1,1,AFF_medSBP,1043,33,11513863,65-74,Female,NHW
34,5,1,2,AFF_medSBP,130,12,1390166,65-74,Female,NHB
35,5,1,3,AFF_medSBP,60,8,1616432,65-74,Female,HIS
36,5,1,4,AFF_medSBP,55,8,1089947,65-74,Female,OTH
37,5,2,1,AFF_medSBP,1346,37,10345066,65-74,Male,NHW
38,5,2,2,AFF_medSBP,179,14,1099252,65-74,Male,NHB
39,5,2,3,AFF_medSBP,80,9,1168063,65-74,Male,HIS
40,5,2,4,AFF_medSBP,35,6,989548,65-74,Male,OTH
41,6,1,1,AFF_medSBP,12141,151,9145660,75+,Female,NHW
42,6,1,2,AFF_medSBP,658,37,1249362,75+,Female,NHB
43,6,1,3,AFF_medSBP,526,33,737080,75+,Female,HIS
44,6,1,4,AFF_medSBP,302,25,689818,75+,Female,OTH
45,6,2,1,AFF_medSBP,7200,119,6831819,75+,Male,NHW
46,6,2,2,AFF_medSBP,330,26,670963,75+,Male,NHB
47,6,2,3,AFF_medSBP,271,24,548525,75+,Male,HIS
48,6,2,4,AFF_medSBP,163,19,638884,75+,Male,OTH
1,1,1,1,ALL,16306,270,18192633,20-34,Female,NHW
2,1,1,2,ALL,2811,106,4596338,20-34,Female,NHB
3,1,1,3,ALL,4457,108,6549965,20-34,Female,HIS
4,1,1,4,ALL,3011,99,3878604,20-34,Female,OTH
5,1,2,1,ALL,11184,224,19295314,20-34,Male,NHW
6,1,2,2,ALL,1301,69,4186659,20-34,Male,NHB
7,1,2,3,ALL,3404,93,6886181,20-34,Male,HIS
8,1,2,4,ALL,1709,74,3785306,20-34,Male,OTH
9,2,1,1,ALL,28642,343,10789518,35-44,Female,NHW
10,2,1,2,ALL,6721,170,2841551,35-44,Female,NHB
11,2,1,3,ALL,10186,180,4706043,35-44,Female,HIS
12,2,1,4,ALL,7021,150,2705155,35-44,Female,OTH
13,2,2,1,ALL,15309,247,10698668,35-44,Male,NHW
14,2,2,2,ALL,2826,105,2373836,35-44,Male,NHB
15,2,2,3,ALL,3845,105,4477083,35-44,Male,HIS
16,2,2,4,ALL,2502,87,2268050,35-44,Male,OTH
17,3,1,1,ALL,73599,572,12961330,45-54,Female,NHW
18,3,1,2,ALL,11089,197,2294986,45-54,Female,NHB
19,3,1,3,ALL,12825,174,2981376,45-54,Female,HIS
20,3,1,4,ALL,10043,159,1908325,45-54,Female,OTH
21,3,2,1,ALL,44071,400,10622756,45-54,Male,NHW
22,3,2,2,ALL,10664,205,2323392,45-54,Male,NHB
23,3,2,3,ALL,7869,140,3207152,45-54,Male,HIS
24,3,2,4,ALL,8725,192,2807268,45-54,Male,OTH
25,4,1,1,ALL,156717,880,16626401,55-64,Female,NHW
26,4,1,2,ALL,27872,367,3005374,55-64,Female,NHB
27,4,1,3,ALL,21512,261,2911586,55-64,Female,HIS
28,4,1,4,ALL,20643,285,2629488,55-64,Female,OTH
29,4,2,1,ALL,174024,911,15564860,55-64,Male,NHW
30,4,2,2,ALL,28162,329,2050599,55-64,Male,NHB
31,4,2,3,ALL,20584,258,2832735,55-64,Male,HIS
32,4,2,4,ALL,19558,277,2195076,55-64,Male,OTH
33,5,1,1,ALL,177434,879,11513863,65-74,Female,NHW
34,5,1,2,ALL,20773,273,1390166,65-74,Female,NHB
35,5,1,3,ALL,19044,244,1616432,65-74,Female,HIS
36,5,1,4,ALL,12547,170,1089947,65-74,Female,OTH
37,5,2,1,ALL,222301,980,10345066,65-74,Male,NHW
38,5,2,2,ALL,27371,320,1099252,65-74,Male,NHB
39,5,2,3,ALL,17759,218,1168063,65-74,Male,HIS
40,5,2,4,ALL,16838,210,989548,65-74,Male,OTH
41,6,1,1,ALL,177441,864,9145660,75+,Female,NHW
42,6,1,2,ALL,21018,318,1249362,75+,Female,NHB
43,6,1,3,ALL,10474,146,737080,75+,Female,HIS
44,6,1,4,ALL,9329,134,689818,75+,Female,OTH
45,6,2,1,ALL,197860,930,6831819,75+,Male,NHW
46,6,2,2,ALL,16803,273,670963,75+,Male,NHB
47,6,2,3,ALL,11204,159,548525,75+,Male,HIS
48,6,2,4,ALL,13344,185,638884,75+,Male,OTH
1,1,1,1,APCA,0,0,18192633,20-34,Female,NHW
2,1,1,2,APCA,0,0,4596338,20-34,Female,NHB
3,1,1,3,APCA,0,0,6549965,20-34,Female,HIS
4,1,1,4,APCA,0,0,3878604,20-34,Female,OTH
5,1,2,1,APCA,5,4,19295314,20-34,Male,NHW
6,1,2,2,APCA,0,0,4186659,20-34,Male,NHB
7,1,2,3,APCA,3,3,6886181,20-34,Male,HIS
8,1,2,4,APCA,0,0,3785306,20-34,Male,OTH
9,2,1,1,APCA,0,0,10789518,35-44,Female,NHW
10,2,1,2,APCA,0,0,2841551,35-44,Female,NHB
11,2,1,3,APCA,0,0,4706043,35-44,Female,HIS
12,2,1,4,APCA,0,0,2705155,35-44,Female,OTH
13,2,2,1,APCA,44,13,10698668,35-44,Male,NHW
14,2,2,2,APCA,39,13,2373836,35-44,Male,NHB
15,2,2,3,APCA,23,9,4477083,35-44,Male,HIS
16,2,2,4,APCA,7,5,2268050,35-44,Male,OTH
17,3,1,1,APCA,0,0,12961330,45-54,Female,NHW
18,3,1,2,APCA,0,0,2294986,45-54,Female,NHB
19,3,1,3,APCA,0,0,2981376,45-54,Female,HIS
20,3,1,4,APCA,0,0,1908325,45-54,Female,OTH
21,3,2,1,APCA,1722,79,10622756,45-54,Male,NHW
22,3,2,2,APCA,715,53,2323392,45-54,Male,NHB
23,3,2,3,APCA,322,29,3207152,45-54,Male,HIS
24,3,2,4,APCA,160,26,2807268,45-54,Male,OTH
25,4,1,1,APCA,0,0,16626401,55-64,Female,NHW
26,4,1,2,APCA,0,0,3005374,55-64,Female,NHB
27,4,1,3,APCA,0,0,2911586,55-64,Female,HIS
28,4,1,4,APCA,0,0,2629488,55-64,Female,OTH
29,4,2,1,APCA,10969,229,15564860,55-64,Male,NHW
30,4,2,2,APCA,2543,99,2050599,55-64,Male,NHB
31,4,2,3,APCA,1484,70,2832735,55-64,Male,HIS
32,4,2,4,APCA,921,60,2195076,55-64,Male,OTH
33,5,1,1,APCA,0,0,11513863,65-74,Female,NHW
34,5,1,2,APCA,0,0,1390166,65-74,Female,NHB
35,5,1,3,APCA,0,0,1616432,65-74,Female,HIS
36,5,1,4,APCA,0,0,1089947,65-74,Female,OTH
37,5,2,1,APCA,14135,248,10345066,65-74,Male,NHW
38,5,2,2,APCA,2005,87,1099252,65-74,Male,NHB
39,5,2,3,APCA,1294,59,1168063,65-74,Male,HIS
40,5,2,4,APCA,1032,52,989548,65-74,Male,OTH
41,6,1,1,APCA,0,0,9145660,75+,Female,NHW
42,6,1,2,APCA,0,0,1249362,75+,Female,NHB
43,6,1,3,APCA,0,0,737080,75+,Female,HIS
44,6,1,4,APCA,0,0,689818,75+,Female,OTH
45,6,2,1,APCA,9197,201,6831819,75+,Male,NHW
46,6,2,2,APCA,1025,68,670963,75+,Male,NHB
47,6,2,3,APCA,694,40,548525,75+,Male,HIS
48,6,2,4,APCA,648,41,638884,75+,Male,OTH
1,1,1,1,BC,0,0,18192633,20-34,Female,NHW
2,1,1,2,BC,0,0,4596338,20-34,Female,NHB
3,1,1,3,BC,0,0,6549965,20-34,Female,HIS
4,1,1,4,BC,0,0,3878604,20-34,Female,OTH
5,1,2,1,BC,0,0,19295314,20-34,Male,NHW
6,1,2,2,BC,0,0,4186659,20-34,Male,NHB
7,1,2,3,BC,0,0,6886181,20-34,Male,HIS
8,1,2,4,BC,0,0,3785306,20-34,Male,OTH
9,2,1,1,BC,0,0,10789518,35-44,Female,NHW
10,2,1,2,BC,0,0,2841551,35-44,Female,NHB
11,2,1,3,BC,0,0,4706043,35-44,Female,HIS
12,2,1,4,BC,0,0,2705155,35-44,Female,OTH
13,2,2,1,BC,0,0,10698668,35-44,Male,NHW
14,2,2,2,BC,0,0,2373836,35-44,Male,NHB
15,2,2,3,BC,0,0,4477083,35-44,Male,HIS
16,2,2,4,BC,0,0,2268050,35-44,Male,OTH
17,3,1,1,BC,13717,580,12961330,45-54,Female,NHW
18,3,1,2,BC,2405,207,2294986,45-54,Female,NHB
19,3,1,3,BC,2280,184,2981376,45-54,Female,HIS
20,3,1,4,BC,1713,178,1908325,45-54,Female,OTH
21,3,2,1,BC,0,0,10622756,45-54,Male,NHW
22,3,2,2,BC,0,0,2323392,45-54,Male,NHB
23,3,2,3,BC,0,0,3207152,45-54,Male,HIS
24,3,2,4,BC,0,0,2807268,45-54,Male,OTH
25,4,1,1,BC,52979,511,16626401,55-64,Female,NHW
26,4,1,2,BC,9228,212,3005374,55-64,Female,NHB
27,4,1,3,BC,7071,150,2911586,55-64,Female,HIS
28,4,1,4,BC,7758,175,2629488,55-64,Female,OTH
29,4,2,1,BC,0,0,15564860,55-64,Male,NHW
30,4,2,2,BC,0,0,2050599,55-64,Male,NHB
31,4,2,3,BC,0,0,2832735,55-64,Male,HIS
32,4,2,4,BC,0,0,2195076,55-64,Male,OTH
33,5,1,1,BC,54872,489,11513863,65-74,Female,NHW
34,5,1,2,BC,6141,149,1390166,65-74,Female,NHB
35,5,1,3,BC,5750,135,1616432,65-74,Female,HIS
36,5,1,4,BC,4430,101,1089947,65-74,Female,OTH
37,5,2,1,BC,0,0,10345066,65-74,Male,NHW
38,5,2,2,BC,0,0,1099252,65-74,Male,NHB
39,5,2,3,BC,0,0,1168063,65-74,Male,HIS
40,5,2,4,BC,0,0,989548,65-74,Male,OTH
