subgroup,Age,Sex,Race,diseases,count,crude_se,population,Age_label,Sex_label,Race_label
20,3,1,4,AA_medBMI,9,0,1908325,45-54,Female,OTH
21,3,2,1,AA_medBMI,282,0,10622756,45-54,Male,NHW
22,3,2,2,AA_medBMI,108,0,2323392,45-54,Male,NHB
23,3,2,3,AA_medBMI,60,0,3207152,45-54,Male,HIS
24,3,2,4,AA_medBMI,23,0,2807268,45-54,Male,OTH
25,4,1,1,AA_medBMI,244,0,16626401,55-64,Female,NHW
26,4,1,2,AA_medBMI,81,0,3005374,55-64,Female,NHB
27,4,1,3,AA_medBMI,22,0,2911586,55-64,Female,HIS
28,4,1,4,AA_medBMI,15,0,2629488,55-64,Female,OTH
29,4,2,1,AA_medBMI,774,0,15564860,55-64,Male,NHW
30,4,2,2,AA_medBMI,172,0,2050599,55-64,Male,NHB
31,4,2,3,AA_medBMI,83,0,2832735,55-64,Male,HIS
32,4,2,4,AA_medBMI,40,0,2195076,55-64,Male,OTH
33,5,1,1,AA_medBMI,603,0,11513863,65-74,Female,NHW
34,5,1,2,AA_medBMI,108,0,1390166,65-74,Female,NHB
35,5,1,3,AA_medBMI,32,0,1616432,65-74,Female,HIS
36,5,1,4,AA_medBMI,28,0,1089947,65-74,Female,OTH
37,5,2,1,AA_medBMI,1143,0,10345066,65-74,Male,NHW
38,5,2,2,AA_medBMI,125,0,1099252,65-74,Male,NHB
39,5,2,3,AA_medBMI,63,0,1168063,65-74,Male,HIS
40,5,2,4,AA_medBMI,53,0,989548,65-74,Male,OTH
41,6,1,1,AA_medBMI,2333,0,9145660,75+,Female,NHW
42,6,1,2,AA_medBMI,215,0,1249362,75+,Female,NHB
43,6,1,3,AA_medBMI,92,0,737080,75+,Female,HIS
44,6,1,4,AA_medBMI,92,0,689818,75+,Female,OTH
45,6,2,1,AA_medBMI,2128,0,6831819,75+,Male,NHW
46,6,2,2,AA_medBMI,112,0,670963,75+,Male,NHB
47,6,2,3,AA_medBMI,115,0,548525,75+,Male,HIS
48,6,2,4,AA_medBMI,90,0,638884,75+,Male,OTH
1,1,1,1,AA_medSBP,20,0,18192633,20-34,Female,NHW
2,1,1,2,AA_medSBP,13,0,4596338,20-34,Female,NHB
3,1,1,3,AA_medSBP,9,0,6549965,20-34,Female,HIS
4,1,1,4,AA_medSBP,4,0,3878604,20-34,Female,OTH
5,1,2,1,AA_medSBP,45,0,19295314,20-34,Male,NHW
6,1,2,2,AA_medSBP,27,0,4186659,20-34,Male,NHB
7,1,2,3,AA_medSBP,20,0,6886181,20-34,Male,HIS
8,1,2,4,AA_medSBP,9,0,3785306,20-34,Male,OTH
9,2,1,1,AA_medSBP,44,0,10789518,35-44,Female,NHW
10,2,1,2,AA_medSBP,25,0,2841551,35-44,Female,NHB
11,2,1,3,AA_medSBP,9,0,4706043,35-44,Female,HIS
12,2,1,4,AA_medSBP,8,0,2705155,35-44,Female,OTH
13,2,2,1,AA_medSBP,134,0,10698668,35-44,Male,NHW
14,2,2,2,AA_medSBP,86,0,2373836,35-44,Male,NHB
15,2,2,3,AA_medSBP,29,0,4477083,35-44,Male,HIS
16,2,2,4,AA_medSBP,12,0,2268050,35-44,Male,OTH
17,3,1,1,AA_medSBP,91,0,12961330,45-54,Female,NHW
18,3,1,2,AA_medSBP,44,0,2294986,45-54,Female,NHB
19,3,1,3,AA_medSBP,13,0,2981376,45-54,Female,HIS
20,3,1,4,AA_medSBP,9,0,1908325,45-54,Female,OTH
21,3,2,1,AA_medSBP,282,0,10622756,45-54,Male,NHW
22,3,2,2,AA_medSBP,108,0,2323392,45-54,Male,NHB
23,3,2,3,AA_medSBP,60,0,3207152,45-54,Male,HIS
24,3,2,4,AA_medSBP,23,0,2807268,45-54,Male,OTH
25,4,1,1,AA_medSBP,244,0,16626401,55-64,Female,NHW
26,4,1,2,AA_medSBP,81,0,3005374,55-64,Female,NHB
27,4,1,3,AA_medSBP,22,0,2911586,55-64,Female,HIS
28,4,1,4,AA_medSBP,15,0,2629488,55-64,Female,OTH
29,4,2,1,AA_medSBP,774,0,15564860,55-64,Male,NHW
30,4,2,2,AA_medSBP,172,0,2050599,55-64,Male,NHB
31,4,2,3,AA_medSBP,83,0,2832735,55-64,Male,HIS
32,4,2,4,AA_medSBP,40,0,2195076,55-64,Male,OTH
33,5,1,1,AA_medSBP,603,0,11513863,65-74,Female,NHW
34,5,1,2,AA_medSBP,108,0,1390166,65-74,Female,NHB
35,5,1,3,AA_medSBP,32,0,1616432,65-74,Female,HIS
36,5,1,4,AA_medSBP,28,0,1089947,65-74,Female,OTH
37,5,2,1,AA_medSBP,1143,0,10345066,65-74,Male,NHW
38,5,2,2,AA_medSBP,125,0,1099252,65-74,Male,NHB
39,5,2,3,AA_medSBP,63,0,1168063,65-74,Male,HIS
40,5,2,4,AA_medSBP,53,0,989548,65-74,Male,OTH
41,6,1,1,AA_medSBP,2333,0,9145660,75+,Female,NHW
42,6,1,2,AA_medSBP,215,0,1249362,75+,Female,NHB
43,6,1,3,AA_medSBP,92,0,737080,75+,Female,HIS
44,6,1,4,AA_medSBP,92,0,689818,75+,Female,OTH
45,6,2,1,AA_medSBP,2128,0,6831819,75+,Male,NHW
46,6,2,2,AA_medSBP,112,0,670963,75+,Male,NHB
47,6,2,3,AA_medSBP,115,0,548525,75+,Male,HIS
48,6,2,4,AA_medSBP,90,0,638884,75+,Male,OTH
1,1,1,1,AFF,0,0,18192633,20-34,Female,NHW
2,1,1,2,AFF,0,0,4596338,20-34,Female,NHB
3,1,1,3,AFF,0,0,6549965,20-34,Female,HIS
4,1,1,4,AFF,0,0,3878604,20-34,Female,OTH
5,1,2,1,AFF,6,0,19295314,20-34,Male,NHW
6,1,2,2,AFF,2,0,4186659,20-34,Male,NHB
7,1,2,3,AFF,3,0,6886181,20-34,Male,HIS
8,1,2,4,AFF,1,0,3785306,20-34,Male,OTH
9,2,1,1,AFF,12,0,10789518,35-44,Female,NHW
10,2,1,2,AFF,3,0,2841551,35-44,Female,NHB
11,2,1,3,AFF,4,0,4706043,35-44,Female,HIS
12,2,1,4,AFF,2,0,2705155,35-44,Female,OTH
13,2,2,1,AFF,19,0,10698668,35-44,Male,NHW
14,2,2,2,AFF,11,0,2373836,35-44,Male,NHB
15,2,2,3,AFF,8,0,4477083,35-44,Male,HIS
16,2,2,4,AFF,3,0,2268050,35-44,Male,OTH
17,3,1,1,AFF,38,0,12961330,45-54,Female,NHW
18,3,1,2,AFF,13,0,2294986,45-54,Female,NHB
19,3,1,3,AFF,9,0,2981376,45-54,Female,HIS
20,3,1,4,AFF,5,0,1908325,45-54,Female,OTH
21,3,2,1,AFF,100,0,10622756,45-54,Male,NHW
22,3,2,2,AFF,28,0,2323392,45-54,Male,NHB
23,3,2,3,AFF,12,0,3207152,45-54,Male,HIS
24,3,2,4,AFF,9,0,2807268,45-54,Male,OTH
25,4,1,1,AFF,246,0,16626401,55-64,Female,NHW
26,4,1,2,AFF,54,0,3005374,55-64,Female,NHB
27,4,1,3,AFF,16,0,2911586,55-64,Female,HIS
28,4,1,4,AFF,10,0,2629488,55-64,Female,OTH
29,4,2,1,AFF,518,0,15564860,55-64,Male,NHW
30,4,2,2,AFF,100,0,2050599,55-64,Male,NHB
31,4,2,3,AFF,41,0,2832735,55-64,Male,HIS
32,4,2,4,AFF,19,0,2195076,55-64,Male,OTH
33,5,1,1,AFF,1043,0,11513863,65-74,Female,NHW
34,5,1,2,AFF,130,0,1390166,65-74,Female,NHB
35,5,1,3,AFF,60,0,1616432,65-74,Female,HIS
36,5,1,4,AFF,55,0,1089947,65-74,Female,OTH
37,5,2,1,AFF,1346,0,10345066,65-74,Male,NHW
38,5,2,2,AFF,179,0,1099252,65-74,Male,NHB
39,5,2,3,AFF,80,0,1168063,65-74,Male,HIS
40,5,2,4,AFF,35,0,989548,65-74,Male,OTH
41,6,1,1,AFF,12141,0,9145660,75+,Female,NHW
42,6,1,2,AFF,658,0,1249362,75+,Female,NHB
43,6,1,3,AFF,526,0,737080,75+,Female,HIS
44,6,1,4,AFF,302,0,689818,75+,Female,OTH
45,6,2,1,AFF,7200,0,6831819,75+,Male,NHW
46,6,2,2,AFF,330,0,670963,75+,Male,NHB
47,6,2,3,AFF,271,0,548525,75+,Male,HIS
48,6,2,4,AFF,163,0,638884,75+,Male,OTH
1,1,1,1,AFF_medBMI,0,0,18192633,20-34,Female,NHW
2,1,1,2,AFF_medBMI,0,0,4596338,20-34,Female,NHB
3,1,1,3,AFF_medBMI,0,0,6549965,20-34,Female,HIS
4,1,1,4,AFF_medBMI,0,0,3878604,20-34,Female,OTH
5,1,2,1,AFF_medBMI,6,0,19295314,20-34,Male,NHW
6,1,2,2,AFF_medBMI,2,0,4186659,20-34,Male,NHB
7,1,2,3,AFF_medBMI,3,0,6886181,20-34,Male,HIS
8,1,2,4,AFF_medBMI,1,0,3785306,20-34,Male,OTH
9,2,1,1,AFF_medBMI,12,0,10789518,35-44,Female,NHW
10,2,1,2,AFF_medBMI,3,0,2841551,35-44,Female,NHB
11,2,1,3,AFF_medBMI,4,0,4706043,35-44,Female,HIS
12,2,1,4,AFF_medBMI,2,0,2705155,35-44,Female,OTH
13,2,2,1,AFF_medBMI,19,0,10698668,35-44,Male,NHW
14,2,2,2,AFF_medBMI,11,0,2373836,35-44,Male,NHB
15,2,2,3,AFF_medBMI,8,0,4477083,35-44,Male,HIS
16,2,2,4,AFF_medBMI,3,0,2268050,35-44,Male,OTH
17,3,1,1,AFF_medBMI,38,0,12961330,45-54,Female,NHW
18,3,1,2,AFF_medBMI,13,0,2294986,45-54,Female,NHB
19,3,1,3,AFF_medBMI,9,0,2981376,45-54,Female,HIS
20,3,1,4,AFF_medBMI,5,0,1908325,45-54,Female,OTH
21,3,2,1,AFF_medBMI,100,0,10622756,45-54,Male,NHW
22,3,2,2,AFF_medBMI,28,0,2323392,45-54,Male,NHB
23,3,2,3,AFF_medBMI,12,0,3207152,45-54,Male,HIS
24,3,2,4,AFF_medBMI,9,0,2807268,45-54,Male,OTH
25,4,1,1,AFF_medBMI,246,0,16626401,55-64,Female,NHW
26,4,1,2,AFF_medBMI,54,0,3005374,55-64,Female,NHB
27,4,1,3,AFF_medBMI,16,0,2911586,55-64,Female,HIS
28,4,1,4,AFF_medBMI,10,0,2629488,55-64,Female,OTH
29,4,2,1,AFF_medBMI,518,0,15564860,55-64,Male,NHW
30,4,2,2,AFF_medBMI,100,0,2050599,55-64,Male,NHB
31,4,2,3,AFF_medBMI,41,0,2832735,55-64,Male,HIS
32,4,2,4,AFF_medBMI,19,0,2195076,55-64,Male,OTH
33,5,1,1,AFF_medBMI,1043,0,11513863,65-74,Female,NHW
34,5,1,2,AFF_medBMI,130,0,1390166,65-74,Female,NHB
35,5,1,3,AFF_medBMI,60,0,1616432,65-74,Female,HIS
36,5,1,4,AFF_medBMI,55,0,1089947,65-74,Female,OTH
37,5,2,1,AFF_medBMI,1346,0,10345066,65-74,Male,NHW
38,5,2,2,AFF_medBMI,179,0,1099252,65-74,Male,NHB
39,5,2,3,AFF_medBMI,80,0,1168063,65-74,Male,HIS
40,5,2,4,AFF_medBMI,35,0,989548,65-74,Male,OTH
41,6,1,1,AFF_medBMI,12141,0,9145660,75+,Female,NHW
42,6,1,2,AFF_medBMI,658,0,1249362,75+,Female,NHB
43,6,1,3,AFF_medBMI,526,0,737080,75+,Female,HIS
44,6,1,4,AFF_medBMI,302,0,689818,75+,Female,OTH
45,6,2,1,AFF_medBMI,7200,0,6831819,75+,Male,NHW
46,6,2,2,AFF_medBMI,330,0,670963,75+,Male,NHB
47,6,2,3,AFF_medBMI,271,0,548525,75+,Male,HIS
48,6,2,4,AFF_medBMI,163,0,638884,75+,Male,OTH
1,1,1,1,AFF_medSBP,0,0,18192633,20-34,Female,NHW
2,1,1,2,AFF_medSBP,0,0,4596338,20-34,Female,NHB
3,1,1,3,AFF_medSBP,0,0,6549965,20-34,Female,HIS
4,1,1,4,AFF_medSBP,0,0,3878604,20-34,Female,OTH
5,1,2,1,AFF_medSBP,6,0,19295314,20-34,Male,NHW
6,1,2,2,AFF_medSBP,2,0,4186659,20-34,Male,NHB
7,1,2,3,AFF_medSBP,3,0,6886181,20-34,Male,HIS
8,1,2,4,AFF_medSBP,1,0,3785306,20-34,Male,OTH
9,2,1,1,AFF_medSBP,12,0,10789518,35-44,Female,NHW
10,2,1,2,AFF_medSBP,3,0,2841551,35-44,Female,NHB
11,2,1,3,AFF_medSBP,4,0,4706043,35-44,Female,HIS
12,2,1,4,AFF_medSBP,2,0,2705155,35-44,Female,OTH
13,2,2,1,AFF_medSBP,19,0,10698668,35-44,Male,NHW
14,2,2,2,AFF_medSBP,11,0,2373836,35-44,Male,NHB
15,2,2,3,AFF_medSBP,8,0,4477083,35-44,Male,HIS
16,2,2,4,AFF_medSBP,3,0,2268050,35-44,Male,OTH
17,3,1,1,AFF_medSBP,38,0,12961330,45-54,Female,NHW
18,3,1,2,AFF_medSBP,13,0,2294986,45-54,Female,NHB
19,3,1,3,AFF_medSBP,9,0,2981376,45-54,Female,HIS
20,3,1,4,AFF_medSBP,5,0,1908325,45-54,Female,OTH
21,3,2,1,AFF_medSBP,100,0,10622756,45-54,Male,NHW
22,3,2,2,AFF_medSBP,28,0,2323392,45-54,Male,NHB
23,3,2,3,AFF_medSBP,12,0,3207152,45-54,Male,HIS
24,3,2,4,AFF_medSBP,9,0,2807268,45-54,Male,OTH
25,4,1,1,AFF_medSBP,246,0,16626401,55-64,Female,NHW
26,4,1,2,AFF_medSBP,54,0,3005374,55-64,Female,NHB
27,4,1,3,AFF_medSBP,16,0,2911586,55-64,Female,HIS
28,4,1,4,AFF_medSBP,10,0,2629488,55-64,Female,OTH
29,4,2,1,AFF_medSBP,518,0,15564860,55-64,Male,NHW
30,4,2,2,AFF_medSBP,100,0,2050599,55-64,Male,NHB
31,4,2,3,AFF_medSBP,41,0,2832735,55-64,Male,HIS
32,4,2,4,AFF_medSBP,19,0,2195076,55-64,Male,OTH
33,5,1,1,AFF_medSBP,1043,0,11513863,65-74,Female,NHW
34,5,1,2,AFF_medSBP,130,0,1390166,65-74,Female,NHB
35,5,1,3,AFF_medSBP,60,0,1616432,65-74,Female,HIS
36,5,1,4,AFF_medSBP,55,0,1089947,65-74,Female,OTH
37,5,2,1,AFF_medSBP,1346,0,10345066,65-74,Male,NHW
38,5,2,2,AFF_medSBP,179,0,1099252,65-74,Male,NHB
39,5,2,3,AFF_medSBP,80,0,1168063,65-74,Male,HIS
40,5,2,4,AFF_medSBP,35,0,989548,65-74,Male,OTH
41,6,1,1,AFF_medSBP,12141,0,9145660,75+,Female,NHW
42,6,1,2,AFF_medSBP,658,0,1249362,75+,Female,NHB
43,6,1,3,AFF_medSBP,526,0,737080,75+,Female,HIS
44,6,1,4,AFF_medSBP,302,0,689818,75+,Female,OTH
45,6,2,1,AFF_medSBP,7200,0,6831819,75+,Male,NHW
46,6,2,2,AFF_medSBP,330,0,670963,75+,Male,NHB
47,6,2,3,AFF_medSBP,271,0,548525,75+,Male,HIS
48,6,2,4,AFF_medSBP,163,0,638884,75+,Male,OTH
1,1,1,1,ALL,16306,0,18192633,20-34,Female,NHW
2,1,1,2,ALL,2811,0,4596338,20-34,Female,NHB
3,1,1,3,ALL,4457,0,6549965,20-34,Female,HIS
4,1,1,4,ALL,3011,0,3878604,20-34,Female,OTH
5,1,2,1,ALL,11184,0,19295314,20-34,Male,NHW
6,1,2,2,ALL,1301,0,4186659,20-34,Male,NHB
7,1,2,3,ALL,3404,0,6886181,20-34,Male,HIS
8,1,2,4,ALL,1709,0,3785306,20-34,Male,OTH
9,2,1,1,ALL,28642,0,10789518,35-44,Female,NHW
10,2,1,2,ALL,6721,0,2841551,35-44,Female,NHB
11,2,1,3,ALL,10186,0,4706043,35-44,Female,HIS
12,2,1,4,ALL,7021,0,2705155,35-44,Female,OTH
13,2,2,1,ALL,15309,0,10698668,35-44,Male,NHW
14,2,2,2,ALL,2826,0,2373836,35-44,Male,NHB
15,2,2,3,ALL,3845,0,4477083,35-44,Male,HIS
16,2,2,4,ALL,2502,0,2268050,35-44,Male,OTH
17,3,1,1,ALL,73599,0,12961330,45-54,Female,NHW
18,3,1,2,ALL,11089,0,2294986,45-54,Female,NHB
19,3,1,3,ALL,12825,0,2981376,45-54,Female,HIS
20,3,1,4,ALL,10043,0,1908325,45-54,Female,OTH
21,3,2,1,ALL,44071,0,10622756,45-54,Male,NHW
22,3,2,2,ALL,10664,0,2323392,45-54,Male,NHB
23,3,2,3,ALL,7869,0,3207152,45-54,Male,HIS
24,3,2,4,ALL,8725,0,2807268,45-54,Male,OTH
25,4,1,1,ALL,156717,0,16626401,55-64,Female,NHW
26,4,1,2,ALL,27872,0,3005374,55-64,Female,NHB
27,4,1,3,ALL,21512,0,2911586,55-64,Female,HIS
28,4,1,4,ALL,20643,0,2629488,55-64,Female,OTH
29,4,2,1,ALL,174024,0,15564860,55-64,Male,NHW
30,4,2,2,ALL,28162,0,2050599,55-64,Male,NHB
31,4,2,3,ALL,20584,0,2832735,55-64,Male,HIS
32,4,2,4,ALL,19558,0,2195076,55-64,Male,OTH
33,5,1,1,ALL,177434,0,11513863,65-74,Female,NHW
34,5,1,2,ALL,20773,0,1390166,65-74,Female,NHB
35,5,1,3,ALL,19044,0,1616432,65-74,Female,HIS
36,5,1,4,ALL,12547,0,1089947,65-74,Female,OTH
37,5,2,1,ALL,222301,0,10345066,65-74,Male,NHW
38,5,2,2,ALL,27371,0,1099252,65-74,Male,NHB
39,5,2,3,ALL,17759,0,1168063,65-74,Male,HIS
40,5,2,4,ALL,16838,0,989548,65-74,Male,OTH
41,6,1,1,ALL,177441,0,9145660,75+,Female,NHW
42,6,1,2,ALL,21018,0,1249362,75+,Female,NHB
43,6,1,3,ALL,10474,0,737080,75+,Female,HIS
44,6,1,4,ALL,9329,0,689818,75+,Female,OTH
45,6,2,1,ALL,197860,0,6831819,75+,Male,NHW
46,6,2,2,ALL,16803,0,670963,75+,Male,NHB
47,6,2,3,ALL,11204,0,548525,75+,Male,HIS
48,6,2,4,ALL,13344,0,638884,75+,Male,OTH
1,1,1,1,APCA,0,0,18192633,20-34,Female,NHW
2,1,1,2,APCA,0,0,4596338,20-34,Female,NHB
3,1,1,3,APCA,0,0,6549965,20-34,Female,HIS
4,1,1,4,APCA,0,0,3878604,20-34,Female,OTH
5,1,2,1,APCA,5,0,19295314,20-34,Male,NHW
6,1,2,2,APCA,0,0,4186659,20-34,Male,NHB
7,1,2,3,APCA,3,0,6886181,20-34,Male,HIS
8,1,2,4,APCA,0,0,3785306,20-34,Male,OTH
9,2,1,1,APCA,0,0,10789518,35-44,Female,NHW
10,2,1,2,APCA,0,0,2841551,35-44,Female,NHB
11,2,1,3,APCA,0,0,4706043,35-44,Female,HIS
12,2,1,4,APCA,0,0,2705155,35-44,Female,OTH
13,2,2,1,APCA,44,0,10698668,35-44,Male,NHW
14,2,2,2,APCA,39,0,2373836,35-44,Male,NHB
15,2,2,3,APCA,23,0,4477083,35-44,Male,HIS
16,2,2,4,APCA,7,0,2268050,35-44,Male,OTH
17,3,1,1,APCA,0,0,12961330,45-54,Female,NHW
18,3,1,2,APCA,0,0,2294986,45-54,Female,NHB
19,3,1,3,APCA,0,0,2981376,45-54,Female,HIS
20,3,1,4,APCA,0,0,1908325,45-54,Female,OTH
21,3,2,1,APCA,1722,0,10622756,45-54,Male,NHW
22,3,2,2,APCA,715,0,2323392,45-54,Male,NHB
23,3,2,3,APCA,322,0,3207152,45-54,Male,HIS
24,3,2,4,APCA,160,0,2807268,45-54,Male,OTH
25,4,1,1,APCA,0,0,16626401,55-64,Female,NHW
26,4,1,2,APCA,0,0,3005374,55-64,Female,NHB
27,4,1,3,APCA,0,0,2911586,55-64,Female,HIS
28,4,1,4,APCA,0,0,2629488,55-64,Female,OTH
29,4,2,1,APCA,10969,0,15564860,55-64,Male,NHW
30,4,2,2,APCA,2543,0,2050599,55-64,Male,NHB
31,4,2,3,APCA,1484,0,2832735,55-64,Male,HIS
32,4,2,4,APCA,921,0,2195076,55-64,Male,OTH
33,5,1,1,APCA,0,0,11513863,65-74,Female,NHW
34,5,1,2,APCA,0,0,1390166,65-74,Female,NHB
35,5,1,3,APCA,0,0,1616432,65-74,Female,HIS
36,5,1,4,APCA,0,0,1089947,65-74,Female,OTH
37,5,2,1,APCA,14135,0,10345066,65-74,Male,NHW
38,5,2,2,APCA,2005,0,1099252,65-74,Male,NHB
39,5,2,3,APCA,1294,0,1168063,65-74,Male,HIS
40,5,2,4,APCA,1032,0,989548,65-74,Male,OTH
41,6,1,1,APCA,0,0,9145660,75+,Female,NHW
42,6,1,2,APCA,0,0,1249362,75+,Female,NHB
43,6,1,3,APCA,0,0,737080,75+,Female,HIS
44,6,1,4,APCA,0,0,689818,75+,Female,OTH
45,6,2,1,APCA,9197,0,6831819,75+,Male,NHW
46,6,2,2,APCA,1025,0,670963,75+,Male,NHB
47,6,2,3,APCA,694,0,548525,75+,Male,HIS
48,6,2,4,APCA,648,0,638884,75+,Male,OTH
1,1,1,1,BC,0,0,18192633,20-34,Female,NHW
2,1,1,2,BC,0,0,4596338,20-34,Female,NHB
3,1,1,3,BC,0,0,6549965,20-34,Female,HIS
4,1,1,4,BC,0,0,3878604,20-34,Female,OTH
5,1,2,1,BC,0,0,19295314,20-34,Male,NHW
6,1,2,2,BC,0,0,4186659,20-34,Male,NHB
7,1,2,3,BC,0,0,6886181,20-34,Male,HIS
8,1,2,4,BC,0,0,3785306,20-34,Male,OTH
9,2,1,1,BC,0,0,10789518,35-44,Female,NHW
10,2,1,2,BC,0,0,2841551,35-44,Female,NHB
11,2,1,3,BC,0,0,4706043,35-44,Female,HIS
12,2,1,4,BC,0,0,2705155,35-44,Female,OTH
13,2,2,1,BC,0,0,10698668,35-44,Male,NHW
14,2,2,2,BC,0,0,2373836,35-44,Male,NHB
15,2,2,3,BC,0,0,4477083,35-44,Male,HIS
16,2,2,4,BC,0,0,2268050,35-44,Male,OTH
17,3,1,1,BC,13717,0,12961330,45-54,Female,NHW
18,3,1,2,BC,2405,0,2294986,45-54,Female,NHB
19,3,1,3,BC,2280,0,2981376,45-54,Female,HIS
20,3,1,4,BC,1713,0,1908325,45-54,Female,OTH
21,3,2,1,BC,0,0,10622756,45-54,Male,NHW
22,3,2,2,BC,0,0,2323392,45-54,Male,NHB
23,3,2,3,BC,0,0,3207152,45-54,Male,HIS
24,3,2,4,BC,0,0,2807268,45-54,Male,OTH
25,4,1,1,BC,52979,0,16626401,55-64,Female,NHW
26,4,1,2,BC,9228,0,3005374,55-64,Female,NHB
27,4,1,3,BC,7071,0,2911586,55-64,Female,HIS
28,4,1,4,BC,7758,0,2629488,55-64,Female,OTH
29,4,2,1,BC,0,0,15564860,55-64,Male,NHW
30,4,2,2,BC,0,0,2050599,55-64,Male,NHB
31,4,2,3,BC,0,0,2832735,55-64,Male,HIS
32,4,2,4,BC,0,0,2195076,55-64,Male,OTH
33,5,1,1,BC,54872,0,11513863,65-74,Female,NHW
34,5,1,2,BC,6141,0,1390166,65-74,Female,NHB
35,5,1,3,BC,5750,0,1616432,65-74,Female,HIS
36,5,1,4,BC,4430,0,1089947,65-74,Female,OTH
37,5,2,1,BC,0,0,10345066,65-74,Male,NHW
38,5,2,2,BC,0,0,1099252,65-74,Male,NHB
39,5,2,3,BC,0,0,1168063,65-74,Male,HIS
40,5,2,4,BC,0,0,989548,65-74,Male,OTH
