foodcode,description
58146413,"Pasta with cream sauce, meat, and added vegetables, ready-to-heat"
26125160,"Ocean perch, steamed or poached"
58106610,"Pizza with meat other than pepperoni, from restaurant or fast food, NS as to type of crust"
71601025,"Potato salad with egg, made with light mayonnaise-type salad dressing"
26215120,"Turtle, cooked, NS as to cooking method"
95106000,"Nutritional drink or shake, ready-to-drink (Muscle Milk)"
51303100,"Muffin, English, whole grain white"
23321250,"Venison/deer steak, breaded or floured, cooked, NS as to cooking method"
76205060,"Corn and sweet potatoes, baby food, strained"
93301217,Vodka and water
32130850,"Egg omelet or scrambled egg, with meat and dark-green vegetables, NS as to fat added in cooking"
71104080,"Potato, roasted, from fresh, peel eaten, made with butter"
93301115,Mimosa
32101500,"Egg, Benedict"
27450061,"Tuna salad, made with light mayonnaise"
26115123,"Flounder, baked or broiled, made without fat"
71103000,"Potato, boiled, from fresh, peel not eaten, NS as to fat added in cooking"
73111212,"Peas and carrots, cooked, from frozen, fat not added in cooking"
55203600,"Waffle, chocolate"
58146603,"Pasta, whole grain, with tomato-based sauce, ready-to-heat"
24168020,"Chicken ""wings"" with hot sauce, from other sources"
58101635,"Soft taco with chicken, beans, and sour cream"
53122080,"Cake, shortcake, biscuit type, with fruit"
75102750,"Brussels sprouts, raw"
11460300,"Yogurt, frozen, flavors other than chocolate, nonfat milk"
32400200,"Egg white, omelet, scrambled, or fried, with meat, fat added in cooking"
32400600,"Egg white, omelet, scrambled, or fried, with meat and vegetables, fat added in cooking"
74504100,"Tomato and onion, cooked, NS as to fat added in cooking"
75317011,"Vegetables, stew type, cooked, made with oil"
27150310,Fish with tomato-based sauce
75651030,"Vegetable beef noodle soup, prepared with water"
28355460,"Seafood soup with potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy"
56201540,"Cornmeal, Puerto Rican Style"
24201410,"Turkey, light or dark meat, stewed, skin not eaten"
75220051,"Lettuce, cooked, fat added in cooking"
24300110,"Duck, cooked, skin eaten"
21000110,"Beef, NS as to cut, cooked, lean and fat eaten"
75200121,"Vegetables, NS as to type, cooked, made with oil"
24133210,"Chicken leg, drumstick and thigh, stewed, skin eaten"
12130100,"Cream, heavy"
53210000,"Cookie, chocolate wafer"
93301132,Orange Blossom
27242500,Chicken or turkey and noodles with soy-based sauce
63141120,"Pineapple, cooked or canned, unsweetened, waterpack"
71104130,"Potato, roasted, from fresh, peel not eaten, made with oil"
75201000,"Artichoke, cooked, NS as to form, NS as to fat added in cooking"
25221855,"Turkey or chicken sausage, reduced sodium"
27564061,"Frankfurter or hot dog sandwich, beef, plain, on wheat bun"
56201050,"Grits, regular or quick, made with water, NS as to fat added in cooking"
54338100,"Crackers, wheat, reduced fat"
32131060,"Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, fat added in cooking"
58106236,"Pizza, cheese, from school lunch, thick crust"
23203030,"Veal chop, fried, lean only eaten"
55300010,"French toast, NFS"
32130040,"Egg omelet or scrambled egg, made with animal fat or meat drippings"
75216133,"Corn, yellow, cooked, NS as to form, made with margarine"
73102215,"Carrots, cooked, NS as to form, made with butter"
58104535,Chimichanga with meat and sour cream
53247050,"Cookie, vanilla wafer, reduced fat"
27510341,"Bacon cheeseburger, 1 medium patty, with condiments, on white bun"
24103020,"Chicken, NS as to part, stewed, skin not eaten"
27120110,Sausage with tomato-based sauce
58110200,"Roll with meat and/or shrimp, vegetables and rice paper, not fried"
41106013,"Red kidney beans, dry, cooked, made with margarine"
71970200,Fufu
31111000,"Egg, yolk only, cooked, NS as to fat added in cooking"
57820100,"Rice cereal, baby food, jarred, NFS"
73301010,"Squash, winter type, mashed, no fat or sugar added in cooking"
73303010,"Squash, winter type, baked, no fat or sugar added in cooking"
67110000,"Prunes, baby food, strained"
75302200,"Beans, string, green, with onions, NS as to fat added in cooking"
22201420,"Pork steak or cutlet, breaded or floured, fried, lean only eaten"
71103050,"Potato, boiled, from fresh, peel not eaten, made with margarine"
43101050,"Pumpkin seeds, NFS"
58146652,"Pasta, whole grain, with tomato-based sauce, poultry, and added vegetables, home recipe"
58161502,"Rice, brown, with carrots and dark green vegetables, fat not added in cooking"
58161420,"Rice, brown, with corn, NS as to fat added in cooking"
75311110,"Mixed vegetables, canned, low sodium, fat not added in cooking"
27510376,"Double cheeseburger, 2 small patties, with condiments, on bun, from fast food / restaurant"
53208000,"Cookie, marshmallow, chocolate-covered"
28340690,"Chicken or turkey vegetable soup with potato and cheese, chunky style, canned or ready-to-serve"
67104010,"Applesauce and apricots, baby food, strained"
72122229,"Mustard greens, cooked, from fresh, made with margarine"
27510175,"Cheeseburger, 1 small patty, with condiments, on bun, from fast food / restaurant (Wendy's Jr. Cheeseburger Deluxe)"
27446315,"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing"
27142200,Turkey with gravy
27114000,Beef with mushroom sauce
75330122,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, no sauce, made with butter"
27446300,"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing"
55301040,"French toast sticks, plain, from fast food / restaurant"
58101357,"Soft taco with meat and sour cream, from fast food"
24134101,"Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten"
54408485,"Pretzels, soft, gluten free"
75201034,"Artichoke, cooked, from fresh, made with oil"
25221860,"Turkey or chicken sausage, reduced fat"
24134150,"Chicken leg, drumstick and thigh, grilled with sauce, skin eaten"
58164570,"Rice, white, with soy-based sauce, fat not added in cooking"
58120110,"Crepe, filled with meat, poultry, or seafood, with sauce"
71104090,"Potato, roasted, from fresh, peel eaten, made with margarine"
63137170,"Pear, cooked or canned, juice pack"
24202060,"Turkey, drumstick, roasted, skin not eaten"
75224021,"Peas, green, cooked, from fresh, fat not added in cooking"
27320210,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
23132000,"Lamb, ground or patty, cooked"
32130240,"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings"
58160440,"Rice, white, with peas, fat not added in cooking"
71102990,"Potato, boiled, ready-to-heat"
72203120,"Broccoli, chinese, cooked, from fresh, made with oil"
75226022,"Peppers, green, cooked, made with butter"
32105230,Shrimp egg foo yung
75234027,"Turnip, cooked, from fresh, made with oil"
58161534,"Rice, brown, with other vegetables, fat added in cooking"
71202000,"Potato chips, unsalted"
58134620,"Tortellini, cheese-filled, meatless, with tomato sauce"
58157310,"Congee, with meat, poultry, and/or seafood, and vegetables"
26100160,"Fish, NS as to type, steamed"
21302000,"Beef, neck bones, cooked"
75418040,"Squash, summer, casserole, with cheese sauce"
72128227,"Turnip greens, cooked, from fresh, made with oil"
22000220,"Pork, NS as to cut, fried, lean only eaten"
71103135,"Potato, boiled, from fresh, peel eaten, made with oil"
41202500,"Beans and tomatoes, NS as to fat added in cooking"
58104905,Taquito or flauta with egg and breakfast meat
11514140,"Hot chocolate / Cocoa, made with dry mix and fat free milk"
56203510,"Oatmeal, reduced sugar, plain, fat not added in cooking"
77513010,Spanish stew
41102120,"Black, brown, or Bayo beans, canned, drained, low sodium, fat not added in cooking"
92101917,"Coffee, Latte, decaffeinated, flavored"
95220000,"Nutritional powder mix, NFS"
11830165,"Chocolate beverage powder, reduced sugar, dry mix, not reconstituted"
75651000,"Minestrone soup, home recipe"
28320140,"Ham, noodle, and vegetable soup, Puerto Rican style"
13120700,"Ice cream cone with nuts, flavors other than chocolate"
93301090,Manhattan
33001010,"Egg substitute, omelet, scrambled, or fried, made with oil"
27450068,"Tuna salad, made with any type of fat free dressing"
28110620,"Beef short ribs, boneless, with barbecue sauce, potatoes, vegetable, frozen meal"
95110010,"Nutritional drink or shake, ready-to-drink, sugar free (Slim Fast)"
81104560,"Vegetable oil-butter spread, reduced calorie, tub, salted"
14110010,"Cheese, Cheddar, reduced sodium"
71601050,"Potato salad with egg, made with any type of fat free dressing"
27220210,"Ham and noodles, no sauce"
75330152,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, no sauce, made with butter"
73210110,"Pumpkin fritters, Puerto Rican style"
58165010,"Rice, white, with vegetables, cheese and/or cream based sauce, fat not added in cooking"
27642120,"Turkey, rice and vegetables, baby food, junior"
76604500,"Sweet potatoes and chicken, baby food, strained"
75203028,"Bamboo shoots, cooked, NS as to fat added in cooking"
75233030,"Squash, summer, yellow or green, cooked, from frozen, made with oil"
13110210,"Ice cream, soft serve, chocolate"
24168022,"Chicken ""wings"", plain, from other sources"
58105110,"Pupusa, meat-filled"
25110120,"Beef liver, braised"
24202070,"Turkey, drumstick, roasted, skin eaten"
24202460,"Turkey, thigh, cooked, skin eaten"
24203010,"Turkey, wing, cooked, skin not eaten"
75216036,"Corn, cooked, from canned, NS as to color, made with margarine"
58128250,Dressing with meat and vegetables
67106030,"Bananas with orange, baby food, strained"
67106050,"Banana with mixed berries, baby food, strained"
32202200,Egg and cheese on biscuit
27311420,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
58146642,"Pasta, whole grain, with tomato-based sauce and poultry, home recipe"
55100060,"Pancakes, with chocolate, from fast food / restaurant"
11320200,"Soy milk, nonfat"
27150200,Oyster sauce
26153110,"Tuna, fresh, cooked, NS as to cooking method"
41104120,"Pinto, calico, or red Mexican beans, canned, drained, low sodium, fat not added in cooking"
27545200,"Turkey or chicken burger, with condiments, on white bun"
75216131,"Corn, yellow, cooked, NS as to form, made with oil"
22000200,"Pork, NS as to cut, fried, NS as to fat eaten"
63107210,"Banana, ripe, fried"
13230120,"Pudding, ready-to-eat, low calorie, containing artificial sweetener, flavors other than chocolate"
75206010,"Beans, string, yellow, cooked, NS as to form, fat not added in cooking"
27113300,Swedish meatballs with cream or white sauce
92102500,"Coffee, Iced Latte"
23150200,"Goat, fried"
63125010,"Guava, raw"
71962020,"Dasheen, fried"
27220120,Sausage and rice with tomato-based sauce
22101500,"Pork chop, stewed, NS as to fat eaten"
27118180,"Beef stew, meat with gravy, no potatoes, Puerto Rican style"
75414010,"Mushrooms, NS as to form, creamed"
73102230,"Carrots, cooked, NS as to form, creamed"
75415010,"Onions, NS as to form, creamed"
42302010,"Peanut butter and jelly sandwich, NFS"
27450063,"Tuna salad, made with light mayonnaise-type salad dressing"
58161464,"Rice, brown, with tomatoes and/or tomato based sauce, fat added in cooking"
27341310,"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
54408422,"Pretzels, soft, ready-to-eat, coated or flavored"
14620300,Topping from cheese pizza
57410000,Cereal (Weetabix Whole Grain)
57237900,Cereal (Post Honey Bunches of Oats Just Bunches)
53240010,"Cookie, animal, with frosting or icing"
75403011,"Beans, string, green, from fresh, creamed or with cheese sauce"
56203150,"Oatmeal, instant, fruit flavored, NS as to fat added in cooking"
25210290,"Frankfurter or hot dog, meat and poultry, reduced fat or light"
56201000,"Grits, NS as to regular, quick, or instant, fat not added in cooking"
26119140,"Herring, coated, fried"
72107212,"Collards, cooked, from frozen, fat not added in cooking"
64134030,"Fruit smoothie juice drink, no dairy"
58106347,"Pizza with cheese and extra vegetables, medium crust"
93301211,Vodka and soda
27341035,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
14640004,"Cheese sandwich, American cheese, on wheat bread, no spread"
58104270,"Gordita, sope, or chalupa with beans and sour cream"
51303050,"Muffin, English, wheat or cracked wheat, with raisins"
75221023,"Onions, cooked, from frozen, made with oil"
58100370,"Chilaquiles, tortilla casserole with salsa and cheese, no egg"
56201090,"Grits, with cheese, NS as to fat added in cooking"
51301120,"Bread, wheat or cracked wheat, with raisins"
41208100,"Beans, dry, cooked with pork"
73111203,"Peas and carrots, cooked, from canned, NS as to fat added in cooking"
25110450,"Chicken liver, fried"
26151130,"Trout, coated, baked or broiled, made with oil"
51109150,"Bread, pita with fruit"
25221515,"Salami, made from any type of meat, reduced sodium"
26151110,"Trout, cooked, NS as to cooking method"
58104520,"Chimichanga, meatless"
11720418,"Infant formula, powder, made with plain bottled water (Similac Isomil Soy)"
11710370,"Infant formula, NS as to form (Similac Sensitive)"
33001040,"Egg substitute, omelet, scrambled, or fried, made with cooking spray"
26131120,"Pompano, baked or broiled, fat added in cooking"
32400510,"Egg white, omelet, scrambled, or fried, with cheese and vegetables, fat not added in cooking"
51140100,"Bread, dough, fried"
51184260,"Breadsticks, soft, stuffed with melted cheese"
73103010,"Carrots, canned, low sodium, fat not added in cooking"
58137300,"Adobo, with noodles"
58106580,"Pizza with pepperoni, from school lunch, thick crust"
12210440,"Coffee creamer,powder, fat free, flavored"
55801010,Funnel cake with sugar and fruit
91611100,"Ice pop, sweetened with low calorie sweetener"
22210310,"Pork, tenderloin, breaded, fried"
75211030,"Cabbage, green, cooked, fat added in cooking, NS as to type of fat"
41106050,"Red kidney beans, canned, drained, made with oil"
75214030,"Cauliflower, cooked, from frozen, made with oil"
58509100,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler"
27416450,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy"
27120020,Ham or pork with gravy
56207016,"Cream of wheat, regular or quick, made with water, fat not added in cooking"
27235000,Meat loaf made with venison/deer
58106737,"Pizza with extra meat and extra vegetables, thick crust"
75311002,"Mixed vegetables, cooked, from frozen, NS as to fat added in cooking"
53347070,"Pie, pumpkin, individual size or tart"
27142000,Chicken with gravy
56200510,"Buckwheat groats, fat added in cooking"
71410500,"Potato skins, with cheese"
52304150,"Muffin, oat bran"
27336100,"Venison or deer stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
22201210,"Pork steak or cutlet, fried, lean and fat eaten"
27320140,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
75216721,"Cucumber, cooked, made with oil"
51301805,"Bagel, whole wheat, with raisins"
14202020,"Cheese, cottage, with vegetables"
27510632,"Hamburger, 1 medium patty, plain, on wheat bun"
27442120,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy"
67501000,"Apples and chicken, baby food, strained"
57340000,"Cereal, puffed rice"
54350000,"Crackers, baby food"
75204027,"Beans, lima, immature, cooked, from fresh, made with oil"
27212200,Beef and noodles with gravy
55203700,"Waffle, cinnamon"
26121120,"Mackerel, baked or broiled, fat added in cooking"
11710698,"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)"
58508300,"Macaroni and cheese, baby food, toddler"
73111210,"Peas and carrots, cooked, NS as to form, fat not added in cooking"
75221015,"Onions, cooked, NS as to form, made with butter"
58163510,Rice dressing
28345170,Duck soup
75235750,"Winter melon, cooked"
26319163,"Shrimp, coated, baked or broiled, made without fat"
32400500,"Egg white, omelet, scrambled, or fried, with cheese and vegetables, fat added in cooking"
58106359,"Pizza, cheese, with fruit, medium crust"
28340150,Mexican style chicken broth soup stock
24152301,"Chicken thigh, rotisserie, skin not eaten"
93301450,Liqueur with cream
22601040,"Bacon or side pork, fresh, cooked"
58146210,"Pasta with sauce, NFS"
56205320,"Rice, white and wild, cooked, fat added in cooking"
58165020,"Rice, white, with vegetables, cheese and/or cream based sauce, fat added in cooking"
63403100,Fruit dessert with cream and/or pudding and nuts
27213150,Chili con carne with beans and rice
58160710,"Rice, white, with other vegetables, fat not added in cooking"
53803100,"Cookie, baby food"
73410400,"Sweet potato fries, fast food / restaurant"
11710479,"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)"
27336150,"Venison or deer stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
75214010,"Cauliflower, cooked, NS as to form, fat not added in cooking"
75603010,"Celery soup, cream of, prepared with milk, home recipe, canned or ready-to-serve"
25220150,Beef sausage with cheese
56201040,"Grits, NS as to regular, quick, or instant, fat added in cooking"
55200030,"Waffle, plain, reduced fat, from frozen"
24157401,"Chicken thigh, baked, coated, skin / coating not eaten"
53803300,"Cookie, rice, baby"
53803050,"Cookie, fruit, baby food"
32130200,"Egg omelet or scrambled egg, with meat, made with margarine"
11410000,"Yogurt, NS as to type of milk or flavor"
54360000,"Crunchy snacks, corn based, baby food"
75224120,"Peas, green, canned, low sodium, fat not added in cooking"
58101935,Taco or tostada salad with chicken
27446260,"Chicken or turkey salad, made with any type of fat free dressing"
11513392,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)"
13140575,"Light ice cream, no sugar added, cone, flavors other than chocolate"
75119000,"Parsley, raw"
56207120,"Bulgur, fat added in cooking"
74504120,"Tomato and onion, cooked, fat added in cooking, NS as to type of fat"
26125121,"Ocean perch, baked or broiled, fat not added in cooking"
27420160,"Moo Shu pork, without Chinese pancake"
55501000,Chinese pancake
11710051,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)"
92102450,"Iced Coffee, pre-lightened and pre-sweetened"
81104510,"Vegetable oil-butter spread, tub, salted"
58101457,"Soft taco with chicken, from fast food"
58100125,"Burrito with meat and beans, from fast food"
22107020,"Pork chop, smoked or cured, cooked, lean only eaten"
57806050,"Multigrain, whole grain cereal, baby food, dry, instant"
13110330,"Ice cream, no sugar added, chocolate"
26109133,"Cod, coated, baked or broiled, made without fat"
11710687,"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions)"
75311100,"Mixed vegetables, canned, low sodium, NS as to fat added in cooking"
51301550,"Bread, French or Vienna, whole wheat, toasted"
53430700,"Tamale, sweet"
28340590,"Chicken or turkey corn soup with noodles, home recipe"
71305040,"Potato, scalloped, from fresh, with meat"
63137120,"Pear, cooked or canned, unsweetened, water pack"
11710800,"Infant formula, NS as to form (PediaSure)"
42302155,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on white bread"
54337060,"Crackers, woven wheat, reduced fat"
27510667,"Double hamburger, 2 small patties, with condiments, on bun, from fast food / restaurant"
75141100,"Cabbage salad or coleslaw with apples and/or raisins, with dressing"
75142600,Cucumber salad made with cucumber and vinegar
26137180,"Salmon, canned"
55100015,"Pancakes, plain, reduced fat, from fozen"
72125201,"Spinach, cooked, from fresh, NS as to fat added in cooking"
75302511,"Beans, string, green, and potatoes, cooked, made with oil"
73111224,"Peas and carrots, cooked, NS as to form, made with oil"
58175000,"Vada, fried dumpling"
26158032,"Tilapia, coated, fried, made with margarine"
11513802,"Chocolate milk, made from light syrup with reduced fat milk"
24152251,"Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant"
71401045,"Potato, french fries, with chili, fast food / restaurant"
53233040,"Cookie, oatmeal, reduced fat, NS as to raisins"
27510682,"Double hamburger, 2 medium patties, with condiments, on bun, from fast food / restaurant (Wendy's 1/2 lb Double)"
26100133,"Fish, NS as to type, coated, baked or broiled, made without fat"
71801020,"Potato soup, prepared with water"
75415022,"Onion rings, from frozen, batter-dipped, baked or fried"
71103020,"Potato, boiled, from fresh, peel not eaten, fat added in cooking, NS as to type of fat"
75221061,"Onions, green, cooked, from fresh, fat added in cooking"
75216013,"Corn, cooked, from canned, NS as to color, fat not added in cooking"
81302060,Horseradish sauce
75205031,"Beans, string, green, cooked, from fresh, fat added in cooking, NS as to type of fat"
72202020,Broccoli casserole with rice
24201520,"Turkey, light or dark meat, smoked, skin not eaten"
27315220,"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
53344300,Dessert pizza
58109020,"Pizza, cheese, whole wheat thick crust"
26213120,"Squid, baked or broiled, fat added in cooking"
75207011,"Bean sprouts, cooked, from fresh, fat not added in cooking"
75209040,"Brussels sprouts, cooked, from fresh, made with oil"
71404020,"Potato, hash brown, from fast food, with cheese"
71404040,"Potato, hash brown, from restaurant, with cheese"
71930130,"Cassava, cooked, made with oil"
54408210,"Pretzels, hard, white chocolate coated"
57805090,"Rice cereal with mixed fruits, baby food, dry, instant"
27420410,"Pork and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce"
58408500,"Noodle soup with vegetables, Asian style"
24152300,"Chicken thigh, rotisserie, skin eaten"
73102219,"Carrots, cooked, from fresh, made with margarine"
75221019,"Onions, cooked, from fresh, made with margarine"
27150100,Shrimp curry
75220011,"Okra, cooked, from fresh, fat not added in cooking"
75233024,"Squash, summer, yellow or green, cooked, NS as to form, made with oil"
58174000,"Upma, Indian breakfast dish"
31106010,"Egg, whole, baked, fat not added in cooking"
58101745,"Taco or tostada with meat, beans, and sour cream"
58146215,"Pasta with sauce, meatless, school lunch"
57120000,Cereal (Quaker Cap'n Crunch's Peanut Butter Crunch)
24300120,"Duck, cooked, skin not eaten"
92121001,"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, reconsitituted"
28501010,"Gravy, beef or meat, fat free"
58101615,Soft taco with beans and sour cream
72123030,"Poke greens, cooked, made with oil"
75218500,"Lotus root, cooked, fat not added in cooking"
75233028,"Squash, summer, yellow or green, cooked, from fresh, made with butter"
32130600,"Egg omelet or scrambled egg, with cheese and tomatoes, fat added in cooking"
27520510,"Pork barbecue sandwich or Sloppy Joe, on bun"
27320110,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
93502100,Scotch
67308000,"Bananas, baby food, NS as to strained or junior"
58160480,"Rice, white, with carrots, fat added in cooking"
27350110,Bouillabaisse
76407000,"Mixed vegetables, garden vegetables, baby food, NS as to strained or junior"
42401100,"Yogurt, coconut milk"
56205060,"Rice, cooked, with milk"
57201900,Cereal (General Mills Dora The Explorer)
57327450,Cereal (Quaker Toasted Oat Bran)
11120000,"Milk, dry, reconstituted, NS as to fat content"
75209000,"Brussels sprouts, cooked, NS as to form, NS as to fat added in cooking"
27220310,"Ham or pork and rice, no sauce"
27564510,"Frankfurter or hot dog sandwich, with meatless chili, on white bread"
28310150,Oxtail soup
75511100,"Pickles, NS as to vegetable"
74604010,"Tomato beef noodle soup, prepared with water"
27141030,Spaghetti sauce with poultry
58116115,"Empanada, Mexican turnover, filled with cheese and vegetables"
58146732,"Pasta, whole grain, with cream sauce, poultry, and added vegetables, home recipe"
27133010,"Stewed goat, Puerto Rican style"
27446225,"Chicken or turkey salad, made with light mayonnaise"
24133220,"Chicken leg, drumstick and thigh, stewed, skin not eaten"
53453150,"Empanada, Mexican turnover, fruit-filled"
75220013,"Okra, cooked, from canned, fat not added in cooking"
75206011,"Beans, string, yellow, cooked, from fresh, fat not added in cooking"
75202000,"Asparagus, cooked, NS as to form, NS as to fat added in cooking"
58160530,"Rice, white, with tomatoes and/or tomato-based sauce, fat not added in cooking"
75340000,"Vegetable combinations, Asian style, broccoli, green pepper, water chestnut, etc., cooked, NS as to fat added in cooking"
26158033,"Tilapia, coated, fried, made without fat"
58306100,"Chicken enchilada, diet frozen meal"
22704010,"Pork, cracklings, cooked"
27420370,"Pork, tofu, and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce"
92101911,"Coffee, Latte, decaffeinated, nonfat"
54404020,"Popcorn chips, sweet flavors"
73403023,"Sweet potato, baked, peel not eaten, made with margarine"
75202029,"Asparagus, cooked, from fresh, made with margarine"
26158023,"Tilapia, coated, baked or broiled, made without fat"
75219013,"Mushrooms, cooked, from canned, fat not added in cooking"
