Notes	Ten-Year Age Groups	Ten-Year Age Groups Code	Gender	Gender Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"											
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"											
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"											
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Mar 21, 2023 2:37:45 PM"											
---											
Caveats:											
"1. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"											
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"											
http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated.											
"2. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"											
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"											
http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated.											
3. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the											
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"											
of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin											
"are inconsistent between these two data sources, death rates will be biased. More information:"											
http://wonder.cdc.gov/wonder/help/ucd.html#Racial Differences.											
4. The method used to calculate 95% confidence intervals is documented here: More information:											
http://wonder.cdc.gov/wonder/help/ucd.html#Confidence-Intervals.											
5. The method used to calculate standard errors is documented here: More information:											
http://wonder.cdc.gov/wonder/help/ucd.html#Standard-Errors.											
"6. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"											
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"											
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"											
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"											
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"											
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"											
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"											
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"											
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"											
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"											
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"											
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"											
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"											
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"											
are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident											
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"											
figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1											
estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population											
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"											
were available at the time of release.											
7. Changes to cause of death classification affect reporting trends. More information:											
http://wonder.cdc.gov/wonder/help/ucd.html#ICD-10 Changes.											
