subgroup,diseases,diseases_label,crude_rate,crude_se,population,count,count_se,Age,Age_label,Sex,Sex_label,Race,Race_label
43,ALL,All Invasive Cancer Sites Combined,1420.96,19.71,737080,10474,146,6,75+,1,Female,3,HIS
44,ALL,All Invasive Cancer Sites Combined,1352.25,19.4,689818,9329,134,6,75+,1,Female,4,OTH
45,ALL,All Invasive Cancer Sites Combined,2896.14,13.61,6831819,197860,930,6,75+,2,Male,1,NHW
46,ALL,All Invasive Cancer Sites Combined,2504.26,40.59,670963,16803,273,6,75+,2,Male,2,NHB
47,ALL,All Invasive Cancer Sites Combined,2042.45,28.82,548525,11204,159,6,75+,2,Male,3,HIS
48,ALL,All Invasive Cancer Sites Combined,2088.56,28.87,638884,13344,185,6,75+,2,Male,4,OTH
1,APCA,Prostate (advanced),0,0,18192633,0,0,1,20-34,1,Female,1,NHW
2,APCA,Prostate (advanced),0,0,4596338,0,0,1,20-34,1,Female,2,NHB
3,APCA,Prostate (advanced),0,0,6549965,0,0,1,20-34,1,Female,3,HIS
4,APCA,Prostate (advanced),0,0,3878604,0,0,1,20-34,1,Female,4,OTH
5,APCA,Prostate (advanced),0.02,0.02,19295314,5,4,1,20-34,2,Male,1,NHW
6,APCA,Prostate (advanced),0,0,4186659,0,0,1,20-34,2,Male,2,NHB
7,APCA,Prostate (advanced),0.04,0.04,6886181,3,3,1,20-34,2,Male,3,HIS
8,APCA,Prostate (advanced),0,0,3785306,0,0,1,20-34,2,Male,4,OTH
9,APCA,Prostate (advanced),0,0,10789518,0,0,2,35-44,1,Female,1,NHW
10,APCA,Prostate (advanced),0,0,2841551,0,0,2,35-44,1,Female,2,NHB
11,APCA,Prostate (advanced),0,0,4706043,0,0,2,35-44,1,Female,3,HIS
12,APCA,Prostate (advanced),0,0,2705155,0,0,2,35-44,1,Female,4,OTH
13,APCA,Prostate (advanced),0.41,0.12,10698668,44,13,2,35-44,2,Male,1,NHW
14,APCA,Prostate (advanced),1.64,0.52,2373836,39,13,2,35-44,2,Male,2,NHB
15,APCA,Prostate (advanced),0.51,0.18,4477083,23,9,2,35-44,2,Male,3,HIS
16,APCA,Prostate (advanced),0.27,0.19,2268050,7,5,2,35-44,2,Male,4,OTH
17,APCA,Prostate (advanced),0,0,12961330,0,0,3,45-54,1,Female,1,NHW
18,APCA,Prostate (advanced),0,0,2294986,0,0,3,45-54,1,Female,2,NHB
19,APCA,Prostate (advanced),0,0,2981376,0,0,3,45-54,1,Female,3,HIS
20,APCA,Prostate (advanced),0,0,1908325,0,0,3,45-54,1,Female,4,OTH
21,APCA,Prostate (advanced),16.21,0.74,10622756,1722,79,3,45-54,2,Male,1,NHW
22,APCA,Prostate (advanced),30.74,2.28,2323392,715,53,3,45-54,2,Male,2,NHB
23,APCA,Prostate (advanced),10.04,0.88,3207152,322,29,3,45-54,2,Male,3,HIS
24,APCA,Prostate (advanced),5.7,0.92,2807268,160,26,3,45-54,2,Male,4,OTH
25,APCA,Prostate (advanced),0,0,16626401,0,0,4,55-64,1,Female,1,NHW
26,APCA,Prostate (advanced),0,0,3005374,0,0,4,55-64,1,Female,2,NHB
27,APCA,Prostate (advanced),0,0,2911586,0,0,4,55-64,1,Female,3,HIS
28,APCA,Prostate (advanced),0,0,2629488,0,0,4,55-64,1,Female,4,OTH
29,APCA,Prostate (advanced),70.47,1.47,15564860,10969,229,4,55-64,2,Male,1,NHW
30,APCA,Prostate (advanced),123.97,4.81,2050599,2543,99,4,55-64,2,Male,2,NHB
31,APCA,Prostate (advanced),52.36,2.44,2832735,1484,70,4,55-64,2,Male,3,HIS
32,APCA,Prostate (advanced),41.92,2.73,2195076,921,60,4,55-64,2,Male,4,OTH
33,APCA,Prostate (advanced),0,0,11513863,0,0,5,65-74,1,Female,1,NHW
34,APCA,Prostate (advanced),0,0,1390166,0,0,5,65-74,1,Female,2,NHB
35,APCA,Prostate (advanced),0,0,1616432,0,0,5,65-74,1,Female,3,HIS
36,APCA,Prostate (advanced),0,0,1089947,0,0,5,65-74,1,Female,4,OTH
37,APCA,Prostate (advanced),136.63,2.39,10345066,14135,248,5,65-74,2,Male,1,NHW
38,APCA,Prostate (advanced),182.31,7.87,1099252,2005,87,5,65-74,2,Male,2,NHB
39,APCA,Prostate (advanced),110.76,5.02,1168063,1294,59,5,65-74,2,Male,3,HIS
40,APCA,Prostate (advanced),104.24,5.24,989548,1032,52,5,65-74,2,Male,4,OTH
41,APCA,Prostate (advanced),0,0,9145660,0,0,6,75+,1,Female,1,NHW
42,APCA,Prostate (advanced),0,0,1249362,0,0,6,75+,1,Female,2,NHB
43,APCA,Prostate (advanced),0,0,737080,0,0,6,75+,1,Female,3,HIS
44,APCA,Prostate (advanced),0,0,689818,0,0,6,75+,1,Female,4,OTH
45,APCA,Prostate (advanced),134.62,2.93,6831819,9197,201,6,75+,2,Male,1,NHW
46,APCA,Prostate (advanced),152.65,10.02,670963,1025,68,6,75+,2,Male,2,NHB
47,APCA,Prostate (advanced),126.51,7.17,548525,694,40,6,75+,2,Male,3,HIS
48,APCA,Prostate (advanced),101.39,6.36,638884,648,41,6,75+,2,Male,4,OTH
1,BC,Female Breast (post-menopause),0,0,18192633,0,0,1,20-34,1,Female,1,NHW
2,BC,Female Breast (post-menopause),0,0,4596338,0,0,1,20-34,1,Female,2,NHB
3,BC,Female Breast (post-menopause),0,0,6549965,0,0,1,20-34,1,Female,3,HIS
4,BC,Female Breast (post-menopause),0,0,3878604,0,0,1,20-34,1,Female,4,OTH
5,BC,Female Breast (post-menopause),0,0,19295314,0,0,1,20-34,2,Male,1,NHW
6,BC,Female Breast (post-menopause),0,0,4186659,0,0,1,20-34,2,Male,2,NHB
7,BC,Female Breast (post-menopause),0,0,6886181,0,0,1,20-34,2,Male,3,HIS
8,BC,Female Breast (post-menopause),0,0,3785306,0,0,1,20-34,2,Male,4,OTH
9,BC,Female Breast (post-menopause),0,0,10789518,0,0,2,35-44,1,Female,1,NHW
10,BC,Female Breast (post-menopause),0,0,2841551,0,0,2,35-44,1,Female,2,NHB
11,BC,Female Breast (post-menopause),0,0,4706043,0,0,2,35-44,1,Female,3,HIS
12,BC,Female Breast (post-menopause),0,0,2705155,0,0,2,35-44,1,Female,4,OTH
13,BC,Female Breast (post-menopause),0,0,10698668,0,0,2,35-44,2,Male,1,NHW
14,BC,Female Breast (post-menopause),0,0,2373836,0,0,2,35-44,2,Male,2,NHB
15,BC,Female Breast (post-menopause),0,0,4477083,0,0,2,35-44,2,Male,3,HIS
16,BC,Female Breast (post-menopause),0,0,2268050,0,0,2,35-44,2,Male,4,OTH
17,BC,Female Breast (post-menopause),246.42,4.47,12961330,13717,580,3,45-54,1,Female,1,NHW
18,BC,Female Breast (post-menopause),217.22,8.99,2294986,2405,207,3,45-54,1,Female,2,NHB
19,BC,Female Breast (post-menopause),178.72,6.17,2981376,2280,184,3,45-54,1,Female,3,HIS
20,BC,Female Breast (post-menopause),245.28,9.28,1908325,1713,178,3,45-54,1,Female,4,OTH
21,BC,Female Breast (post-menopause),0,0,10622756,0,0,3,45-54,2,Male,1,NHW
22,BC,Female Breast (post-menopause),0,0,2323392,0,0,3,45-54,2,Male,2,NHB
23,BC,Female Breast (post-menopause),0,0,3207152,0,0,3,45-54,2,Male,3,HIS
24,BC,Female Breast (post-menopause),0,0,2807268,0,0,3,45-54,2,Male,4,OTH
25,BC,Female Breast (post-menopause),318.64,3.07,16626401,52979,511,4,55-64,1,Female,1,NHW
26,BC,Female Breast (post-menopause),307.04,7.03,3005374,9228,212,4,55-64,1,Female,2,NHB
27,BC,Female Breast (post-menopause),242.85,5.13,2911586,7071,150,4,55-64,1,Female,3,HIS
28,BC,Female Breast (post-menopause),295.02,6.64,2629488,7758,175,4,55-64,1,Female,4,OTH
29,BC,Female Breast (post-menopause),0,0,15564860,0,0,4,55-64,2,Male,1,NHW
30,BC,Female Breast (post-menopause),0,0,2050599,0,0,4,55-64,2,Male,2,NHB
31,BC,Female Breast (post-menopause),0,0,2832735,0,0,4,55-64,2,Male,3,HIS
32,BC,Female Breast (post-menopause),0,0,2195076,0,0,4,55-64,2,Male,4,OTH
33,BC,Female Breast (post-menopause),476.57,4.24,11513863,54872,489,5,65-74,1,Female,1,NHW
34,BC,Female Breast (post-menopause),441.68,10.65,1390166,6141,149,5,65-74,1,Female,2,NHB
35,BC,Female Breast (post-menopause),355.67,8.29,1616432,5750,135,5,65-74,1,Female,3,HIS
36,BC,Female Breast (post-menopause),406.36,9.25,1089947,4430,101,5,65-74,1,Female,4,OTH
37,BC,Female Breast (post-menopause),0,0,10345066,0,0,5,65-74,2,Male,1,NHW
38,BC,Female Breast (post-menopause),0,0,1099252,0,0,5,65-74,2,Male,2,NHB
39,BC,Female Breast (post-menopause),0,0,1168063,0,0,5,65-74,2,Male,3,HIS
40,BC,Female Breast (post-menopause),0,0,989548,0,0,5,65-74,2,Male,4,OTH
41,BC,Female Breast (post-menopause),449.29,4.54,9145660,41091,416,6,75+,1,Female,1,NHW
42,BC,Female Breast (post-menopause),409.32,12.55,1249362,5114,157,6,75+,1,Female,2,NHB
43,BC,Female Breast (post-menopause),274.63,8.66,737080,2025,64,6,75+,1,Female,3,HIS
44,BC,Female Breast (post-menopause),292.27,9.02,689818,2017,63,6,75+,1,Female,4,OTH
45,BC,Female Breast (post-menopause),0,0,6831819,0,0,6,75+,2,Male,1,NHW
46,BC,Female Breast (post-menopause),0,0,670963,0,0,6,75+,2,Male,2,NHB
47,BC,Female Breast (post-menopause),0,0,548525,0,0,6,75+,2,Male,3,HIS
48,BC,Female Breast (post-menopause),0,0,638884,0,0,6,75+,2,Male,4,OTH
1,CC,Colon and Rectum,4.41,0.33,18192633,803,61,1,20-34,1,Female,1,NHW
2,CC,Colon and Rectum,3.46,0.55,4596338,160,26,1,20-34,1,Female,2,NHB
3,CC,Colon and Rectum,4.42,0.42,6549965,290,28,1,20-34,1,Female,3,HIS
4,CC,Colon and Rectum,3.34,0.53,3878604,130,21,1,20-34,1,Female,4,OTH
5,CC,Colon and Rectum,4.28,0.31,19295314,827,60,1,20-34,2,Male,1,NHW
6,CC,Colon and Rectum,2.64,0.47,4186659,111,20,1,20-34,2,Male,2,NHB
7,CC,Colon and Rectum,3.66,0.37,6886181,253,26,1,20-34,2,Male,3,HIS
8,CC,Colon and Rectum,2.66,0.47,3785306,101,18,1,20-34,2,Male,4,OTH
9,CC,Colon and Rectum,16.14,0.78,10789518,1742,85,2,35-44,1,Female,1,NHW
10,CC,Colon and Rectum,20.66,1.76,2841551,587,51,2,35-44,1,Female,2,NHB
11,CC,Colon and Rectum,12.46,0.91,4706043,587,43,2,35-44,1,Female,3,HIS
12,CC,Colon and Rectum,11.96,1.19,2705155,324,33,2,35-44,1,Female,4,OTH
13,CC,Colon and Rectum,19.33,0.84,10698668,2069,90,2,35-44,2,Male,1,NHW
14,CC,Colon and Rectum,18.67,1.75,2373836,444,42,2,35-44,2,Male,2,NHB
15,CC,Colon and Rectum,13.05,0.91,4477083,585,41,2,35-44,2,Male,3,HIS
16,CC,Colon and Rectum,16.17,1.46,2268050,367,34,2,35-44,2,Male,4,OTH
17,CC,Colon and Rectum,41.78,1.2,12961330,5415,156,3,45-54,1,Female,1,NHW
18,CC,Colon and Rectum,50.71,2.77,2294986,1164,64,3,45-54,1,Female,2,NHB
19,CC,Colon and Rectum,37.43,1.72,2981376,1116,52,3,45-54,1,Female,3,HIS
20,CC,Colon and Rectum,41.69,2.34,1908325,796,45,3,45-54,1,Female,4,OTH
21,CC,Colon and Rectum,57.24,1.4,10622756,6081,149,3,45-54,2,Male,1,NHW
22,CC,Colon and Rectum,63.51,3.28,2323392,1476,77,3,45-54,2,Male,2,NHB
23,CC,Colon and Rectum,43.08,1.82,3207152,1382,59,3,45-54,2,Male,3,HIS
24,CC,Colon and Rectum,62.52,3.06,2807268,1756,86,3,45-54,2,Male,4,OTH
25,CC,Colon and Rectum,59.83,1.33,16626401,9947,222,4,55-64,1,Female,1,NHW
26,CC,Colon and Rectum,82.79,3.65,3005374,2489,110,4,55-64,1,Female,2,NHB
27,CC,Colon and Rectum,60.63,2.56,2911586,1766,75,4,55-64,1,Female,3,HIS
28,CC,Colon and Rectum,67.29,3.17,2629488,1770,84,4,55-64,1,Female,4,OTH
29,CC,Colon and Rectum,89.75,1.66,15564860,13970,259,4,55-64,2,Male,1,NHW
30,CC,Colon and Rectum,112.6,4.58,2050599,2309,94,4,55-64,2,Male,2,NHB
31,CC,Colon and Rectum,84.16,3.09,2832735,2384,88,4,55-64,2,Male,3,HIS
32,CC,Colon and Rectum,99.47,4.2,2195076,2184,93,4,55-64,2,Male,4,OTH
33,CC,Colon and Rectum,103.27,1.97,11513863,11891,227,5,65-74,1,Female,1,NHW
34,CC,Colon and Rectum,134.05,5.87,1390166,1864,82,5,65-74,1,Female,2,NHB
35,CC,Colon and Rectum,92.15,4.22,1616432,1490,69,5,65-74,1,Female,3,HIS
36,CC,Colon and Rectum,84.01,4.21,1089947,916,46,5,65-74,1,Female,4,OTH
37,CC,Colon and Rectum,140.17,2.42,10345066,14501,251,5,65-74,2,Male,1,NHW
38,CC,Colon and Rectum,193.18,8.1,1099252,2124,90,5,65-74,2,Male,2,NHB
39,CC,Colon and Rectum,146.77,5.78,1168063,1715,68,5,65-74,2,Male,3,HIS
40,CC,Colon and Rectum,147.52,6.24,989548,1460,62,5,65-74,2,Male,4,OTH
41,CC,Colon and Rectum,196.85,3.01,9145660,18004,276,6,75+,1,Female,1,NHW
42,CC,Colon and Rectum,180.42,8.33,1249362,2255,105,6,75+,1,Female,2,NHB
43,CC,Colon and Rectum,148.11,6.36,737080,1092,47,6,75+,1,Female,3,HIS
44,CC,Colon and Rectum,149.2,6.44,689818,1030,45,6,75+,1,Female,4,OTH
45,CC,Colon and Rectum,225.06,3.79,6831819,15376,259,6,75+,2,Male,1,NHW
46,CC,Colon and Rectum,251.35,12.86,670963,1687,87,6,75+,2,Male,2,NHB
47,CC,Colon and Rectum,206.65,9.17,548525,1134,51,6,75+,2,Male,3,HIS
48,CC,Colon and Rectum,182.43,8.53,638884,1166,55,6,75+,2,Male,4,OTH
1,ECA,Esophagus: Adenomas and adenocarcinomas,0.05,0.03,18192633,9,6,1,20-34,1,Female,1,NHW
2,ECA,Esophagus: Adenomas and adenocarcinomas,0,0,4596338,0,0,1,20-34,1,Female,2,NHB
3,ECA,Esophagus: Adenomas and adenocarcinomas,0.04,0.04,6549965,3,3,1,20-34,1,Female,3,HIS
4,ECA,Esophagus: Adenomas and adenocarcinomas,0,0,3878604,0,0,1,20-34,1,Female,4,OTH
5,ECA,Esophagus: Adenomas and adenocarcinomas,0.18,0.07,19295314,36,14,1,20-34,2,Male,1,NHW
6,ECA,Esophagus: Adenomas and adenocarcinomas,0,0,4186659,0,0,1,20-34,2,Male,2,NHB
7,ECA,Esophagus: Adenomas and adenocarcinomas,0.15,0.07,6886181,11,5,1,20-34,2,Male,3,HIS
8,ECA,Esophagus: Adenomas and adenocarcinomas,0,0,3785306,0,0,1,20-34,2,Male,4,OTH
9,ECA,Esophagus: Adenomas and adenocarcinomas,0,0,10789518,0,0,2,35-44,1,Female,1,NHW
10,ECA,Esophagus: Adenomas and adenocarcinomas,0.15,0.15,2841551,5,5,2,35-44,1,Female,2,NHB
11,ECA,Esophagus: Adenomas and adenocarcinomas,0,0,4706043,0,0,2,35-44,1,Female,3,HIS
12,ECA,Esophagus: Adenomas and adenocarcinomas,0.12,0.12,2705155,4,4,2,35-44,1,Female,4,OTH
13,ECA,Esophagus: Adenomas and adenocarcinomas,1.29,0.22,10698668,139,24,2,35-44,2,Male,1,NHW
14,ECA,Esophagus: Adenomas and adenocarcinomas,0.33,0.23,2373836,8,6,2,35-44,2,Male,2,NHB
15,ECA,Esophagus: Adenomas and adenocarcinomas,0.51,0.18,4477083,23,9,2,35-44,2,Male,3,HIS
16,ECA,Esophagus: Adenomas and adenocarcinomas,0.53,0.27,2268050,13,7,2,35-44,2,Male,4,OTH
17,ECA,Esophagus: Adenomas and adenocarcinomas,0.86,0.17,12961330,111,23,3,45-54,1,Female,1,NHW
18,ECA,Esophagus: Adenomas and adenocarcinomas,0.15,0.15,2294986,4,4,3,45-54,1,Female,2,NHB
19,ECA,Esophagus: Adenomas and adenocarcinomas,0.39,0.18,2981376,12,6,3,45-54,1,Female,3,HIS
20,ECA,Esophagus: Adenomas and adenocarcinomas,0.26,0.19,1908325,6,4,3,45-54,1,Female,4,OTH
21,ECA,Esophagus: Adenomas and adenocarcinomas,5.82,0.45,10622756,619,48,3,45-54,2,Male,1,NHW
22,ECA,Esophagus: Adenomas and adenocarcinomas,0.68,0.34,2323392,16,8,3,45-54,2,Male,2,NHB
23,ECA,Esophagus: Adenomas and adenocarcinomas,2.01,0.39,3207152,65,13,3,45-54,2,Male,3,HIS
24,ECA,Esophagus: Adenomas and adenocarcinomas,0.45,0.26,2807268,13,8,3,45-54,2,Male,4,OTH
25,ECA,Esophagus: Adenomas and adenocarcinomas,1.75,0.23,16626401,291,39,4,55-64,1,Female,1,NHW
26,ECA,Esophagus: Adenomas and adenocarcinomas,0.8,0.36,3005374,25,11,4,55-64,1,Female,2,NHB
27,ECA,Esophagus: Adenomas and adenocarcinomas,0.54,0.24,2911586,16,7,4,55-64,1,Female,3,HIS
28,ECA,Esophagus: Adenomas and adenocarcinomas,0.3,0.21,2629488,8,6,4,55-64,1,Female,4,OTH
29,ECA,Esophagus: Adenomas and adenocarcinomas,14.9,0.68,15564860,2319,106,4,55-64,2,Male,1,NHW
30,ECA,Esophagus: Adenomas and adenocarcinomas,3.73,0.83,2050599,77,18,4,55-64,2,Male,2,NHB
31,ECA,Esophagus: Adenomas and adenocarcinomas,5.56,0.79,2832735,158,23,4,55-64,2,Male,3,HIS
32,ECA,Esophagus: Adenomas and adenocarcinomas,3.02,0.73,2195076,67,17,4,55-64,2,Male,4,OTH
33,ECA,Esophagus: Adenomas and adenocarcinomas,3.24,0.35,11513863,374,41,5,65-74,1,Female,1,NHW
34,ECA,Esophagus: Adenomas and adenocarcinomas,1.28,0.57,1390166,18,8,5,65-74,1,Female,2,NHB
35,ECA,Esophagus: Adenomas and adenocarcinomas,2.13,0.64,1616432,35,11,5,65-74,1,Female,3,HIS
36,ECA,Esophagus: Adenomas and adenocarcinomas,0.21,0.21,1089947,3,3,5,65-74,1,Female,4,OTH
37,ECA,Esophagus: Adenomas and adenocarcinomas,28.23,1.08,10345066,2921,112,5,65-74,2,Male,1,NHW
38,ECA,Esophagus: Adenomas and adenocarcinomas,5.43,1.36,1099252,60,15,5,65-74,2,Male,2,NHB
39,ECA,Esophagus: Adenomas and adenocarcinomas,13.45,1.75,1168063,158,21,5,65-74,2,Male,3,HIS
40,ECA,Esophagus: Adenomas and adenocarcinomas,6.33,1.29,989548,63,13,5,65-74,2,Male,4,OTH
41,ECA,Esophagus: Adenomas and adenocarcinomas,5.83,0.52,9145660,534,48,6,75+,1,Female,1,NHW
42,ECA,Esophagus: Adenomas and adenocarcinomas,1.92,0.86,1249362,25,11,6,75+,1,Female,2,NHB
43,ECA,Esophagus: Adenomas and adenocarcinomas,3.01,0.91,737080,23,7,6,75+,1,Female,3,HIS
44,ECA,Esophagus: Adenomas and adenocarcinomas,1.95,0.74,689818,14,6,6,75+,1,Female,4,OTH
45,ECA,Esophagus: Adenomas and adenocarcinomas,33.56,1.46,6831819,2293,100,6,75+,2,Male,1,NHW
46,ECA,Esophagus: Adenomas and adenocarcinomas,9.87,2.55,670963,67,18,6,75+,2,Male,2,NHB
47,ECA,Esophagus: Adenomas and adenocarcinomas,12.2,2.23,548525,67,13,6,75+,2,Male,3,HIS
48,ECA,Esophagus: Adenomas and adenocarcinomas,7.98,1.79,638884,52,12,6,75+,2,Male,4,OTH
1,GC,Gallbladder,0,0,18192633,0,0,1,20-34,1,Female,1,NHW
2,GC,Gallbladder,0.09,0.09,4596338,4,5,1,20-34,1,Female,2,NHB
3,GC,Gallbladder,0.04,0.04,6549965,3,3,1,20-34,1,Female,3,HIS
4,GC,Gallbladder,0.08,0.08,3878604,4,4,1,20-34,1,Female,4,OTH
5,GC,Gallbladder,0.02,0.02,19295314,5,4,1,20-34,2,Male,1,NHW
6,GC,Gallbladder,0,0,4186659,0,0,1,20-34,2,Male,2,NHB
7,GC,Gallbladder,0,0,6886181,0,0,1,20-34,2,Male,3,HIS
8,GC,Gallbladder,0,0,3785306,0,0,1,20-34,2,Male,4,OTH
9,GC,Gallbladder,0.19,0.08,10789518,21,9,2,35-44,1,Female,1,NHW
10,GC,Gallbladder,0.45,0.26,2841551,13,8,2,35-44,1,Female,2,NHB
11,GC,Gallbladder,0.74,0.22,4706043,35,11,2,35-44,1,Female,3,HIS
12,GC,Gallbladder,0.71,0.29,2705155,20,8,2,35-44,1,Female,4,OTH
13,GC,Gallbladder,0.18,0.08,10698668,20,9,2,35-44,2,Male,1,NHW
14,GC,Gallbladder,0,0,2373836,0,0,2,35-44,2,Male,2,NHB
15,GC,Gallbladder,0.13,0.09,4477083,6,5,2,35-44,2,Male,3,HIS
16,GC,Gallbladder,0.27,0.19,2268050,7,5,2,35-44,2,Male,4,OTH
17,GC,Gallbladder,0.82,0.17,12961330,107,23,3,45-54,1,Female,1,NHW
18,GC,Gallbladder,1.82,0.52,2294986,42,12,3,45-54,1,Female,2,NHB
19,GC,Gallbladder,2.36,0.43,2981376,71,13,3,45-54,1,Female,3,HIS
20,GC,Gallbladder,0.66,0.29,1908325,13,6,3,45-54,1,Female,4,OTH
21,GC,Gallbladder,0.31,0.1,10622756,33,11,3,45-54,2,Male,1,NHW
22,GC,Gallbladder,0.68,0.34,2323392,16,8,3,45-54,2,Male,2,NHB
23,GC,Gallbladder,1.47,0.34,3207152,48,11,3,45-54,2,Male,3,HIS
24,GC,Gallbladder,1.2,0.42,2807268,34,12,3,45-54,2,Male,4,OTH
25,GC,Gallbladder,1.72,0.23,16626401,287,39,4,55-64,1,Female,1,NHW
26,GC,Gallbladder,4.34,0.84,3005374,131,26,4,55-64,1,Female,2,NHB
27,GC,Gallbladder,4.76,0.72,2911586,139,21,4,55-64,1,Female,3,HIS
28,GC,Gallbladder,2.84,0.65,2629488,75,18,4,55-64,1,Female,4,OTH
29,GC,Gallbladder,0.74,0.15,15564860,115,24,4,55-64,2,Male,1,NHW
30,GC,Gallbladder,2.24,0.65,2050599,46,14,4,55-64,2,Male,2,NHB
31,GC,Gallbladder,1.48,0.41,2832735,42,12,4,55-64,2,Male,3,HIS
32,GC,Gallbladder,1.42,0.5,2195076,32,11,4,55-64,2,Male,4,OTH
33,GC,Gallbladder,4.34,0.4,11513863,500,47,5,65-74,1,Female,1,NHW
34,GC,Gallbladder,6.68,1.31,1390166,93,19,5,65-74,1,Female,2,NHB
35,GC,Gallbladder,10.63,1.43,1616432,172,24,5,65-74,1,Female,3,HIS
36,GC,Gallbladder,6.53,1.17,1089947,72,13,5,65-74,1,Female,4,OTH
