Sex_label,food,mean,se
Male,gr_whole_2,NA,NA
Female,gr_whole_grams,43.79391715701653,Inf
Male,gr_whole_grams,46.83201590206284,Inf
Female,leg_tot,0.5206099360148961,Inf
Male,leg_tot,0.6120918317802451,Inf
Female,leg_tot_1,0.5334523946345566,Inf
Male,leg_tot_1,0.6035764524472966,Inf
Female,leg_tot_2,NA,NA
Male,leg_tot_2,NA,NA
Female,leg_tot_grams,19.262567632551157,Inf
Male,leg_tot_grams,22.647397775869067,Inf
Female,oil,29.360186527782286,Inf
Male,oil,25.652834742973003,Inf
Female,oil_1,29.25319781502359,Inf
Male,oil_1,25.623618112973087,Inf
Female,oil_2,NA,NA
Male,oil_2,NA,NA
Female,pf_animal,5.109331023561084,Inf
Male,pf_animal,5.621305572763535,Inf
Female,pf_animal_1,NA,NA
Male,pf_animal_1,5.523334332418766,Inf
Female,pf_animal_2,NA,NA
Male,pf_animal_2,NA,NA
Female,pf_egg,0.6050224584744973,Inf
Male,pf_egg,0.5874240071351635,Inf
Female,pf_egg_1,0.5893981559851899,Inf
Male,pf_egg_1,0.57775096685869,Inf
Female,pf_egg_2,NA,NA
Male,pf_egg_2,NA,NA
Female,pf_egg_grams,30.251122923724864,Inf
Male,pf_egg_grams,29.371200356758173,Inf
Female,pf_leg,0.41589441300385227,Inf
Male,pf_leg,0.5050805827649526,Inf
Female,pf_leg_1,0.42636414633955305,Inf
Male,pf_leg_1,0.49617220420764235,Inf
Female,pf_leg_2,NA,NA
Male,pf_leg_2,NA,NA
Female,pf_ns,0.7703798861849795,Inf
Male,pf_ns,0.7231495620755719,Inf
Female,pf_ns_1,0.7722717652018818,Inf
Male,pf_ns_1,0.7133361567952744,Inf
Female,pf_ns_2,NA,NA
Male,pf_ns_2,NA,NA
Female,pf_ns_grams,11.555698292774693,Inf
Male,pf_ns_grams,10.84724343113358,Inf
Female,pf_plant,1.3056855536182719,Inf
Male,pf_plant,1.3228366421128164,Inf
Female,pf_plant_1,1.3189563214981816,Inf
Male,pf_plant_1,1.2984071605768501,Inf
Female,pf_plant_2,NA,NA
Male,pf_plant_2,NA,NA
Female,pf_pm,0.7619214870390355,Inf
Male,pf_pm,1.1137939735468776,Inf
Female,pf_pm_1,0.7529715646381182,Inf
Male,pf_pm_1,1.122521117572482,Inf
Female,pf_pm_2,NA,NA
Male,pf_pm_2,NA,NA
Female,pf_poultry,1.5049677588730141,Inf
Male,pf_poultry,1.6609869681740888,Inf
Female,pf_poultry_1,1.4446264394052024,Inf
Male,pf_poultry_1,1.594708723385887,Inf
Female,pf_poultry_2,NA,NA
Male,pf_poultry_2,NA,NA
Female,pf_poultry_tot,1.7329631670643877,Inf
Male,pf_poultry_tot,1.93706659422543,Inf
Female,pf_poultry_tot_1,NA,NA
Male,pf_poultry_tot_1,1.880830264710092,Inf
Female,pf_poultry_tot_2,NA,NA
Male,pf_poultry_tot_2,NA,NA
Female,pf_poultry_tot_grams,50.25593184486724,Inf
Male,pf_poultry_tot_grams,56.17493123253747,Inf
Female,pf_redm,1.2526999817709674,Inf
Male,pf_redm,1.7908108488674164,Inf
Female,pf_redm_1,1.2541355889437191,Inf
Male,pf_redm_1,1.8192763026667385,Inf
Female,pf_redm_2,NA,NA
Male,pf_redm_2,NA,NA
Female,pf_redm_tot,1.840925651963417,Inf
Male,pf_redm_tot,2.608255268193142,Inf
Female,pf_redm_tot_1,NA,NA
Male,pf_redm_tot_1,2.631044451455676,Inf
Female,pf_redm_tot_2,NA,NA
Male,pf_redm_tot_2,NA,NA
Female,pf_redm_tot_grams,57.068695210865926,Inf
Male,pf_redm_tot_grams,80.8559133139874,Inf
Female,pf_seafood,0.6319335902669975,Inf
Male,pf_seafood,0.5895924238639413,Inf
Female,pf_seafood_1,0.6014548862252098,Inf
Male,pf_seafood_1,0.6022972507427371,Inf
Female,pf_seafood_2,NA,NA
Male,pf_seafood_2,NA,NA
Female,pf_seafood_grams,18.326074117742927,Inf
Male,pf_seafood_grams,17.0981802920543,Inf
Female,pf_soy,0.10097239378857747,Inf
Male,pf_soy,0.10058331985805263,Inf
Female,pf_soy_1,0.10370698410081386,Inf
Male,pf_soy_1,0.10085832118488916,Inf
Female,pf_soy_2,NA,NA
Male,pf_soy_2,NA,NA
Female,pf_tot,6.5687020920585235,Inf
Male,pf_tot,6.884337666452697,Inf
Female,pf_tot_1,NA,NA
Male,pf_tot_1,6.7323618598339134,Inf
Female,pf_tot_2,NA,NA
Male,pf_tot_2,NA,NA
Female,pf_tot_grams,186.72009002252682,Inf
Male,pf_tot_grams,216.99486640234,Inf
Female,pufa_energy,8.829649850057779,Inf
Male,pufa_energy,8.054352087887336,Inf
Female,pufa_energy_1,NA,NA
Male,pufa_energy_1,8.064468939896162,Inf
Female,pufa_energy_2,NA,NA
Male,pufa_energy_2,NA,NA
Female,sat_fat,26.420952128040216,Inf
Male,sat_fat,25.459384506563538,Inf
Female,sat_fat_1,26.47194194516144,Inf
Male,sat_fat_1,25.43255786250652,Inf
Female,sat_fat_2,NA,NA
Male,sat_fat_2,NA,NA
Female,sea_omega3_fa,0.09760071692009384,Inf
Male,sea_omega3_fa,0.08723063058917821,Inf
Female,sea_omega3_fa_1,0.09221410284600912,Inf
Male,sea_omega3_fa_1,0.08681384785619399,Inf
Female,sea_omega3_fa_2,NA,NA
Male,sea_omega3_fa_2,NA,NA
Female,sfat_energy,11.893326062285038,Inf
Male,sfat_energy,11.45777725939752,Inf
Female,sfat_energy_1,NA,NA
Male,sfat_energy_1,11.44465103812792,Inf
Female,sfat_energy_2,NA,NA
Male,sfat_energy_2,NA,NA
Female,sodium,3455.2691723133867,Inf
Male,sodium,3593.1325213584987,Inf
Female,sodium_1,3404.2804357876726,Inf
Male,sodium_1,3566.2147477452077,Inf
Female,sodium_2,NA,NA
Male,sodium_2,NA,NA
Female,ssb,243.82013972793513,Inf
Male,ssb,317.5234774208318,Inf
Female,ssb_1,NA,NA
Male,ssb_1,331.3858497432663,Inf
Female,ssb_2,NA,NA
Male,ssb_2,NA,NA
Female,veg_dg,0.18735433857582706,Inf
Male,veg_dg,0.14837835222708592,Inf
Female,veg_dg_1,0.1954167804698987,Inf
Male,veg_dg_1,0.13842024338304285,Inf
Female,veg_dg_2,NA,NA
Male,veg_dg_2,NA,NA
Female,veg_dg_grams,22.107811951947593,Inf
Male,veg_dg_grams,17.50864556279614,Inf
Female,veg_exc_sta,1.2014292776088937,Inf
Male,veg_exc_sta,1.029354971291611,Inf
Female,veg_exc_sta_1,1.1845669859946146,Inf
Male,veg_exc_sta_1,1.0162823335285058,Inf
Female,veg_exc_sta_2,NA,NA
Male,veg_exc_sta_2,NA,NA
Female,veg_leg,0.1036557300932383,Inf
Male,veg_leg,0.1261526211169679,Inf
Female,veg_leg_1,0.10631897362484925,Inf
Male,veg_leg_1,0.12397390593423183,Inf
Female,veg_leg_2,NA,NA
Male,veg_leg_2,NA,NA
Female,veg_oth,0.5921720442063928,Inf
Male,veg_oth,0.5213108367143566,Inf
Female,veg_oth_1,0.5808021351882936,Inf
Male,veg_oth_1,0.5248062617724332,Inf
Female,veg_oth_2,NA,NA
Male,veg_oth_2,NA,NA
Female,veg_oth_grams,82.904086188895,Inf
Male,veg_oth_grams,72.98351714000992,Inf
Female,veg_ro,0.38070796602269313,Inf
Male,veg_ro,0.37083659569168687,Inf
Female,veg_ro_1,0.3774701362271482,Inf
Male,veg_ro_1,0.36812404924503783,Inf
Female,veg_ro_2,NA,NA
Male,veg_ro_2,NA,NA
Female,veg_ro_grams,54.82194710726781,Inf
Male,veg_ro_grams,53.40046977960291,Inf
Female,veg_sta,0.42261510073869113,Inf
Male,veg_sta,0.439111795888117,Inf
Female,veg_sta_1,0.431010729723132,Inf
Male,veg_sta_1,0.4297438613402082,Inf
Female,veg_sta_2,NA,NA
Male,veg_sta_2,NA,NA
Female,veg_sta_grams,56.63042349898461,Inf
Male,veg_sta_grams,58.840980649007676,Inf
Female,veg_tot,1.661298983904287,Inf
Male,veg_tot,1.4582853788535917,Inf
Female,veg_tot_1,1.6437160548763858,Inf
Male,veg_tot_1,1.431971481213008,Inf
Female,veg_tot_2,NA,NA
Male,veg_tot_2,NA,NA
Female,veg_tot_grams,216.46426874709502,Inf
Male,veg_tot_grams,202.73361313141666,Inf
