RaceandoriginrecodeNHWNHBNHOHis,Sex,Age_recode_10yr,esophagus,adenomas,Crude_Rate,Standard_Error,Lower_Confidence_Interval,Upper_Confidence_Interval,Count,Population
Non-Hispanic Black,Male and female,45-54 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.4,0.18,0.13,0.93,5,1252683
Non-Hispanic Black,Male and female,55-64 years,Esophagus,8140-8389: adenomas and adenocarcinomas,2.16,0.43,1.4,3.19,25,1158493
Non-Hispanic Black,Male and female,65-74 years,Esophagus,8140-8389: adenomas and adenocarcinomas,3.07,0.67,1.9,4.69,21,683968
Non-Hispanic Black,Male and female,75+ years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.74,0.09,0.58,0.94,74,9934931
Non-Hispanic Black,Male,25-34 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0,,0,0.47,0,780654
Non-Hispanic Black,Male,35-44 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.33,0.23,0.04,1.18,2,610690
Non-Hispanic Black,Male,45-54 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.68,0.34,0.18,1.73,4,592009
Non-Hispanic Black,Male,55-64 years,Esophagus,8140-8389: adenomas and adenocarcinomas,3.73,0.83,2.28,5.76,20,536427
Non-Hispanic Black,Male,65-74 years,Esophagus,8140-8389: adenomas and adenocarcinomas,5.43,1.36,3.1,8.82,16,294547
Non-Hispanic Black,Male,75+ years,Esophagus,8140-8389: adenomas and adenocarcinomas,1.19,0.16,0.9,1.54,57,4792305
Non-Hispanic Black,Female,25-34 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0,,0,0.48,0,776238
Non-Hispanic Black,Female,35-44 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.15,0.15,0,0.83,1,668062
Non-Hispanic Black,Female,45-54 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.15,0.15,0,0.84,1,660674
Non-Hispanic Black,Female,55-64 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.8,0.36,0.26,1.88,5,622066
Non-Hispanic Black,Female,65-74 years,Esophagus,8140-8389: adenomas and adenocarcinomas,1.28,0.57,0.42,3,5,389421
Non-Hispanic Black,Female,75+ years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.33,0.08,0.19,0.53,17,5142626
Hispanic (All Races),Male and female,25-34 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.12,0.06,0.03,0.29,4,3474967
Hispanic (All Races),Male and female,35-44 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.26,0.09,0.11,0.51,8,3063538
Hispanic (All Races),Male and female,45-54 years,Esophagus,8140-8389: adenomas and adenocarcinomas,1.21,0.22,0.82,1.72,31,2564390
Hispanic (All Races),Male and female,55-64 years,Esophagus,8140-8389: adenomas and adenocarcinomas,2.99,0.41,2.25,3.91,54,1804131
Hispanic (All Races),Male and female,65-74 years,Esophagus,8140-8389: adenomas and adenocarcinomas,7.32,0.87,5.71,9.25,70,956390
Hispanic (All Races),Male and female,75+ years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.97,0.07,0.84,1.11,209,21595355
Hispanic (All Races),Male,25-34 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.17,0.1,0.03,0.48,3,1816781
Hispanic (All Races),Male,35-44 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.51,0.18,0.22,1,8,1571106
Hispanic (All Races),Male,45-54 years,Esophagus,8140-8389: adenomas and adenocarcinomas,2.01,0.39,1.31,2.94,26,1295262
Hispanic (All Races),Male,55-64 years,Esophagus,8140-8389: adenomas and adenocarcinomas,5.56,0.79,4.12,7.36,49,880512
Hispanic (All Races),Male,65-74 years,Esophagus,8140-8389: adenomas and adenocarcinomas,13.45,1.75,10.24,17.34,59,438777
Hispanic (All Races),Male,75+ years,Esophagus,8140-8389: adenomas and adenocarcinomas,1.62,0.12,1.39,1.87,176,10896533
Hispanic (All Races),Female,25-34 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.06,0.06,0,0.34,1,1658186
Hispanic (All Races),Female,35-44 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0,,0,0.25,0,1492432
Hispanic (All Races),Female,45-54 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.39,0.18,0.13,0.92,5,1269128
Hispanic (All Races),Female,55-64 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.54,0.24,0.18,1.26,5,923619
Hispanic (All Races),Female,65-74 years,Esophagus,8140-8389: adenomas and adenocarcinomas,2.13,0.64,1.06,3.8,11,517613
Hispanic (All Races),Female,75+ years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.31,0.05,0.21,0.43,33,10698822
OTHER,Male and female,25-34 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0,,0,0.21,0,1734372
OTHER,Male and female,35-44 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.31,0.14,0.1,0.73,5,1598909
OTHER,Male and female,45-54 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.35,0.16,0.11,0.82,5,1427341
OTHER,Male and female,55-64 years,Esophagus,8140-8389: adenomas and adenocarcinomas,1.54,0.35,0.93,2.41,19,1231743
OTHER,Male and female,65-74 years,Esophagus,8140-8389: adenomas and adenocarcinomas,2.93,0.59,1.89,4.32,25,853891
OTHER,Male and female,75+ years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.76,0.08,0.61,0.95,81,10631096
OTHER,Male,25-34 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0,,0,0.43,0,859629
OTHER,Male,35-44 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.53,0.27,0.14,1.36,4,754329
OTHER,Male,45-54 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.45,0.26,0.09,1.31,3,667025
OTHER,Male,55-64 years,Esophagus,8140-8389: adenomas and adenocarcinomas,3.02,0.73,1.76,4.83,17,562975
OTHER,Male,65-74 years,Esophagus,8140-8389: adenomas and adenocarcinomas,6.33,1.29,4.06,9.42,24,378941
OTHER,Male,75+ years,Esophagus,8140-8389: adenomas and adenocarcinomas,1.33,0.16,1.04,1.69,68,5099353
OTHER,Female,25-34 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0,,0,0.42,0,874743
OTHER,Female,35-44 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.12,0.12,0,0.66,1,844580
OTHER,Female,45-54 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.26,0.19,0.03,0.95,2,760316
OTHER,Female,55-64 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.3,0.21,0.04,1.08,2,668768
OTHER,Female,65-74 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.21,0.21,0.01,1.17,1,474950
OTHER,Female,75+ years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.24,0.07,0.13,0.4,13,5531743
