description,Foodgroup_FNDDS,fcid_desc,Foodgroup_FCID
"Lo mein, with shrimp",gr_refined,"Fish-shellfish, crustacean",pf_seafood
Macaroni or pasta salad with tuna,gr_refined,"Fish-saltwater finfish, tuna",pf_seafood
"Cheese spread, cream cheese, light or lite",dairy_tot,"Fish-shellfish, mollusc",pf_seafood
"Cheese spread, cream cheese, light or lite",dairy_tot,Fish-freshwater finfish,pf_seafood
"Paella, NFS",pf_redm,"Fish-shellfish, mollusc",pf_seafood
"Paella, NFS",pf_redm,"Fish-shellfish, crustacean",pf_seafood
Taco or tostada with fish,gr_refined,"Fish-shellfish, crustacean",pf_seafood
"Sushi, topped with salmon",gr_refined,"Fish-saltwater finfish, other",pf_seafood
"Sushi roll, shrimp",gr_refined,"Fish-saltwater finfish, other",pf_seafood
Pad Thai with seafood,gr_refined,"Fish-saltwater finfish, other",pf_seafood
Pad Thai with seafood,gr_refined,"Fish-shellfish, crustacean",pf_seafood
Macaroni or pasta salad with shrimp,gr_refined,"Fish-shellfish, crustacean",pf_seafood
"Antipasto with ham, fish, cheese, vegetables",pf_redm,"Fish-saltwater finfish, other",pf_seafood
Pork hash,pf_redm,"Fish-shellfish, crustacean",pf_seafood
"Sweet bread dough, filled with meat, steamed",gr_refined,"Fish-shellfish, mollusc",pf_seafood
"Sushi, topped with tuna",gr_refined,"Fish-saltwater finfish, other",pf_seafood
"Sushi, topped with shrimp",gr_refined,"Fish-saltwater finfish, other",pf_seafood
"Stuffed shells, with fish and/or shellfish, with tomato sauce",gr_refined,"Fish-saltwater finfish, tuna",pf_seafood
"Stuffed shells, with fish and/or shellfish, with tomato sauce",gr_refined,"Fish-shellfish, crustacean",pf_seafood
"Pasta, whole grain, with tomato-based sauce and seafood, home recipe",gr_whole,"Fish-shellfish, mollusc",pf_seafood
"Pasta, whole grain, with tomato-based sauce and seafood, home recipe",gr_whole,"Fish-shellfish, crustacean",pf_seafood
Macaroni or noodles with cheese and tuna,gr_refined,"Fish-saltwater finfish, tuna",pf_seafood
Macaroni or pasta salad with tuna and egg,gr_refined,"Fish-saltwater finfish, tuna",pf_seafood
"Whole wheat cereal, cooked, fat added in cooking",gr_whole,NA,gr_whole
"Gumbo, no rice",pf_redm,"Fish-shellfish, crustacean",pf_seafood
"Gumbo, no rice",pf_redm,"Fish-shellfish, mollusc",pf_seafood
Pad Thai with meat,gr_refined,"Fish-saltwater finfish, other",pf_seafood
"Pasta with tomato-based sauce, seafood, and added vegetables, restaurant",gr_refined,"Fish-shellfish, crustacean",pf_seafood
"Pasta with tomato-based sauce, seafood, and added vegetables, restaurant",gr_refined,"Fish-shellfish, mollusc",pf_seafood
"Pasta with tomato-based sauce and seafood, ready-to-heat",gr_refined,"Fish-shellfish, crustacean",pf_seafood
"Pasta with tomato-based sauce and seafood, ready-to-heat",gr_refined,"Fish-shellfish, mollusc",pf_seafood
"Pasta, whole grain, with tomato-based sauce, seafood, and added vegetables, home recipe",gr_whole,"Fish-shellfish, crustacean",pf_seafood
"Pasta, whole grain, with tomato-based sauce, seafood, and added vegetables, home recipe",gr_whole,"Fish-shellfish, mollusc",pf_seafood
"Sushi, topped with eel",gr_refined,"Fish-saltwater finfish, other",pf_seafood
Steak tartare,pf_redm,"Fish-saltwater finfish, other",pf_seafood
"Caesar dressing, fat free",other,"Fish-saltwater finfish, other",pf_seafood
"Pasta with tomato-based sauce, seafood, and added vegetables, ready-to-heat",gr_refined,"Fish-shellfish, mollusc",pf_seafood
"Pasta with tomato-based sauce, seafood, and added vegetables, ready-to-heat",gr_refined,"Fish-shellfish, crustacean",pf_seafood
"Cream cheese, regular, flavored",dairy_tot,Fish-freshwater finfish,pf_seafood
"Cream cheese, regular, flavored",dairy_tot,"Fish-shellfish, mollusc",pf_seafood
"Whole wheat cereal, cooked, fat added",gr_whole,NA,gr_whole
Dressing with oysters,gr_refined,"Fish-shellfish, mollusc",pf_seafood
"Macaroni or noodles, creamed, with cheese and tuna",gr_refined,"Fish-saltwater finfish, tuna",pf_seafood
Shrimp chips,gr_refined,"Fish-shellfish, crustacean",pf_seafood
"Greek Salad, no dressing",veg_oth,"Fish-saltwater finfish, other",pf_seafood
"Sushi, topped with crab",gr_refined,"Fish-saltwater finfish, other",pf_seafood
