"Race and origin recode (NHW, NHB, NHO, Hispanic)"	"Sex"	"Age recode 10yr"	"Multiple myeloma/plasma-cell leuk"	"Crude Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Hispanic (All Races)"	"Female"	"55-64 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	11.69	1.13	9.59	14.12	108	923619
"Hispanic (All Races)"	"Female"	"65-74 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	20.48	1.99	16.77	24.77	106	517613
"Hispanic (All Races)"	"Female"	"75+ years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	34.43	3.07	28.68	40.99	126	365950
"OTHER"	"Male and female"	"25-34 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	0.35	0.14	0.13	0.75	6	1734372
"OTHER"	"Male and female"	"35-44 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	1.19	0.27	0.72	1.86	19	1598909
"OTHER"	"Male and female"	"45-54 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	3.29	0.48	2.42	4.38	47	1427341
"OTHER"	"Male and female"	"55-64 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	7.39	0.77	5.95	9.07	91	1231743
"OTHER"	"Male and female"	"65-74 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	17.68	1.44	14.98	20.74	151	853891
"OTHER"	"Male and female"	"75+ years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	24.93	2.02	21.12	29.22	152	609760
"OTHER"	"Male"	"25-34 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	0.47	0.23	0.13	1.19	4	859629
"OTHER"	"Male"	"35-44 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	1.59	0.46	0.82	2.78	12	754329
"OTHER"	"Male"	"45-54 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	4.35	0.81	2.91	6.24	29	667025
"OTHER"	"Male"	"55-64 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	9.24	1.28	6.90	12.11	52	562975
"OTHER"	"Male"	"65-74 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	22.17	2.42	17.68	27.44	84	378941
"OTHER"	"Male"	"75+ years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	28.34	3.36	22.14	35.75	71	250507
"OTHER"	"Female"	"25-34 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	0.23	0.16	0.03	0.83	2	874743
"OTHER"	"Female"	"35-44 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	0.83	0.31	0.33	1.71	7	844580
"OTHER"	"Female"	"45-54 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	2.37	0.56	1.40	3.74	18	760316
"OTHER"	"Female"	"55-64 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	5.83	0.93	4.15	7.97	39	668768
"OTHER"	"Female"	"65-74 years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	14.11	1.72	10.93	17.92	67	474950
"OTHER"	"Female"	"75+ years"	"2(a)2.8.2 Multiple myeloma/plasma-cell leuk"	22.55	2.51	17.91	28.02	81	359253
