risk_factor,outcome,outcome_label,Age,Age_label,RR_unit,logRR,logRR_se
fruit,OSTK,unidentified stroke,3,45-54,100g/d,-0.3245099258474757,0.08107108226713167
fruit,OSTK,unidentified stroke,4,55-64,100g/d,-0.2471030405941447,0.057379772573348004
fruit,OSTK,unidentified stroke,5,65-74,100g/d,-0.18999045016849814,0.04115866219351768
fruit,OSTK,unidentified stroke,6,75+,100g/d,-0.09293743175267702,0.015030783161119637
fruit_exc_juice,HSTK,Hemorrhagic stroke,1,20-34,100g/d,-0.46634830110801,0.131250128214607
fruit_exc_juice,HSTK,Hemorrhagic stroke,2,35-44,100g/d,-0.447276980338974,0.125882652252518
fruit_exc_juice,HSTK,Hemorrhagic stroke,3,45-54,100g/d,-0.379438875296577,0.106790141432825
fruit_exc_juice,HSTK,Hemorrhagic stroke,4,55-64,100g/d,-0.314412414007852,0.0884889460361448
fruit_exc_juice,HSTK,Hemorrhagic stroke,5,65-74,100g/d,-0.26078870125097797,0.0733969661619586
fruit_exc_juice,HSTK,Hemorrhagic stroke,6,75+,100g/d,-0.149732669987616,0.0360329969483038
fruit_exc_juice,IHD,Ischemic heart disease,1,20-34,100g/d,-0.093566754668598,0.0280632717301771
fruit_exc_juice,IHD,Ischemic heart disease,2,35-44,100g/d,-0.0897403408329244,0.0269156238118224
fruit_exc_juice,IHD,Ischemic heart disease,3,45-54,100g/d,-0.076129502503282,0.0228333548919145
fruit_exc_juice,IHD,Ischemic heart disease,4,55-64,100g/d,-0.0630827841258089,0.0189202812333173
fruit_exc_juice,IHD,Ischemic heart disease,5,65-74,100g/d,-0.0523238797532169,0.0156933866167792
fruit_exc_juice,IHD,Ischemic heart disease,6,75+,100g/d,-0.0301348578940046,0.00778377579709192
fruit_exc_juice,ISTK,Ischemic stroke,1,20-34,100g/d,-0.190831373711564,0.0426844669625658
fruit_exc_juice,ISTK,Ischemic stroke,2,35-44,100g/d,-0.183027321821159,0.0409388850458646
fruit_exc_juice,ISTK,Ischemic stroke,3,45-54,100g/d,-0.155267729378189,0.0347297204652166
fruit_exc_juice,ISTK,Ischemic stroke,4,55-64,100g/d,-0.128658671500533,0.0287779032676918
fruit_exc_juice,ISTK,Ischemic stroke,5,65-74,100g/d,-0.106715658639555,0.0238697700330629
fruit_exc_juice,ISTK,Ischemic stroke,6,75+,100g/d,-0.061073688696324,0.0119107936777688
fruit_exc_juice,OSTK,unidentified stroke,1,20-34,100g/d,-0.37406990437235826,0.08845370657895624
fruit_exc_juice,OSTK,unidentified stroke,2,35-44,100g/d,-0.38803859535256274,0.09809306869586706
fruit_exc_juice,OSTK,unidentified stroke,3,45-54,100g/d,-0.3245099258474757,0.08107108226713167
fruit_exc_juice,OSTK,unidentified stroke,4,55-64,100g/d,-0.2471030405941447,0.057379772573348004
fruit_exc_juice,OSTK,unidentified stroke,5,65-74,100g/d,-0.18999045016849814,0.04115866219351768
fruit_exc_juice,OSTK,unidentified stroke,6,75+,100g/d,-0.09293743175267702,0.015030783161119637
gr_whole,DIAB,DIAB,1,20-34,50g/d,-0.189384497097455,0.0437754785600871
gr_whole,DIAB,DIAB,2,35-44,50g/d,-0.181639615247887,0.0419852797077401
gr_whole,DIAB,DIAB,3,45-54,50g/d,-0.154090495036719,0.035617409371803
gr_whole,DIAB,DIAB,4,55-64,50g/d,-0.127683186079159,0.0295134641977353
gr_whole,DIAB,DIAB,5,65-74,50g/d,-0.105906544352728,0.0244798794660582
gr_whole,DIAB,DIAB,6,75+,50g/d,-0.0609882569566577,0.0120860323931473
gr_whole,IHD,Ischemic heart disease,1,20-34,50g/d,-0.0433898536904234,0.0196208241345292
gr_whole,IHD,Ischemic heart disease,2,35-44,50g/d,-0.0416154249729057,0.0188184302372352
gr_whole,IHD,Ischemic heart disease,3,45-54,50g/d,-0.0353036501783334,0.0159642555238416
gr_whole,IHD,Ischemic heart disease,4,55-64,50g/d,-0.0292534755886113,0.0132283760148877
gr_whole,IHD,Ischemic heart disease,5,65-74,50g/d,-0.0242642324728329,0.0109722480630043
gr_whole,IHD,Ischemic heart disease,6,75+,50g/d,-0.0140358048320824,0.00544030564855824
gr_whole,ISTK,Ischemic stroke,1,20-34,50 g/d,-0.210721031,0.06528912602040816
gr_whole,ISTK,Ischemic stroke,2,35-44,50 g/d,-0.210721031,0.06528912602040816
gr_whole,ISTK,Ischemic stroke,3,45-54,50 g/d,-0.210721031,0.06528912602040816
gr_whole,ISTK,Ischemic stroke,4,55-64,50 g/d,-0.210721031,0.06528912602040816
gr_whole,ISTK,Ischemic stroke,5,65-74,50 g/d,-0.210721031,0.06528912602040816
gr_whole,ISTK,Ischemic stroke,6,75+,50 g/d,-0.210721031,0.06528912602040816
leg_tot,HSTK,Hemorrhagic stroke,1,20-34,100 g/d,-0.278344372389415,0.104826152509799
leg_tot,HSTK,Hemorrhagic stroke,2,35-44,100 g/d,-0.266961475105384,0.100539285430518
leg_tot,HSTK,Hemorrhagic stroke,3,45-54,100 g/d,-0.226471663676351,0.0852905807000534
leg_tot,HSTK,Hemorrhagic stroke,4,55-64,100 g/d,-0.187660008282494,0.0706738795519437
leg_tot,HSTK,Hemorrhagic stroke,5,65-74,100 g/d,-0.155654190662832,0.0586202975441649
leg_tot,HSTK,Hemorrhagic stroke,6,75+,100 g/d,-0.0894520375689946,0.0293424471001987
leg_tot,IHD,Ischemic heart disease,1,20-34,100 g/d,-0.0757967151112716,0.0243540762448255
leg_tot,IHD,Ischemic heart disease,2,35-44,100 g/d,-0.0726970073098454,0.0233581159314822
leg_tot,IHD,Ischemic heart disease,3,45-54,100 g/d,-0.0616711163408631,0.0198154110935282
leg_tot,IHD,Ischemic heart disease,4,55-64,100 g/d,-0.0511022086182764,0.016419538539915
leg_tot,IHD,Ischemic heart disease,5,65-74,100 g/d,-0.042386617140009,0.0136191509628429
leg_tot,IHD,Ischemic heart disease,6,75+,100 g/d,-0.0243142071915618,0.00673766549951628
leg_tot,ISTK,Ischemic stroke,1,20-34,100 g/d,-0.281724913960445,0.0808684221224116
leg_tot,ISTK,Ischemic stroke,2,35-44,100 g/d,-0.270203769378159,0.0775613067866893
leg_tot,ISTK,Ischemic stroke,3,45-54,100 g/d,-0.229222202036966,0.0657976518070983
leg_tot,ISTK,Ischemic stroke,4,55-64,100 g/d,-0.189939172232435,0.0545215577200624
leg_tot,ISTK,Ischemic stroke,5,65-74,100 g/d,-0.157544638304089,0.0452227889056575
leg_tot,ISTK,Ischemic stroke,6,75+,100 g/d,-0.0903738583741574,0.0225831039924429
leg_tot,OSTK,unidentified stroke,1,20-34,100 g/d,-0.2794766111931093,0.07479339409788702
leg_tot,OSTK,unidentified stroke,2,35-44,100 g/d,-0.2676883190962039,0.07991524710504781
leg_tot,OSTK,unidentified stroke,3,45-54,100 g/d,-0.22714563169283708,0.06637942350675581
leg_tot,OSTK,unidentified stroke,4,55-64,100 g/d,-0.1884858818035704,0.04920501077982563
leg_tot,OSTK,unidentified stroke,5,65-74,100 g/d,-0.15652287206546742,0.037890315006423654
leg_tot,OSTK,unidentified stroke,6,75+,100 g/d,-0.09004255904213368,0.01790245371246959
pf_ns,DIAB,DIAB,1,20-34,1oz/wk,-0.0445283682287407,0.0119117519400668
pf_ns,DIAB,DIAB,2,35-44,1oz/wk,-0.0427073799421008,0.0114246206658015
pf_ns,DIAB,DIAB,3,45-54,1oz/wk,-0.0362299893006193,0.00969185852765431
pf_ns,DIAB,DIAB,4,55-64,1oz/wk,-0.0300210630410045,0.00803091310430591
pf_ns,DIAB,DIAB,5,65-74,1oz/wk,-0.0249009062359788,0.00666122361911286
pf_ns,DIAB,DIAB,6,75+,1oz/wk,-0.0142461482782143,0.00329251665310851
pf_ns,IHD,Ischemic heart disease,1,20-34,1oz/wk,-0.128932441068711,0.0251619375401892
pf_ns,IHD,Ischemic heart disease,2,35-44,1oz/wk,-0.12365974695722,0.0241329397270541
pf_ns,IHD,Ischemic heart disease,3,45-54,1oz/wk,-0.104904382222727,0.0204727180475368
pf_ns,IHD,Ischemic heart disease,4,55-64,1oz/wk,-0.0869263594271136,0.0169641992998134
pf_ns,IHD,Ischemic heart disease,5,65-74,1oz/wk,-0.0721008820564779,0.0140709186598802
pf_ns,IHD,Ischemic heart disease,6,75+,1oz/wk,-0.0413317762025281,0.00694781836232892
pf_pm,DIAB,DIAB,1,20-34,50g/d,0.61118590511178,0.143606315330466
pf_pm,DIAB,DIAB,2,35-44,50g/d,0.586191448354445,0.137733532910931
pf_pm,DIAB,DIAB,3,45-54,50g/d,0.497284308491611,0.116843609476037
pf_pm,DIAB,DIAB,4,55-64,50g/d,0.412062047566593,0.0968194977070732
pf_pm,DIAB,DIAB,5,65-74,50g/d,0.341783979995862,0.0803067243463518
pf_pm,DIAB,DIAB,6,75+,50g/d,0.19636342279914001,0.0397000570469333
pf_pm,IHD,Ischemic heart disease,1,20-34,50g/d,0.467525808355627,0.164209898199735
pf_pm,IHD,Ischemic heart disease,2,35-44,50g/d,0.448406333410036,0.157494531949708
pf_pm,IHD,Ischemic heart disease,3,45-54,50g/d,0.380396940383611,0.133607475222777
pf_pm,IHD,Ischemic heart disease,4,55-64,50g/d,0.315206290377413,0.110710450481526
pf_pm,IHD,Ischemic heart disease,5,65-74,50g/d,0.261447180299984,0.0918285452789624
pf_pm,IHD,Ischemic heart disease,6,75+,50g/d,0.151019391343528,0.0462241803493064
pf_pm,ISTK,Ischemic stroke,1,20-34,150 g/wk,0.048790164,0.01944575637755102
pf_pm,ISTK,Ischemic stroke,2,35-44,150 g/wk,0.048790164,0.01944575637755102
pf_pm,ISTK,Ischemic stroke,3,45-54,150 g/wk,0.048790164,0.01944575637755102
pf_pm,ISTK,Ischemic stroke,4,55-64,150 g/wk,0.048790164,0.01944575637755102
pf_pm,ISTK,Ischemic stroke,5,65-74,150 g/wk,0.048790164,0.01944575637755102
pf_pm,ISTK,Ischemic stroke,6,75+,150 g/wk,0.048790164,0.01944575637755102
pf_redm,DIAB,DIAB,1,20-34,100g/d,0.255812928255117,0.107207847877527
pf_redm,DIAB,DIAB,2,35-44,100g/d,0.24535145471693,0.102823581330458
pf_redm,DIAB,DIAB,3,45-54,100g/d,0.208139216016923,0.087228419455942
pf_redm,DIAB,DIAB,4,55-64,100g/d,0.172469289833395,0.0722796205575818
pf_redm,DIAB,DIAB,5,65-74,100g/d,0.143054281884068,0.0599521759711895
pf_redm,DIAB,DIAB,6,75+,100g/d,0.0818832276425882,0.0294802159509519
pf_redm,IHD,Ischemic heart disease,1,20-34,300 g/wk,0.058268908,0.014443595408163267
pf_redm,IHD,Ischemic heart disease,2,35-44,300 g/wk,0.058268908,0.014443595408163267
pf_redm,IHD,Ischemic heart disease,3,45-54,300 g/wk,0.058268908,0.014443595408163267
pf_redm,IHD,Ischemic heart disease,4,55-64,300 g/wk,0.058268908,0.014443595408163267
pf_redm,IHD,Ischemic heart disease,5,65-74,300 g/wk,0.058268908,0.014443595408163267
pf_redm,IHD,Ischemic heart disease,6,75+,300 g/wk,0.058268908,0.014443595408163267
pf_seafood,IHD,Ischemic heart disease,1,20-34,300 g/wk,-0.051293294,0.026877682653061227
pf_seafood,IHD,Ischemic heart disease,2,35-44,300 g/wk,-0.051293294,0.026877682653061227
pf_seafood,IHD,Ischemic heart disease,3,45-54,300 g/wk,-0.051293294,0.026877682653061227
pf_seafood,IHD,Ischemic heart disease,4,55-64,300 g/wk,-0.051293294,0.026877682653061227
pf_seafood,IHD,Ischemic heart disease,5,65-74,300 g/wk,-0.051293294,0.026877682653061227
pf_seafood,IHD,Ischemic heart disease,6,75+,300 g/wk,-0.051293294,0.026877682653061227
pufa_rep_carb,IHD,Ischemic heart disease,1,20-34,5%E/d,-0.155556273856627,0.0364017075709115
pufa_rep_carb,IHD,Ischemic heart disease,2,35-44,5%E/d,-0.149194797703916,0.0349130591937735
pufa_rep_carb,IHD,Ischemic heart disease,3,45-54,5%E/d,-0.12656655434843,0.0296178263044268
pufa_rep_carb,IHD,Ischemic heart disease,4,55-64,5%E/d,-0.104876169723627,0.0245420616397344
pufa_rep_carb,IHD,Ischemic heart disease,5,65-74,5%E/d,-0.0869893136398827,0.0203563602959008
pufa_rep_carb,IHD,Ischemic heart disease,6,75+,5%E/d,-0.0500265746368407,0.0100730283626858
pufa_rep_carbsfa,IHD,Ischemic heart disease,1,20-34,5%E/d,-0.156819280840835,0.0386158176465906
pufa_rep_carbsfa,IHD,Ischemic heart disease,2,35-44,5%E/d,-0.15040615399856,0.037036623204696
pufa_rep_carbsfa,IHD,Ischemic heart disease,3,45-54,5%E/d,-0.127594185302464,0.0314193112351157
pufa_rep_carbsfa,IHD,Ischemic heart disease,4,55-64,5%E/d,-0.105727690086991,0.0260348165015391
pufa_rep_carbsfa,IHD,Ischemic heart disease,5,65-74,5%E/d,-0.0876956053756947,0.0215945226086854
pufa_rep_carbsfa,IHD,Ischemic heart disease,6,75+,5%E/d,-0.0503889888897644,0.0107173396826739
pufa_rep_sfa,IHD,Ischemic heart disease,1,20-34,5%E/d,-0.13911989461862,0.0382479205523174
pufa_rep_sfa,IHD,Ischemic heart disease,2,35-44,5%E/d,-0.133430584441393,0.0366837712676116
pufa_rep_sfa,IHD,Ischemic heart disease,3,45-54,5%E/d,-0.113193285405025,0.0311199760400604
pufa_rep_sfa,IHD,Ischemic heart disease,4,55-64,5%E/d,-0.0937947491169853,0.025786779973386
pufa_rep_sfa,IHD,Ischemic heart disease,5,65-74,5%E/d,-0.077797853127291,0.0213887892433411
pufa_rep_sfa,IHD,Ischemic heart disease,6,75+,5%E/d,-0.0444190206713609,0.0106756013145354
sat_fat,IHD,Ischemic heart disease,1,20-34,5%E/d,0.141730898201735,0.036361463351118
sat_fat,IHD,Ischemic heart disease,2,35-44,5%E/d,0.135934810993812,0.0348744607619521
sat_fat,IHD,Ischemic heart disease,3,45-54,5%E/d,0.115317698125343,0.0295850820627101
sat_fat,IHD,Ischemic heart disease,4,55-64,5%E/d,0.0955550899129099,0.0245149289531457
sat_fat,IHD,Ischemic heart disease,5,65-74,5%E/d,0.079257964018195,0.0203338551473072
sat_fat,IHD,Ischemic heart disease,6,75+,5%E/d,0.0456530515637435,0.00987151503629348
sea_omega3_fa,IHD,Ischemic heart disease,1,20-34,100mg/d,-0.241309788317041,0.0565194408966984
sea_omega3_fa,IHD,Ischemic heart disease,2,35-44,100mg/d,-0.231441420904168,0.0542080775134363
sea_omega3_fa,IHD,Ischemic heart disease,3,45-54,100mg/d,-0.1963389047618,0.0459863862166565
sea_omega3_fa,IHD,Ischemic heart disease,4,55-64,100mg/d,-0.162691260777022,0.0381054542462872
sea_omega3_fa,IHD,Ischemic heart disease,5,65-74,100mg/d,-0.134943916692374,0.0316064871510436
sea_omega3_fa,IHD,Ischemic heart disease,6,75+,100mg/d,-0.0769103771778586,0.0156038433251118
ssb,DIAB,DIAB,1,20-34,8oz/d,0.292739448311375,0.0871730977363568
ssb,DIAB,DIAB,2,35-44,8oz/d,0.28076786418159,0.083608152596832
ssb,DIAB,DIAB,3,45-54,8oz/d,0.238184049900682,0.0709273778474448
ssb,DIAB,DIAB,4,55-64,8oz/d,0.197365180488968,0.0587721752833883
ssb,DIAB,DIAB,5,65-74,8oz/d,0.163704124896918,0.0487484545106634
ssb,DIAB,DIAB,6,75+,8oz/d,0.093811134889747,0.0243016137371412
ssb,IHD,Ischemic heart disease,1,20-34,8oz/d,0.280059229170747,0.0559109022331533
ssb,IHD,Ischemic heart disease,2,35-44,8oz/d,0.268606202792921,0.0536244250476649
ssb,IHD,Ischemic heart disease,3,45-54,8oz/d,0.227866936966417,0.0454912558054994
ssb,IHD,Ischemic heart disease,4,55-64,8oz/d,0.188816166156374,0.0376951769711953
ssb,IHD,Ischemic heart disease,5,65-74,8oz/d,0.156613163327195,0.0312661835467421
ssb,IHD,Ischemic heart disease,6,75+,8oz/d,0.0900071491986592,0.0154608864155776
veg_exc_sta,HSTK,Hemorrhagic stroke,1,20-34,100g/d,-0.274254469369838,0.111300351211622
veg_exc_sta,HSTK,Hemorrhagic stroke,2,35-44,100g/d,-0.263038828731142,0.106748721679317
veg_exc_sta,HSTK,Hemorrhagic stroke,3,45-54,100g/d,-0.223143961617326,0.0905582372306545
veg_exc_sta,HSTK,Hemorrhagic stroke,4,55-64,100g/d,-0.184902592251627,0.0750387897226688
veg_exc_sta,HSTK,Hemorrhagic stroke,5,65-74,100g/d,-0.153367057860625,0.0622407629068084
veg_exc_sta,HSTK,Hemorrhagic stroke,6,75+,100g/d,-0.0884301823315784,0.0306684840736879
veg_exc_sta,IHD,Ischemic heart disease,1,20-34,100g/d,-0.0755972359979193,0.0233640042223089
veg_exc_sta,IHD,Ischemic heart disease,2,35-44,100g/d,-0.0725056858978259,0.0224085329191775
veg_exc_sta,IHD,Ischemic heart disease,3,45-54,100g/d,-0.0615088124786303,0.0190098504990246
veg_exc_sta,IHD,Ischemic heart disease,4,55-64,100g/d,-0.0509677196334893,0.0157520311556242
veg_exc_sta,IHD,Ischemic heart disease,5,65-74,100g/d,-0.0422750655405409,0.0130654883971521
veg_exc_sta,IHD,Ischemic heart disease,6,75+,100g/d,-0.0240559493564085,0.00633708261186333
veg_exc_sta,ISTK,Ischemic stroke,1,20-34,100g/d,-0.280364871970776,0.082336115164907
veg_exc_sta,ISTK,Ischemic stroke,2,35-44,100g/d,-0.268899346326058,0.0789689785001964
veg_exc_sta,ISTK,Ischemic stroke,3,45-54,100g/d,-0.22811561967848001,0.0669918231935962
veg_exc_sta,ISTK,Ischemic stroke,4,55-64,100g/d,-0.189022230787366,0.0555110775948365
veg_exc_sta,ISTK,Ischemic stroke,5,65-74,100g/d,-0.15678408319262,0.0460435440397023
veg_exc_sta,ISTK,Ischemic stroke,6,75+,100g/d,-0.0905360287877962,0.0229361736872198
veg_exc_sta,OSTK,unidentified stroke,1,20-34,100g/d,-0.276301015695511,0.07899263958176808
veg_exc_sta,OSTK,unidentified stroke,2,35-44,100g/d,-0.2643526150930792,0.08468916489871273
veg_exc_sta,OSTK,unidentified stroke,3,45-54,100g/d,-0.2243621735027163,0.07031163061829762
veg_exc_sta,OSTK,unidentified stroke,4,55-64,100g/d,-0.18639537664880074,0.0519040270020942
veg_exc_sta,OSTK,unidentified stroke,5,65-74,100g/d,-0.15493721843712444,0.039740662550950975
veg_exc_sta,OSTK,unidentified stroke,6,75+,100g/d,-0.08977919457405087,0.018367682124588888
