subgroup,outcome,risk_factor,RR_unit,RR,CI_lower,CI_upper,conversion_factor,RR_converted,SE_converted,RR_unit_converted
1,SCNC,pf_pm,50g/d,1.18,1.01,1.38,30.21,0.2739398187315017,0.1317871702149347,1 oz eq/day
2,CC,gr_whole,3 servings/d,0.83,0.78,0.89,NA,NA,NA,NA
2,CC,dairy,400g/d,0.87,0.83,0.9,225,-0.2475770085929025,0.036720663280574696,1 cup/day
2,CC,pf_pm,50g/d,1.16,1.08,1.26,30.21,0.24564714518085604,0.06508466239185322,1 oz eq/day
2,CC,pf_redm,100g/d,1.12,1,1.25,30.21,0.3751363300463531,0.1884289153765561,1 oz eq/day
2,CC,fiber,10g/d,0.9,0.86,0.94,1,-0.10536051565782628,0.02269068520828983,10 g/day
2,DIAB,gr_whole,50g/d,0.83,0.76,0.9,NA,NA,NA,NA
2,DIAB,pf_ns,1oz/wk,0.95,0.92,0.98,NA,NA,NA,NA
2,DIAB,pf_pm,50g/d,1.86,1.38,2.46,30.21,1.0271044153014068,0.2440728889166811,1 oz eq/day
2,DIAB,pf_redm,100g/d,1.3,1.05,1.6,30.21,0.8684682703326417,0.35568492075564884,1 oz eq/day
2,HSTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
2,HSTK,veg_exc_sta,100g/d,0.76,0.61,0.95,NA,NA,NA,NA
2,HSTK,fruit,100g/d,0.63,0.49,0.81,149.37,-0.30932279547202163,0.08584163291296443,1 cup/day
2,IHD,gr_whole,50g/d,0.95,0.91,0.99,NA,NA,NA,NA
2,IHD,veg_exc_sta,100g/d,0.93,0.89,0.97,NA,NA,NA,NA
2,IHD,fruit,100g/d,0.92,0.87,0.97,149.37,-0.055822192501205736,0.01858193184312874,1 cup/day
2,IHD,pf_pm,50g/d,1.62,1.17,2.18,30.21,0.7984544012649665,0.2627530450077911,1 oz eq/day
2,IHD,pufa_rep_carb,5%E/d,0.86,0.79,0.92,1,-0.15082288973458366,0.03886242974031092,5%E/day
2,IHD,pufa_rep_sfa,5%E/d,0.87,0.81,0.93,1,-0.13926206733350766,0.03524243328592274,5%E/day
2,IHD,sea_omega3_fa,100mg/d,0.79,0.7,0.88,1,-0.23572233352106983,0.05837795215021622,100 mg/day
2,ISTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
2,ISTK,veg_exc_sta,100g/d,0.76,0.64,0.9,NA,NA,NA,NA
2,ISTK,fruit,100g/d,0.83,0.76,0.9,149.37,-0.12474364209111165,0.02887575607413962,1 cup/day
2,Larynx,veg_exc_sta,100 g/d,0.91,0.87,0.96,NA,NA,NA,NA
2,Larynx,fruit,100 g/d,0.95,0.91,1,149.37,-0.034339756569291405,0.016106880099007893,1 cup/day
2,LC,veg_exc_sta,100/d,0.92,0.87,0.97,NA,NA,NA,NA
2,LC,fruit,100 g/d,0.82,0.76,0.89,149.37,-0.13285863207058868,0.026967520293704444,1 cup/day
2,SCNC,pf_pm,50g/d,1.18,1.01,1.38,30.21,0.2739398187315017,0.1317871702149347,1 oz eq/day
3,CC,gr_whole,3 servings/d,0.83,0.78,0.89,NA,NA,NA,NA
3,CC,dairy,400g/d,0.87,0.83,0.9,225,-0.2475770085929025,0.036720663280574696,1 cup/day
3,CC,pf_pm,50g/d,1.16,1.08,1.26,30.21,0.24564714518085604,0.06508466239185322,1 oz eq/day
3,CC,pf_redm,100g/d,1.12,1,1.25,30.21,0.3751363300463531,0.1884289153765561,1 oz eq/day
3,CC,fiber,10g/d,0.9,0.86,0.94,1,-0.10536051565782628,0.02269068520828983,10 g/day
3,DIAB,gr_whole,50g/d,0.83,0.76,0.9,NA,NA,NA,NA
3,DIAB,pf_ns,1oz/wk,0.95,0.92,0.98,NA,NA,NA,NA
3,DIAB,pf_pm,50g/d,1.86,1.38,2.46,30.21,1.0271044153014068,0.2440728889166811,1 oz eq/day
3,DIAB,pf_redm,100g/d,1.3,1.05,1.6,30.21,0.8684682703326417,0.35568492075564884,1 oz eq/day
3,HSTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
3,HSTK,veg_exc_sta,100g/d,0.76,0.61,0.95,NA,NA,NA,NA
3,HSTK,fruit,100g/d,0.63,0.49,0.81,149.37,-0.30932279547202163,0.08584163291296443,1 cup/day
3,IHD,gr_whole,50g/d,0.95,0.91,0.99,NA,NA,NA,NA
3,IHD,veg_exc_sta,100g/d,0.93,0.89,0.97,NA,NA,NA,NA
3,IHD,fruit,100g/d,0.92,0.87,0.97,149.37,-0.055822192501205736,0.01858193184312874,1 cup/day
3,IHD,pf_pm,50g/d,1.62,1.17,2.18,30.21,0.7984544012649665,0.2627530450077911,1 oz eq/day
3,IHD,pufa_rep_carb,5%E/d,0.86,0.79,0.92,1,-0.15082288973458366,0.03886242974031092,5%E/day
3,IHD,pufa_rep_sfa,5%E/d,0.87,0.81,0.93,1,-0.13926206733350766,0.03524243328592274,5%E/day
3,IHD,sea_omega3_fa,100mg/d,0.79,0.7,0.88,1,-0.23572233352106983,0.05837795215021622,100 mg/day
3,ISTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
3,ISTK,veg_exc_sta,100g/d,0.76,0.64,0.9,NA,NA,NA,NA
3,ISTK,fruit,100g/d,0.83,0.76,0.9,149.37,-0.12474364209111165,0.02887575607413962,1 cup/day
3,Larynx,veg_exc_sta,100 g/d,0.91,0.87,0.96,NA,NA,NA,NA
3,Larynx,fruit,100 g/d,0.95,0.91,1,149.37,-0.034339756569291405,0.016106880099007893,1 cup/day
3,LC,veg_exc_sta,100/d,0.92,0.87,0.97,NA,NA,NA,NA
3,LC,fruit,100 g/d,0.82,0.76,0.89,149.37,-0.13285863207058868,0.026967520293704444,1 cup/day
3,SCNC,pf_pm,50g/d,1.18,1.01,1.38,30.21,0.2739398187315017,0.1317871702149347,1 oz eq/day
4,CC,gr_whole,3 servings/d,0.83,0.78,0.89,NA,NA,NA,NA
4,CC,dairy,400g/d,0.87,0.83,0.9,225,-0.2475770085929025,0.036720663280574696,1 cup/day
4,CC,pf_pm,50g/d,1.16,1.08,1.26,30.21,0.24564714518085604,0.06508466239185322,1 oz eq/day
4,CC,pf_redm,100g/d,1.12,1,1.25,30.21,0.3751363300463531,0.1884289153765561,1 oz eq/day
4,CC,fiber,10g/d,0.9,0.86,0.94,1,-0.10536051565782628,0.02269068520828983,10 g/day
4,DIAB,gr_whole,50g/d,0.83,0.76,0.9,NA,NA,NA,NA
4,DIAB,pf_ns,1oz/wk,0.95,0.92,0.98,NA,NA,NA,NA
4,DIAB,pf_pm,50g/d,1.86,1.38,2.46,30.21,1.0271044153014068,0.2440728889166811,1 oz eq/day
4,DIAB,pf_redm,100g/d,1.3,1.05,1.6,30.21,0.8684682703326417,0.35568492075564884,1 oz eq/day
4,HSTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
4,HSTK,veg_exc_sta,100g/d,0.76,0.61,0.95,NA,NA,NA,NA
4,HSTK,fruit,100g/d,0.63,0.49,0.81,149.37,-0.30932279547202163,0.08584163291296443,1 cup/day
4,IHD,gr_whole,50g/d,0.95,0.91,0.99,NA,NA,NA,NA
4,IHD,veg_exc_sta,100g/d,0.93,0.89,0.97,NA,NA,NA,NA
4,IHD,fruit,100g/d,0.92,0.87,0.97,149.37,-0.055822192501205736,0.01858193184312874,1 cup/day
4,IHD,pf_pm,50g/d,1.62,1.17,2.18,30.21,0.7984544012649665,0.2627530450077911,1 oz eq/day
4,IHD,pufa_rep_carb,5%E/d,0.86,0.79,0.92,1,-0.15082288973458366,0.03886242974031092,5%E/day
4,IHD,pufa_rep_sfa,5%E/d,0.87,0.81,0.93,1,-0.13926206733350766,0.03524243328592274,5%E/day
4,IHD,sea_omega3_fa,100mg/d,0.79,0.7,0.88,1,-0.23572233352106983,0.05837795215021622,100 mg/day
4,ISTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
4,ISTK,veg_exc_sta,100g/d,0.76,0.64,0.9,NA,NA,NA,NA
4,ISTK,fruit,100g/d,0.83,0.76,0.9,149.37,-0.12474364209111165,0.02887575607413962,1 cup/day
4,Larynx,veg_exc_sta,100 g/d,0.91,0.87,0.96,NA,NA,NA,NA
4,Larynx,fruit,100 g/d,0.95,0.91,1,149.37,-0.034339756569291405,0.016106880099007893,1 cup/day
4,LC,veg_exc_sta,100/d,0.92,0.87,0.97,NA,NA,NA,NA
4,LC,fruit,100 g/d,0.82,0.76,0.89,149.37,-0.13285863207058868,0.026967520293704444,1 cup/day
4,SCNC,pf_pm,50g/d,1.18,1.01,1.38,30.21,0.2739398187315017,0.1317871702149347,1 oz eq/day
5,CC,gr_whole,3 servings/d,0.83,0.78,0.89,NA,NA,NA,NA
5,CC,dairy,400g/d,0.87,0.83,0.9,225,-0.2475770085929025,0.036720663280574696,1 cup/day
5,CC,pf_pm,50g/d,1.16,1.08,1.26,30.21,0.24564714518085604,0.06508466239185322,1 oz eq/day
5,CC,pf_redm,100g/d,1.12,1,1.25,30.21,0.3751363300463531,0.1884289153765561,1 oz eq/day
5,CC,fiber,10g/d,0.9,0.86,0.94,1,-0.10536051565782628,0.02269068520828983,10 g/day
5,DIAB,gr_whole,50g/d,0.83,0.76,0.9,NA,NA,NA,NA
5,DIAB,pf_ns,1oz/wk,0.95,0.92,0.98,NA,NA,NA,NA
5,DIAB,pf_pm,50g/d,1.86,1.38,2.46,30.21,1.0271044153014068,0.2440728889166811,1 oz eq/day
5,DIAB,pf_redm,100g/d,1.3,1.05,1.6,30.21,0.8684682703326417,0.35568492075564884,1 oz eq/day
5,HSTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
5,HSTK,veg_exc_sta,100g/d,0.76,0.61,0.95,NA,NA,NA,NA
5,HSTK,fruit,100g/d,0.63,0.49,0.81,149.37,-0.30932279547202163,0.08584163291296443,1 cup/day
5,IHD,gr_whole,50g/d,0.95,0.91,0.99,NA,NA,NA,NA
5,IHD,veg_exc_sta,100g/d,0.93,0.89,0.97,NA,NA,NA,NA
5,IHD,fruit,100g/d,0.92,0.87,0.97,149.37,-0.055822192501205736,0.01858193184312874,1 cup/day
5,IHD,pf_pm,50g/d,1.62,1.17,2.18,30.21,0.7984544012649665,0.2627530450077911,1 oz eq/day
5,IHD,pufa_rep_carb,5%E/d,0.86,0.79,0.92,1,-0.15082288973458366,0.03886242974031092,5%E/day
5,IHD,pufa_rep_sfa,5%E/d,0.87,0.81,0.93,1,-0.13926206733350766,0.03524243328592274,5%E/day
5,IHD,sea_omega3_fa,100mg/d,0.79,0.7,0.88,1,-0.23572233352106983,0.05837795215021622,100 mg/day
5,ISTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
5,ISTK,veg_exc_sta,100g/d,0.76,0.64,0.9,NA,NA,NA,NA
5,ISTK,fruit,100g/d,0.83,0.76,0.9,149.37,-0.12474364209111165,0.02887575607413962,1 cup/day
5,Larynx,veg_exc_sta,100 g/d,0.91,0.87,0.96,NA,NA,NA,NA
5,Larynx,fruit,100 g/d,0.95,0.91,1,149.37,-0.034339756569291405,0.016106880099007893,1 cup/day
5,LC,veg_exc_sta,100/d,0.92,0.87,0.97,NA,NA,NA,NA
5,LC,fruit,100 g/d,0.82,0.76,0.89,149.37,-0.13285863207058868,0.026967520293704444,1 cup/day
5,SCNC,pf_pm,50g/d,1.18,1.01,1.38,30.21,0.2739398187315017,0.1317871702149347,1 oz eq/day
6,CC,gr_whole,3 servings/d,0.83,0.78,0.89,NA,NA,NA,NA
6,CC,dairy,400g/d,0.87,0.83,0.9,225,-0.2475770085929025,0.036720663280574696,1 cup/day
6,CC,pf_pm,50g/d,1.16,1.08,1.26,30.21,0.24564714518085604,0.06508466239185322,1 oz eq/day
6,CC,pf_redm,100g/d,1.12,1,1.25,30.21,0.3751363300463531,0.1884289153765561,1 oz eq/day
6,CC,fiber,10g/d,0.9,0.86,0.94,1,-0.10536051565782628,0.02269068520828983,10 g/day
6,DIAB,gr_whole,50g/d,0.83,0.76,0.9,NA,NA,NA,NA
6,DIAB,pf_ns,1oz/wk,0.95,0.92,0.98,NA,NA,NA,NA
6,DIAB,pf_pm,50g/d,1.86,1.38,2.46,30.21,1.0271044153014068,0.2440728889166811,1 oz eq/day
6,DIAB,pf_redm,100g/d,1.3,1.05,1.6,30.21,0.8684682703326417,0.35568492075564884,1 oz eq/day
6,HSTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
6,HSTK,veg_exc_sta,100g/d,0.76,0.61,0.95,NA,NA,NA,NA
6,HSTK,fruit,100g/d,0.63,0.49,0.81,149.37,-0.30932279547202163,0.08584163291296443,1 cup/day
6,IHD,gr_whole,50g/d,0.95,0.91,0.99,NA,NA,NA,NA
6,IHD,veg_exc_sta,100g/d,0.93,0.89,0.97,NA,NA,NA,NA
6,IHD,fruit,100g/d,0.92,0.87,0.97,149.37,-0.055822192501205736,0.01858193184312874,1 cup/day
6,IHD,pf_pm,50g/d,1.62,1.17,2.18,30.21,0.7984544012649665,0.2627530450077911,1 oz eq/day
6,IHD,pufa_rep_carb,5%E/d,0.86,0.79,0.92,1,-0.15082288973458366,0.03886242974031092,5%E/day
6,IHD,pufa_rep_sfa,5%E/d,0.87,0.81,0.93,1,-0.13926206733350766,0.03524243328592274,5%E/day
6,IHD,sea_omega3_fa,100mg/d,0.79,0.7,0.88,1,-0.23572233352106983,0.05837795215021622,100 mg/day
6,ISTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
6,ISTK,veg_exc_sta,100g/d,0.76,0.64,0.9,NA,NA,NA,NA
6,ISTK,fruit,100g/d,0.83,0.76,0.9,149.37,-0.12474364209111165,0.02887575607413962,1 cup/day
6,Larynx,veg_exc_sta,100 g/d,0.91,0.87,0.96,NA,NA,NA,NA
6,Larynx,fruit,100 g/d,0.95,0.91,1,149.37,-0.034339756569291405,0.016106880099007893,1 cup/day
6,LC,veg_exc_sta,100/d,0.92,0.87,0.97,NA,NA,NA,NA
6,LC,fruit,100 g/d,0.82,0.76,0.89,149.37,-0.13285863207058868,0.026967520293704444,1 cup/day
6,SCNC,pf_pm,50g/d,1.18,1.01,1.38,30.21,0.2739398187315017,0.1317871702149347,1 oz eq/day
7,CC,gr_whole,3 servings/d,0.83,0.78,0.89,NA,NA,NA,NA
7,CC,dairy,400g/d,0.87,0.83,0.9,225,-0.2475770085929025,0.036720663280574696,1 cup/day
7,CC,pf_pm,50g/d,1.16,1.08,1.26,30.21,0.24564714518085604,0.06508466239185322,1 oz eq/day
7,CC,pf_redm,100g/d,1.12,1,1.25,30.21,0.3751363300463531,0.1884289153765561,1 oz eq/day
7,CC,fiber,10g/d,0.9,0.86,0.94,1,-0.10536051565782628,0.02269068520828983,10 g/day
7,DIAB,gr_whole,50g/d,0.83,0.76,0.9,NA,NA,NA,NA
7,DIAB,pf_ns,1oz/wk,0.95,0.92,0.98,NA,NA,NA,NA
7,DIAB,pf_pm,50g/d,1.86,1.38,2.46,30.21,1.0271044153014068,0.2440728889166811,1 oz eq/day
7,DIAB,pf_redm,100g/d,1.3,1.05,1.6,30.21,0.8684682703326417,0.35568492075564884,1 oz eq/day
7,HSTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
7,HSTK,veg_exc_sta,100g/d,0.76,0.61,0.95,NA,NA,NA,NA
7,HSTK,fruit,100g/d,0.63,0.49,0.81,149.37,-0.30932279547202163,0.08584163291296443,1 cup/day
7,IHD,gr_whole,50g/d,0.95,0.91,0.99,NA,NA,NA,NA
7,IHD,veg_exc_sta,100g/d,0.93,0.89,0.97,NA,NA,NA,NA
7,IHD,fruit,100g/d,0.92,0.87,0.97,149.37,-0.055822192501205736,0.01858193184312874,1 cup/day
7,IHD,pf_pm,50g/d,1.62,1.17,2.18,30.21,0.7984544012649665,0.2627530450077911,1 oz eq/day
7,IHD,pufa_rep_carb,5%E/d,0.86,0.79,0.92,1,-0.15082288973458366,0.03886242974031092,5%E/day
7,IHD,pufa_rep_sfa,5%E/d,0.87,0.81,0.93,1,-0.13926206733350766,0.03524243328592274,5%E/day
7,IHD,sea_omega3_fa,100mg/d,0.79,0.7,0.88,1,-0.23572233352106983,0.05837795215021622,100 mg/day
7,ISTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
7,ISTK,veg_exc_sta,100g/d,0.76,0.64,0.9,NA,NA,NA,NA
7,ISTK,fruit,100g/d,0.83,0.76,0.9,149.37,-0.12474364209111165,0.02887575607413962,1 cup/day
7,Larynx,veg_exc_sta,100 g/d,0.91,0.87,0.96,NA,NA,NA,NA
7,Larynx,fruit,100 g/d,0.95,0.91,1,149.37,-0.034339756569291405,0.016106880099007893,1 cup/day
7,LC,veg_exc_sta,100/d,0.92,0.87,0.97,NA,NA,NA,NA
7,LC,fruit,100 g/d,0.82,0.76,0.89,149.37,-0.13285863207058868,0.026967520293704444,1 cup/day
7,SCNC,pf_pm,50g/d,1.18,1.01,1.38,30.21,0.2739398187315017,0.1317871702149347,1 oz eq/day
8,CC,gr_whole,3 servings/d,0.83,0.78,0.89,NA,NA,NA,NA
8,CC,dairy,400g/d,0.87,0.83,0.9,225,-0.2475770085929025,0.036720663280574696,1 cup/day
8,CC,pf_pm,50g/d,1.16,1.08,1.26,30.21,0.24564714518085604,0.06508466239185322,1 oz eq/day
8,CC,pf_redm,100g/d,1.12,1,1.25,30.21,0.3751363300463531,0.1884289153765561,1 oz eq/day
8,CC,fiber,10g/d,0.9,0.86,0.94,1,-0.10536051565782628,0.02269068520828983,10 g/day
8,DIAB,gr_whole,50g/d,0.83,0.76,0.9,NA,NA,NA,NA
8,DIAB,pf_ns,1oz/wk,0.95,0.92,0.98,NA,NA,NA,NA
8,DIAB,pf_pm,50g/d,1.86,1.38,2.46,30.21,1.0271044153014068,0.2440728889166811,1 oz eq/day
8,DIAB,pf_redm,100g/d,1.3,1.05,1.6,30.21,0.8684682703326417,0.35568492075564884,1 oz eq/day
8,HSTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
8,HSTK,veg_exc_sta,100g/d,0.76,0.61,0.95,NA,NA,NA,NA
8,HSTK,fruit,100g/d,0.63,0.49,0.81,149.37,-0.30932279547202163,0.08584163291296443,1 cup/day
8,IHD,gr_whole,50g/d,0.95,0.91,0.99,NA,NA,NA,NA
8,IHD,veg_exc_sta,100g/d,0.93,0.89,0.97,NA,NA,NA,NA
8,IHD,fruit,100g/d,0.92,0.87,0.97,149.37,-0.055822192501205736,0.01858193184312874,1 cup/day
8,IHD,pf_pm,50g/d,1.62,1.17,2.18,30.21,0.7984544012649665,0.2627530450077911,1 oz eq/day
8,IHD,pufa_rep_carb,5%E/d,0.86,0.79,0.92,1,-0.15082288973458366,0.03886242974031092,5%E/day
8,IHD,pufa_rep_sfa,5%E/d,0.87,0.81,0.93,1,-0.13926206733350766,0.03524243328592274,5%E/day
8,IHD,sea_omega3_fa,100mg/d,0.79,0.7,0.88,1,-0.23572233352106983,0.05837795215021622,100 mg/day
8,ISTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
8,ISTK,veg_exc_sta,100g/d,0.76,0.64,0.9,NA,NA,NA,NA
8,ISTK,fruit,100g/d,0.83,0.76,0.9,149.37,-0.12474364209111165,0.02887575607413962,1 cup/day
8,Larynx,veg_exc_sta,100 g/d,0.91,0.87,0.96,NA,NA,NA,NA
8,Larynx,fruit,100 g/d,0.95,0.91,1,149.37,-0.034339756569291405,0.016106880099007893,1 cup/day
8,LC,veg_exc_sta,100/d,0.92,0.87,0.97,NA,NA,NA,NA
8,LC,fruit,100 g/d,0.82,0.76,0.89,149.37,-0.13285863207058868,0.026967520293704444,1 cup/day
8,SCNC,pf_pm,50g/d,1.18,1.01,1.38,30.21,0.2739398187315017,0.1317871702149347,1 oz eq/day
9,CC,gr_whole,3 servings/d,0.83,0.78,0.89,NA,NA,NA,NA
9,CC,dairy,400g/d,0.87,0.83,0.9,225,-0.2475770085929025,0.036720663280574696,1 cup/day
9,CC,pf_pm,50g/d,1.16,1.08,1.26,30.21,0.24564714518085604,0.06508466239185322,1 oz eq/day
9,CC,pf_redm,100g/d,1.12,1,1.25,30.21,0.3751363300463531,0.1884289153765561,1 oz eq/day
9,CC,fiber,10g/d,0.9,0.86,0.94,1,-0.10536051565782628,0.02269068520828983,10 g/day
9,DIAB,gr_whole,50g/d,0.83,0.77,0.9,NA,NA,NA,NA
9,DIAB,pf_ns,1oz/wk,0.95,0.93,0.98,NA,NA,NA,NA
9,DIAB,pf_pm,50g/d,1.81,1.36,2.37,30.21,0.9820040471329599,0.23450018889840804,1 oz eq/day
9,DIAB,pf_redm,100g/d,1.29,1.05,1.57,30.21,0.8429070452617701,0.3397015577950813,1 oz eq/day
9,HSTK,gr_whole,50g/d,0.88,0.81,0.96,NA,NA,NA,NA
9,HSTK,veg_exc_sta,100g/d,0.77,0.62,0.95,NA,NA,NA,NA
9,HSTK,fruit,100g/d,0.64,0.5,0.82,149.37,-0.2987796094452832,0.08448685872434752,1 cup/day
9,IHD,gr_whole,50g/d,0.95,0.92,0.99,NA,NA,NA,NA
9,IHD,veg_exc_sta,100g/d,0.93,0.9,0.97,NA,NA,NA,NA
9,IHD,fruit,100g/d,0.92,0.87,0.97,149.37,-0.055822192501205736,0.01858193184312874,1 cup/day
9,IHD,pf_pm,50g/d,1.58,1.16,2.11,30.21,0.7570752185350471,0.25259743967807907,1 oz eq/day
9,IHD,pufa_rep_carb,5%E/d,0.86,0.8,0.93,1,-0.15082288973458366,0.038411443489636314,5%E/day
9,IHD,pufa_rep_sfa,5%E/d,0.87,0.82,0.94,1,-0.13926206733350766,0.03484069770554867,5%E/day
9,IHD,sea_omega3_fa,100mg/d,0.8,0.71,0.89,1,-0.2231435513142097,0.057641962421128706,100 mg/day
9,ISTK,gr_whole,50g/d,0.88,0.81,0.96,NA,NA,NA,NA
9,ISTK,veg_exc_sta,100g/d,0.77,0.66,0.9,NA,NA,NA,NA
9,ISTK,fruit,100g/d,0.83,0.77,0.9,149.37,-0.12474364209111165,0.026643236367673007,1 cup/day
9,Larynx,veg_exc_sta,100 g/d,0.91,0.87,0.96,NA,NA,NA,NA
9,Larynx,fruit,100 g/d,0.95,0.91,1,149.37,-0.034339756569291405,0.016106880099007893,1 cup/day
9,LC,veg_exc_sta,100/d,0.92,0.87,0.97,NA,NA,NA,NA
9,LC,fruit,100 g/d,0.82,0.76,0.89,149.37,-0.13285863207058868,0.026967520293704444,1 cup/day
9,SCNC,pf_pm,50g/d,1.18,1.01,1.38,30.21,0.2739398187315017,0.1317871702149347,1 oz eq/day
10,CC,gr_whole,3 servings/d,0.83,0.78,0.89,NA,NA,NA,NA
10,CC,dairy,400g/d,0.87,0.83,0.9,225,-0.2475770085929025,0.036720663280574696,1 cup/day
10,CC,pf_pm,50g/d,1.16,1.08,1.26,30.21,0.24564714518085604,0.06508466239185322,1 oz eq/day
10,CC,pf_redm,100g/d,1.12,1,1.25,30.21,0.3751363300463531,0.1884289153765561,1 oz eq/day
10,CC,fiber,10g/d,0.9,0.86,0.94,1,-0.10536051565782628,0.02269068520828983,10 g/day
10,DIAB,gr_whole,50g/d,0.83,0.77,0.9,NA,NA,NA,NA
10,DIAB,pf_ns,1oz/wk,0.95,0.93,0.98,NA,NA,NA,NA
10,DIAB,pf_pm,50g/d,1.81,1.36,2.37,30.21,0.9820040471329599,0.23450018889840804,1 oz eq/day
10,DIAB,pf_redm,100g/d,1.29,1.05,1.57,30.21,0.8429070452617701,0.3397015577950813,1 oz eq/day
10,HSTK,gr_whole,50g/d,0.88,0.81,0.96,NA,NA,NA,NA
10,HSTK,veg_exc_sta,100g/d,0.77,0.62,0.95,NA,NA,NA,NA
10,HSTK,fruit,100g/d,0.64,0.5,0.82,149.37,-0.2987796094452832,0.08448685872434752,1 cup/day
10,IHD,gr_whole,50g/d,0.95,0.92,0.99,NA,NA,NA,NA
10,IHD,veg_exc_sta,100g/d,0.93,0.9,0.97,NA,NA,NA,NA
10,IHD,fruit,100g/d,0.92,0.87,0.97,149.37,-0.055822192501205736,0.01858193184312874,1 cup/day
10,IHD,pf_pm,50g/d,1.58,1.16,2.11,30.21,0.7570752185350471,0.25259743967807907,1 oz eq/day
10,IHD,pufa_rep_carb,5%E/d,0.86,0.8,0.93,1,-0.15082288973458366,0.038411443489636314,5%E/day
10,IHD,pufa_rep_sfa,5%E/d,0.87,0.82,0.94,1,-0.13926206733350766,0.03484069770554867,5%E/day
10,IHD,sea_omega3_fa,100mg/d,0.8,0.71,0.89,1,-0.2231435513142097,0.057641962421128706,100 mg/day
10,ISTK,gr_whole,50g/d,0.88,0.81,0.96,NA,NA,NA,NA
10,ISTK,veg_exc_sta,100g/d,0.77,0.66,0.9,NA,NA,NA,NA
10,ISTK,fruit,100g/d,0.83,0.77,0.9,149.37,-0.12474364209111165,0.026643236367673007,1 cup/day
