"Notes"	"Gender"	"Gender Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	205	8024040	2.55	2.21	2.90	0.18
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	39	8024040	0.49	0.35	0.66	0.08
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	235	8024040	2.93	2.55	3.30	0.19
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"#Atherosclerosis (I70)"	"GR113-071"	0	8024040	Unreliable	0.00	0.00	0.00
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	22	8024040	0.27	0.17	0.42	0.06
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	12	8024040	Unreliable	0.08	0.26	0.04
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"35-44 years"	"35-44"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	33	8024040	0.41	0.28	0.58	0.07
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	576	6551466	8.79	8.07	9.51	0.37
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	20	6551466	0.31	0.19	0.47	0.07
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"Hypertensive heart disease (I11)"	"GR113-056"	180	6551466	2.75	2.35	3.15	0.20
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	27	6551466	0.41	0.27	0.60	0.08
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	748	6551466	11.42	10.60	12.24	0.42
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	295	6551466	4.50	3.99	5.02	0.26
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	11	6551466	Unreliable	0.08	0.30	0.05
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	442	6551466	6.75	6.12	7.38	0.32
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"Acute and subacute endocarditis (I33)"	"GR113-065"	16	6551466	Unreliable	0.14	0.40	0.06
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	9	6551466	Unreliable	0.06	0.26	0.05
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"Heart failure (I50)"	"GR113-067"	70	6551466	1.07	0.83	1.35	0.13
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	353	6551466	5.39	4.83	5.95	0.29
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	115	6551466	1.76	1.43	2.08	0.16
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	565	6551466	8.62	7.91	9.34	0.36
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"#Atherosclerosis (I70)"	"GR113-071"	2	6551466	Unreliable	0.00	0.11	0.02
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	22	6551466	0.34	0.21	0.51	0.07
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	30	6551466	0.46	0.31	0.65	0.08
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"45-54 years"	"45-54"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	38	6551466	0.58	0.41	0.80	0.09
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1320	4517339	29.22	27.64	30.80	0.80
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	44	4517339	0.97	0.71	1.31	0.15
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"Hypertensive heart disease (I11)"	"GR113-056"	298	4517339	6.60	5.85	7.35	0.38
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	41	4517339	0.91	0.65	1.23	0.14
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1789	4517339	39.60	37.77	41.44	0.94
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	682	4517339	15.10	13.96	16.23	0.58
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	21	4517339	0.46	0.29	0.71	0.10
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	1086	4517339	24.04	22.61	25.47	0.73
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"Acute and subacute endocarditis (I33)"	"GR113-065"	13	4517339	Unreliable	0.15	0.49	0.08
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	6	4517339	Unreliable	0.05	0.29	0.05
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"Heart failure (I50)"	"GR113-067"	174	4517339	3.85	3.28	4.42	0.29
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	590	4517339	13.06	12.01	14.11	0.54
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	223	4517339	4.94	4.29	5.58	0.33
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	886	4517339	19.61	18.32	20.90	0.66
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"#Atherosclerosis (I70)"	"GR113-071"	16	4517339	Unreliable	0.20	0.58	0.09
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	28	4517339	0.62	0.41	0.90	0.12
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	53	4517339	1.17	0.88	1.53	0.16
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"55-64 years"	"55-64"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	37	4517339	0.82	0.58	1.13	0.13
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1830	2551784	71.71	68.43	75.00	1.68
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	65	2551784	2.55	1.97	3.25	0.32
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"Hypertensive heart disease (I11)"	"GR113-056"	349	2551784	13.68	12.24	15.11	0.73
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	63	2551784	2.47	1.90	3.16	0.31
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	3094	2551784	121.25	116.98	125.52	2.18
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	1150	2551784	45.07	42.46	47.67	1.33
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	34	2551784	1.33	0.92	1.86	0.23
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	1910	2551784	74.85	71.49	78.21	1.71
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"Acute and subacute endocarditis (I33)"	"GR113-065"	27	2551784	1.06	0.70	1.54	0.20
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	8	2551784	Unreliable	0.14	0.62	0.11
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"Heart failure (I50)"	"GR113-067"	443	2551784	17.36	15.74	18.98	0.82
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	887	2551784	34.76	32.47	37.05	1.17
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	354	2551784	13.87	12.43	15.32	0.74
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1430	2551784	56.04	53.13	58.94	1.48
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"#Atherosclerosis (I70)"	"GR113-071"	30	2551784	1.18	0.79	1.68	0.21
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	55	2551784	2.16	1.62	2.81	0.29
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	90	2551784	3.53	2.84	4.34	0.37
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"65-74 years"	"65-74"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	37	2551784	1.45	1.02	2.00	0.24
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	2133	1290177	165.33	158.31	172.34	3.58
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	89	1290177	6.90	5.54	8.49	0.73
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"Hypertensive heart disease (I11)"	"GR113-056"	574	1290177	44.49	40.85	48.13	1.86
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	105	1290177	8.14	6.58	9.70	0.79
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	5263	1290177	407.93	396.91	418.95	5.62
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	1667	1290177	129.21	123.00	135.41	3.16
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	45	1290177	3.49	2.54	4.67	0.52
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	3551	1290177	275.23	266.18	284.29	4.62
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"Acute and subacute endocarditis (I33)"	"GR113-065"	14	1290177	Unreliable	0.59	1.82	0.29
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	10	1290177	Unreliable	0.37	1.43	0.25
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"Heart failure (I50)"	"GR113-067"	986	1290177	76.42	71.65	81.19	2.43
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	1519	1290177	117.74	111.81	123.66	3.02
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	635	1290177	49.22	45.39	53.05	1.95
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	2913	1290177	225.78	217.58	233.98	4.18
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"#Atherosclerosis (I70)"	"GR113-071"	84	1290177	6.51	5.19	8.06	0.71
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	107	1290177	8.29	6.72	9.86	0.80
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	145	1290177	11.24	9.41	13.07	0.93
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"75-84 years"	"75-84"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	58	1290177	4.50	3.41	5.81	0.59
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1663	551228	301.69	287.19	316.19	7.40
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	55	551228	9.98	7.52	12.99	1.35
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"Hypertensive heart disease (I11)"	"GR113-056"	1132	551228	205.36	193.40	217.32	6.10
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	150	551228	27.21	22.86	31.57	2.22
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	8325	551228	1510.26	1477.82	1542.71	16.55
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	2264	551228	410.72	393.80	427.64	8.63
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	57	551228	10.34	7.83	13.40	1.37
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	6004	551228	1089.20	1061.65	1116.76	14.06
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"Acute and subacute endocarditis (I33)"	"GR113-065"	12	551228	Unreliable	1.12	3.80	0.63
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	9	551228	Unreliable	0.75	3.10	0.54
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"Heart failure (I50)"	"GR113-067"	1911	551228	346.68	331.14	362.22	7.93
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	2573	551228	466.78	448.74	484.81	9.20
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	1154	551228	209.35	197.27	221.43	6.16
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	4558	551228	826.88	802.88	850.89	12.25
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"#Atherosclerosis (I70)"	"GR113-071"	170	551228	30.84	26.20	35.48	2.37
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	100	551228	18.14	14.59	21.70	1.81
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	196	551228	35.56	30.58	40.53	2.54
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"85+ years"	"85+"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	58	551228	10.52	7.99	13.60	1.38
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	127	9455373	1.34	1.11	1.58	0.12
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	6	9455373	Unreliable	0.02	0.14	0.03
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Hypertensive heart disease (I11)"	"GR113-056"	105	9455373	1.11	0.90	1.32	0.11
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	7	9455373	Unreliable	0.03	0.15	0.03
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	172	9455373	1.82	1.55	2.09	0.14
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	47	9455373	0.50	0.37	0.66	0.07
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	0	9455373	Unreliable	0.00	0.00	0.00
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	125	9455373	1.32	1.09	1.55	0.12
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Acute and subacute endocarditis (I33)"	"GR113-065"	6	9455373	Unreliable	0.02	0.14	0.03
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	18	9455373	Unreliable	0.11	0.30	0.04
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"Heart failure (I50)"	"GR113-067"	22	9455373	0.23	0.15	0.35	0.05
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	295	9455373	3.12	2.76	3.48	0.18
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	30	9455373	0.32	0.21	0.45	0.06
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	149	9455373	1.58	1.32	1.83	0.13
	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"25-34 years"	"25-34"	"#Atherosclerosis (I70)"	"GR113-071"	0	9455373	Unreliable	0.00	0.00	0.00
