"Notes"	"Gender"	"Gender Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	84	5718654	1.47	1.17	1.82	0.16
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	2348	5718654	41.06	39.40	42.72	0.85
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	827	5718654	14.46	13.48	15.45	0.50
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	59	5718654	1.03	0.79	1.33	0.13
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	1462	5718654	25.57	24.25	26.88	0.67
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Acute and subacute endocarditis (I33)"	"GR113-065"	27	5718654	0.47	0.31	0.69	0.09
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	13	5718654	Unreliable	0.12	0.39	0.06
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Heart failure (I50)"	"GR113-067"	360	5718654	6.30	5.64	6.95	0.33
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	1584	5718654	27.70	26.33	29.06	0.70
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	448	5718654	7.83	7.11	8.56	0.37
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1305	5718654	22.82	21.58	24.06	0.63
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"#Atherosclerosis (I70)"	"GR113-071"	12	5718654	Unreliable	0.11	0.37	0.06
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	81	5718654	1.42	1.12	1.76	0.16
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	64	5718654	1.12	0.86	1.43	0.14
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	168	5718654	2.94	2.49	3.38	0.23
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	2701	5152173	52.42	50.45	54.40	1.01
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	66	5152173	1.28	0.99	1.63	0.16
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Hypertensive heart disease (I11)"	"GR113-056"	1684	5152173	32.69	31.12	34.25	0.80
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	173	5152173	3.36	2.86	3.86	0.26
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	5672	5152173	110.09	107.22	112.95	1.46
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	1869	5152173	36.28	34.63	37.92	0.84
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	95	5152173	1.84	1.49	2.25	0.19
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	3708	5152173	71.97	69.65	74.29	1.18
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Acute and subacute endocarditis (I33)"	"GR113-065"	38	5152173	0.74	0.52	1.01	0.12
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	22	5152173	0.43	0.27	0.65	0.09
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Heart failure (I50)"	"GR113-067"	977	5152173	18.96	17.77	20.15	0.61
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	2781	5152173	53.98	51.97	55.98	1.02
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	846	5152173	16.42	15.31	17.53	0.56
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	2549	5152173	49.47	47.55	51.39	0.98
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"#Atherosclerosis (I70)"	"GR113-071"	40	5152173	0.78	0.55	1.06	0.12
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	150	5152173	2.91	2.45	3.38	0.24
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	201	5152173	3.90	3.36	4.44	0.28
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	146	5152173	2.83	2.37	3.29	0.23
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	3240	3056749	105.99	102.35	109.64	1.86
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	63	3056749	2.06	1.58	2.64	0.26
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Hypertensive heart disease (I11)"	"GR113-056"	1382	3056749	45.21	42.83	47.60	1.22
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	215	3056749	7.03	6.09	7.97	0.48
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	7455	3056749	243.89	238.35	249.42	2.82
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	2518	3056749	82.38	79.16	85.59	1.64
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	116	3056749	3.79	3.10	4.49	0.35
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	4821	3056749	157.72	153.26	162.17	2.27
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Acute and subacute endocarditis (I33)"	"GR113-065"	37	3056749	1.21	0.85	1.67	0.20
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	28	3056749	0.92	0.61	1.32	0.17
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Heart failure (I50)"	"GR113-067"	1452	3056749	47.50	45.06	49.94	1.25
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	3168	3056749	103.64	100.03	107.25	1.84
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	1164	3056749	38.08	35.89	40.27	1.12
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	3509	3056749	114.80	111.00	118.59	1.94
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"#Atherosclerosis (I70)"	"GR113-071"	102	3056749	3.34	2.69	3.98	0.33
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	162	3056749	5.30	4.48	6.12	0.42
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	281	3056749	9.19	8.12	10.27	0.55
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	124	3056749	4.06	3.34	4.77	0.36
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	3296	1495427	220.41	212.88	227.93	3.84
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	66	1495427	4.41	3.41	5.62	0.54
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"Hypertensive heart disease (I11)"	"GR113-056"	1406	1495427	94.02	89.11	98.93	2.51
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	262	1495427	17.52	15.40	19.64	1.08
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	8747	1495427	584.92	572.66	597.17	6.25
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	2775	1495427	185.57	178.66	192.47	3.52
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	144	1495427	9.63	8.06	11.20	0.80
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	5828	1495427	389.72	379.72	399.73	5.10
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"Acute and subacute endocarditis (I33)"	"GR113-065"	21	1495427	1.40	0.87	2.15	0.31
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	23	1495427	1.54	0.97	2.31	0.32
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"Heart failure (I50)"	"GR113-067"	2204	1495427	147.38	141.23	153.54	3.14
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	3580	1495427	239.40	231.55	247.24	4.00
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	1520	1495427	101.64	96.53	106.75	2.61
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	5154	1495427	344.65	335.24	354.06	4.80
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"#Atherosclerosis (I70)"	"GR113-071"	144	1495427	9.63	8.06	11.20	0.80
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	214	1495427	14.31	12.39	16.23	0.98
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	342	1495427	22.87	20.45	25.29	1.24
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"75-84 years"	"75-84"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	128	1495427	8.56	7.08	10.04	0.76
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	2693	663928	405.62	390.30	420.94	7.82
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	57	663928	8.59	6.50	11.12	1.14
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Hypertensive heart disease (I11)"	"GR113-056"	2033	663928	306.21	292.90	319.52	6.79
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	340	663928	51.21	45.77	56.65	2.78
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	11281	663928	1699.13	1667.77	1730.49	16.00
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	3173	663928	477.91	461.28	494.54	8.48
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	148	663928	22.29	18.70	25.88	1.83
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	7960	663928	1198.93	1172.59	1225.26	13.44
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Acute and subacute endocarditis (I33)"	"GR113-065"	16	663928	Unreliable	1.38	3.91	0.60
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	19	663928	Unreliable	1.72	4.47	0.66
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Heart failure (I50)"	"GR113-067"	3572	663928	538.01	520.37	555.65	9.00
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	4417	663928	665.28	645.66	684.90	10.01
