RF,subgroup,Age,Sex,Race,IHD,IHDse,ISTK,ISTKse,HHD,HHDse,DIABMED,DIABMEDse,DIABDIR,DIABDIRse,,,,,,,,,,,,,,,,,,gender
BMI,29,4,2,1,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,1.15069884,0.28829079,,,,,,,,,,,,,,,,,,
BMI,30,4,2,2,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,1.15069884,0.28829079,,,,,,,,,,,,,,,,,,
BMI,31,4,2,3,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,1.15069884,0.28829079,,,,,,,,,,,,,,,,,,
BMI,32,4,2,4,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,1.15069884,0.28829079,,,,,,,,,,,,,,,,,,
BMI,33,5,1,1,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.95444468,0.23912218,,,,,,,,,,,,,,,,,,
BMI,34,5,1,2,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.95444468,0.23912218,,,,,,,,,,,,,,,,,,
BMI,35,5,1,3,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.95444468,0.23912218,,,,,,,,,,,,,,,,,,
BMI,36,5,1,4,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.95444468,0.23912218,,,,,,,,,,,,,,,,,,
BMI,37,5,2,1,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.95444468,0.23912218,,,,,,,,,,,,,,,,,,
BMI,38,5,2,2,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.95444468,0.23912218,,,,,,,,,,,,,,,,,,
BMI,39,5,2,3,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.95444468,0.23912218,,,,,,,,,,,,,,,,,,
BMI,40,5,2,4,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.95444468,0.23912218,,,,,,,,,,,,,,,,,,
BMI,41,6,1,1,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.729985895,0.182887305,,,,,,,,,,,,,,,,,,
BMI,42,6,1,2,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.729985895,0.182887305,,,,,,,,,,,,,,,,,,
BMI,43,6,1,3,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.729985895,0.182887305,,,,,,,,,,,,,,,,,,
BMI,44,6,1,4,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.729985895,0.182887305,,,,,,,,,,,,,,,,,,
BMI,45,6,2,1,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.729985895,0.182887305,,,,,,,,,,,,,,,,,,
BMI,46,6,2,2,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.729985895,0.182887305,,,,,,,,,,,,,,,,,,
BMI,47,6,2,3,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.729985895,0.182887305,,,,,,,,,,,,,,,,,,
BMI,48,6,2,4,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.729985895,0.182887305,,,,,,,,,,,,,,,,,,
