risk_factor,subgroup,ECA,SCC,LVC,PC,CC,UC,OC,GC,KC,BC,TC,MMC,APCA,ECAse,SCCse,LVCse,PCse,CCse,UCse,OCse,GCse,KCse,BCse,TCse,MMCse,APCAse
BMI,32,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,33,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,34,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,35,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,36,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,37,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,38,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,39,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,40,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,41,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,42,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,43,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,44,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,45,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,46,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,47,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
BMI,48,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071
