risk_factor,subgroup,ALL,Larynx,LC,MC,MLPC,SCNC,ECA,SCC,LVC,PC,CC,UC,OC,GC,KC,BC,TC,MMC,APCA,ECAse,SCCse,LVCse,PCse,CCse,UCse,OCse,GCse,KCse,BCse,TCse,MMCse,APCAse,ALLse,Larynxse,LCse,MCse,MLPCse,SCNCse
BMI,17,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,18,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,19,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,20,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,21,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,22,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,23,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,24,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,25,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,26,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,27,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,28,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,29,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,30,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,31,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,32,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,33,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,34,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,35,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,36,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,37,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,38,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,39,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,40,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,41,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,42,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,43,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,44,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,45,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,46,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,47,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,48,,0,0,0,0,0,1.48,1.23,1.3,1.1,1.05,1.5,1.06,1.25,1.3,1.12,1.06,1.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
